mineral_id	mineral_name	mineral_display_name	rruff_chemistry	ima_chemistry	chemistry_elements
777	Abelsonite	Abelsonite	Ni^2+^C_31_H_32_N_4_	NiC_31_H_32_N_4_	"Ni C H N"
778	Abenakiite-(Ce)	Abenakiite-(Ce)	Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O	Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O	"Na Ce Si O P C S"
779	Abernathyite	Abernathyite	K(U^6+^O_2_)As^5+^O_4_·3H_2_O	K(UO_2_)(AsO_4_)·3H_2_O	"K U O As H"
780	Abhurite	Abhurite	Sn^2+^_21_O_6_(OH)_14_Cl_16_	Sn^2+^_21_O_6_(OH)_14_Cl_16_	"Sn O H Cl"
781	Abswurmbachite	Abswurmbachite	Cu^2+^Mn^3+^_6_O_8_(SiO_4_)	Cu^2+^Mn^3+^_6_O_8_(SiO_4_)	"Cu Mn O Si"
782	Acanthite	Acanthite	Ag^1+^_2_S^2-^	Ag_2_S	"Ag S"
783	Acetamide	Acetamide	CH_3_CONH_2_	CH_3_CONH_2_	"C H O N"
784	Actinolite	Actinolite	Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_	[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_	"Ca Mg Fe Si O H"
785	Acuminite	Acuminite	SrAlF_4_(OH)·H_2_O	SrAlF_4_(OH)·H_2_O	"Sr Al F O H"
786	Adamite	Adamite	Zn^2+^_2_As^5+^O_4_(OH)	Zn_2_(AsO_4_)(OH)	"Zn As O H"
787	Adamsite-(Y)	Adamsite-(Y)	NaY^3+^(CO_3_)_2_·6H_2_O	NaY(CO_3_)_2_·6H_2_O	"Na Y C O H"
788	Adelite	Adelite	CaMgAs^5+^O_4_(OH)	CaMg(AsO_4_)(OH)	"Ca Mg As O H"
