from,to,weight
penzhinite,aguilarite,1.0
arcubisite,ourayite,2.0
arcubisite,vikingite,1.0
arcubisite,berryite,2.0
arcubisite,miargyrite,1.0
arcubisite,proustite,1.0
arcubisite,polybasite,1.0
arcubisite,hessite,3.0
arcubisite,volynskite,1.0
arcubisite,mckinstryite,1.0
arcubisite,xanthoconite,1.0
arcubisite,gustavite,1.0
arcubisite,canfieldite,1.0
arcubisite,eskimoite,1.0
arcubisite,cervelleite,1.0
arcubisite,pyrargyrite,2.0
arcubisite,pearceite,1.0
arcubisite,stephanite,1.0
arcubisite,acanthite,3.0
arcubisite,matildite,4.0
arcubisite,pyrostilpnite,1.0
arcubisite,silver,4.0
borodaevite,benjaminite,1.0
borodaevite,ramdohrite,1.0
borodaevite,pavonite,1.0
borodaevite,aramayoite,1.0
borodaevite,gustavite,1.0
borodaevite,owyheeite,1.0
borodaevite,matildite,1.0
argentopentlandite,eucairite,1.0
argentopentlandite,dyscrasite,2.0
argentopentlandite,argentopyrite,1.0
argentopentlandite,schapbachite,1.0
argentopentlandite,allargentum,1.0
argentopentlandite,petrukite,1.0
argentopentlandite,stromeyerite,2.0
argentopentlandite,sterryite,1.0
argentopentlandite,miargyrite,1.0
argentopentlandite,polybasite,2.0
argentopentlandite,hessite,26.0
argentopentlandite,empressite,3.0
argentopentlandite,volynskite,9.0
argentopentlandite,mckinstryite,1.0
argentopentlandite,naumannite,2.0
argentopentlandite,jalpaite,2.0
argentopentlandite,petzite,4.0
argentopentlandite,diaphorite,1.0
argentopentlandite,pyrargyrite,4.0
argentopentlandite,pearceite,1.0
argentopentlandite,stephanite,1.0
argentopentlandite,acanthite,10.0
argentopentlandite,sopcheite,2.0
argentopentlandite,geffroyite,1.0
argentopentlandite,telargpalite,1.0
argentopentlandite,matildite,2.0
argentopentlandite,pyrostilpnite,1.0
argentopentlandite,chlorargyrite,2.0
argentopentlandite,stutzite,7.0
argentopentlandite,sylvanite,2.0
argentopentlandite,silver,18.0
bezsmertnovite,benjaminite,1.0
bezsmertnovite,sternbergite,1.0
bezsmertnovite,montbrayite,2.0
bezsmertnovite,quetzalcoatlite,1.0
bezsmertnovite,stromeyerite,1.0
bezsmertnovite,proustite,2.0
bezsmertnovite,polybasite,2.0
bezsmertnovite,hessite,4.0
bezsmertnovite,argentojarosite,1.0
bezsmertnovite,jalpaite,1.0
bezsmertnovite,benleonardite,1.0
bezsmertnovite,petzite,5.0
bezsmertnovite,krennerite,4.0
bezsmertnovite,pearceite,3.0
bezsmertnovite,acanthite,4.0
bezsmertnovite,matildite,1.0
bezsmertnovite,chlorargyrite,2.0
bezsmertnovite,sylvanite,6.0
bezsmertnovite,silver,3.0
chrisstanleyite,eucairite,3.0
chrisstanleyite,fischesserite,2.0
chrisstanleyite,naumannite,4.0
chrisstanleyite,acanthite,1.0
chrisstanleyite,telargpalite,1.0
chrisstanleyite,chlorargyrite,1.0
chrisstanleyite,aguilarite,2.0
chrisstanleyite,silver,2.0
cuboargyrite,acanthite,1.0
kravtsovite,coldwellite,1.0
kravtsovite,hessite,1.0
kravtsovite,empressite,1.0
kravtsovite,thalhammerite,1.0
kravtsovite,norilskite,1.0
kravtsovite,sopcheite,2.0
kravtsovite,telargpalite,2.0
kravtsovite,lukkulaisvaaraite,1.0
kravtsovite,stutzite,1.0
kravtsovite,silver,2.0
henryite,montbrayite,1.0
henryite,quetzalcoatlite,1.0
henryite,bohdanowiczite,1.0
henryite,stromeyerite,1.0
henryite,hessite,4.0
henryite,rozhdestvenskayaite-(zn),1.0
henryite,volynskite,1.0
henryite,cupropavonite,1.0
henryite,jalpaite,1.0
henryite,benleonardite,2.0
henryite,paraschachnerite,1.0
henryite,petzite,2.0
henryite,canfieldite,1.0
henryite,krennerite,2.0
henryite,cervelleite,2.0
henryite,pearceite,1.0
henryite,iodargyrite,1.0
henryite,hocartite,1.0
henryite,acanthite,3.0
henryite,matildite,1.0
henryite,chlorargyrite,2.0
henryite,stutzite,3.0
henryite,sylvanite,2.0
henryite,silver,3.0
benjaminite,ramdohrite,2.0
benjaminite,toyohaite,1.0
benjaminite,cupromakovickyite,1.0
benjaminite,ourayite,4.0
benjaminite,argentotennantite-(zn),1.0
benjaminite,andorite vi,1.0
benjaminite,mummeite,3.0
benjaminite,dyscrasite,1.0
benjaminite,pavonite,16.0
benjaminite,vikingite,6.0
benjaminite,petrukite,3.0
benjaminite,makovickyite,4.0
benjaminite,montbrayite,1.0
benjaminite,aramayoite,3.0
benjaminite,billingsleyite,1.0
benjaminite,quetzalcoatlite,1.0
benjaminite,berryite,15.0
benjaminite,bohdanowiczite,1.0
benjaminite,cuprobismutite,4.0
benjaminite,stromeyerite,5.0
benjaminite,fizelyite,2.0
benjaminite,miargyrite,4.0
benjaminite,proustite,4.0
