from,to,weight
mukhinite,heulandite-ca,1.0
mukhinite,dissakisite-(la),1.0
mukhinite,grossular,3.0
mukhinite,dravite,1.0
mukhinite,muscovite,3.0
mukhinite,albite,2.0
mukhinite,magnesio-hornblende,1.0
mukhinite,hibonite,1.0
mukhinite,clinochlore,2.0
mukhinite,scolecite,1.0
mukhinite,vesuvianite,1.0
mukhinite,laumontite,1.0
mukhinite,sillimanite,1.0
mukhinite,mesolite,1.0
mukhinite,phlogopite,1.0
mukhinite,prehnite,1.0
mukhinite,clinozoisite,1.0
mukhinite,hercynite,1.0
mukhinite,corundum,1.0
mukhinite,pumpellyite-(mg),1.0
mukhinite,edenite,1.0
magnesiohogbomite-6n6s,spinel,1.0
allanite-(la),hauyne,4.0
allanite-(la),banalsite,1.0
allanite-(la),meionite,5.0
allanite-(la),stronalsite,1.0
allanite-(la),galaxite,1.0
allanite-(la),spessartine,7.0
allanite-(la),andalusite,4.0
allanite-(la),dissakisite-(la),1.0
allanite-(la),cordierite,5.0
allanite-(la),leucite,4.0
allanite-(la),marialite,1.0
allanite-(la),nontronite,1.0
allanite-(la),phillipsite-ca,1.0
allanite-(la),armenite,1.0
allanite-(la),zoisite,1.0
allanite-(la),tornebohmite-(la),1.0
allanite-(la),nepheline,4.0
allanite-(la),grossular,7.0
allanite-(la),ferro-katophorite,1.0
allanite-(la),radekskodaite-(la),1.0
allanite-(la),dravite,1.0
allanite-(la),stilbite-ca,1.0
allanite-(la),saponite,1.0
allanite-(la),muscovite,8.0
allanite-(la),albite,11.0
allanite-(la),perboeite-(la),1.0
allanite-(la),chrysocolla,6.0
allanite-(la),staurolite,4.0
allanite-(la),tornebohmite-(ce),1.0
allanite-(la),natrolite,1.0
allanite-(la),stellerite,1.0
allanite-(la),sanidine,4.0
allanite-(la),clinochlore,3.0
allanite-(la),magnesio-hastingsite,1.0
allanite-(la),mullite,4.0
allanite-(la),nyboite,1.0
allanite-(la),epidote,9.0
allanite-(la),pyrophyllite,1.0
allanite-(la),anorthite,2.0
allanite-(la),thomsonite-ca,1.0
allanite-(la),kaolinite,1.0
allanite-(la),beryl,1.0
allanite-(la),schorl,1.0
