from,to,weight
fetiasite,tyrolite,1.0
fetiasite,yukonite,1.0
fetiasite,chernovite-(y),2.0
fetiasite,zeunerite,2.0
fetiasite,tilasite,1.0
fetiasite,gasparite-(ce),1.0
fetiasite,scorodite,2.0
fetiasite,tennantite-(fe),2.0
fetiasite,paraniite-(y),1.0
fetiasite,bayldonite,1.0
fetiasite,metazeunerite,1.0
fetiasite,arsenopyrite,2.0
fetiasite,strashimirite,1.0
fetiasite,cervandonite-(ce),2.0
fetiasite,graeserite,1.0
fetiasite,agardite-(y),1.0
fetiasite,chalcophyllite,2.0
fetiasite,bergslagite,1.0
fetiasite,zalesiite,1.0
fetiasite,pharmacosiderite,1.0
fetiasite,asbecasite,2.0
fetiasite,cafarsite,2.0
fetiasite,mimetite,1.0
fetiasite,cornubite,2.0
paulmooreite,wiklundite,1.0
paulmooreite,georgiadesite,1.0
paulmooreite,stenhuggarite,1.0
paulmooreite,hydroxylhedyphane,1.0
paulmooreite,tilasite,1.0
paulmooreite,magnussonite,1.0
paulmooreite,gasparite-(ce),1.0
paulmooreite,trigonite,1.0
paulmooreite,orpiment,1.0
paulmooreite,sahlinite,1.0
paulmooreite,scorodite,1.0
paulmooreite,tennantite-(fe),1.0
paulmooreite,rouseite,1.0
paulmooreite,eveite,1.0
paulmooreite,armangite,1.0
paulmooreite,nealite,1.0
paulmooreite,lollingite,1.0
paulmooreite,manganarsite,1.0
paulmooreite,cobaltite,1.0
paulmooreite,arseniopleite,1.0
paulmooreite,algodonite,1.0
paulmooreite,manganberzeliite,1.0
paulmooreite,langbanshyttanite,1.0
paulmooreite,realgar,1.0
paulmooreite,domeykite,1.0
paulmooreite,johnbaumite,1.0
paulmooreite,ecdemite,2.0
paulmooreite,arsenopyrite,1.0
paulmooreite,manganostibite,1.0
paulmooreite,flinkite,1.0
paulmooreite,gabrielsonite,1.0
paulmooreite,arakiite,1.0
paulmooreite,stibarsen,1.0
paulmooreite,hematolite,1.0
paulmooreite,freedite,1.0
paulmooreite,dixenite,1.0
paulmooreite,bergslagite,1.0
paulmooreite,beudantite,1.0
paulmooreite,rammelsbergite,1.0
paulmooreite,manganohornesite,1.0
paulmooreite,arsenic,1.0
paulmooreite,parwelite,1.0
paulmooreite,koutekite,1.0
paulmooreite,turneaureite,1.0
paulmooreite,svabite,1.0
paulmooreite,finnemanite,1.0
paulmooreite,mimetite,1.0
paulmooreite,synadelphite,1.0
paulmooreite,brandtite,1.0
paulmooreite,hornesite,1.0
wallkilldellite-(fe),tyrolite,2.0
wallkilldellite-(fe),yukonite,2.0
wallkilldellite-(fe),kolfanite,2.0
wallkilldellite-(fe),talmessite,1.0
wallkilldellite-(fe),lapeyreite,1.0
wallkilldellite-(fe),radovanite,1.0
wallkilldellite-(fe),arseniosiderite,1.0
wallkilldellite-(fe),pararammelsbergite,1.0
wallkilldellite-(fe),barrotite,1.0
wallkilldellite-(fe),scorodite,1.0
wallkilldellite-(fe),tangdanite,1.0
wallkilldellite-(fe),theoparacelsite,1.0
wallkilldellite-(fe),annabergite,2.0
wallkilldellite-(fe),gilmarite,1.0
wallkilldellite-(fe),symplesite,1.0
wallkilldellite-(fe),lollingite,2.0
wallkilldellite-(fe),wallkilldellite,2.0
wallkilldellite-(fe),cobaltite,1.0
wallkilldellite-(fe),sainfeldite,1.0
wallkilldellite-(fe),olivenite,2.0
wallkilldellite-(fe),haidingerite,1.0
wallkilldellite-(fe),algodonite,1.0
wallkilldellite-(fe),pharmacolite,2.0
wallkilldellite-(fe),picropharmacolite,2.0
wallkilldellite-(fe),ferrisymplesite,1.0
wallkilldellite-(fe),rollandite,1.0
wallkilldellite-(fe),ferrarisite,2.0
wallkilldellite-(fe),trippkeite,1.0
wallkilldellite-(fe),domeykite,1.0
wallkilldellite-(fe),karibibite,1.0
wallkilldellite-(fe),adamite,2.0
wallkilldellite-(fe),arsenopyrite,2.0
wallkilldellite-(fe),strashimirite,1.0
wallkilldellite-(fe),parnauite,2.0
wallkilldellite-(fe),ludlockite,1.0
wallkilldellite-(fe),nickeline,1.0
wallkilldellite-(fe),gersdorffite-pa3,1.0
wallkilldellite-(fe),erythrite,2.0
wallkilldellite-(fe),smolyaninovite,1.0
wallkilldellite-(fe),phaunouxite,1.0
wallkilldellite-(fe),weilite,1.0
wallkilldellite-(fe),chalcophyllite,1.0
wallkilldellite-(fe),krutovite,1.0
wallkilldellite-(fe),parasymplesite,1.0
wallkilldellite-(fe),conichalcite,2.0
wallkilldellite-(fe),guerinite,2.0
wallkilldellite-(fe),bendadaite,1.0
wallkilldellite-(fe),pharmacosiderite,3.0
wallkilldellite-(fe),rammelsbergite,1.0
wallkilldellite-(fe),koutekite,1.0
wallkilldellite-(fe),safflorite,1.0
wallkilldellite-(fe),skutterudite,1.0
wallkilldellite-(fe),mixite,1.0
