from,to,weight
probertite,ulexite,23.0
probertite,aristarainite,3.0
probertite,borax,6.0
probertite,colemanite,18.0
probertite,meyerhofferite,4.0
probertite,fontarnauite,1.0
probertite,ezcurrite,1.0
probertite,tunellite,8.0
probertite,inderborite,1.0
probertite,sassolite,3.0
probertite,hydroboracite,12.0
probertite,kurnakovite,4.0
probertite,tertschite,1.0
probertite,santite,1.0
probertite,strontioginorite,2.0
probertite,ginorite,1.0
probertite,searlesite,5.0
probertite,kernite,4.0
probertite,ameghinite,1.0
probertite,kaliborite,2.0
probertite,mcallisterite,2.0
probertite,datolite,1.0
probertite,jarandolite,1.0
probertite,rivadavite,3.0
probertite,tuzlaite,1.0
probertite,hydrochlorborite,1.0
probertite,inderite,4.0
probertite,tincalconite,7.0
probertite,howlite,5.0
probertite,inyoite,4.0
probertite,heidornite,1.0
probertite,iquiqueite,1.0
probertite,danburite,1.0
probertite,brianroulstonite,1.0
probertite,priceite,6.0
probertite,pinnoite,1.0
probertite,veatchite,2.0
wiserite,dravite,1.0
wiserite,sussexite,7.0
wiserite,jimboite,3.0
wiserite,datolite,1.0
wiserite,axinite-(mn),1.0
wiserite,vladkrivovichevite,1.0
wiserite,cahnite,1.0
wiserite,sakhaite,1.0
wiserite,nagashimalite,1.0
wiserite,tinzenite,1.0
wiserite,roymillerite,1.0
wiserite,harkerite,1.0
wiserite,britvinite,1.0
hellandite-(ce),stillwellite-(ce),3.0
hellandite-(ce),dravite,1.0
hellandite-(ce),vonsenite,5.0
hellandite-(ce),ciprianiite,1.0
hellandite-(ce),piergorite-(ce),1.0
hellandite-(ce),tadzhikite-(ce),1.0
hellandite-(ce),vicanite-(ce),3.0
hellandite-(ce),homilite,1.0
hellandite-(ce),danburite,3.0
hellandite-(ce),mottanaite-(ce),1.0
fabianite,howlite,1.0
fabianite,szaibelyite,1.0
kasatkinite,dravite,1.0
kasatkinite,datolite,1.0
kasatkinite,szaibelyite,1.0
boromullite,werdingite,1.0
boromullite,grandidierite,1.0
stillwellite-(ce),schorl,2.0
stillwellite-(ce),melanocerite-(ce),1.0
stillwellite-(ce),poudretteite,1.0
stillwellite-(ce),maleevite,1.0
stillwellite-(ce),steedeite,1.0
