from,to,weight
strontiojoaquinite,benitoite,3.0
strontiojoaquinite,joaquinite-(ce),2.0
strontiojoaquinite,fresnoite,2.0
strontiojoaquinite,bario-orthojoaquinite,1.0
strontiojoaquinite,titantaramellite,1.0
strontiojoaquinite,witherite,1.0
strontiojoaquinite,taramellite,1.0
strontiojoaquinite,orthojoaquinite-(ce),1.0
traskite,baryte,2.0
traskite,krauskopfite,1.0
traskite,muirite,2.0
traskite,alforsite,1.0
traskite,walstromite,3.0
traskite,benitoite,2.0
traskite,devitoite,2.0
traskite,macdonaldite,3.0
traskite,sanbornite,3.0
traskite,fresnoite,3.0
traskite,edingtonite,1.0
traskite,bigcreekite,2.0
traskite,gillespite,2.0
traskite,cerchiaraite-(fe),2.0
traskite,fencooperite,1.0
traskite,esquireite,1.0
traskite,titantaramellite,3.0
traskite,cerchiaraite-(al),3.0
traskite,ferroericssonite,2.0
traskite,witherite,3.0
traskite,celsian,3.0
traskite,kampfite,2.0
traskite,bazirite,3.0
traskite,anandite,2.0
traskite,pellyite,2.0
traskite,verplanckite,1.0
paratsepinite-ba,baryte,1.0
paratsepinite-ba,tsepinite-sr,1.0
paratsepinite-ba,tsepinite-k,1.0
paratsepinite-ba,harmotome,1.0
mengeite,baryte,1.0
mengeite,vesignieite,1.0
mengeite,perloffite,1.0
mengeite,springcreekite,1.0
mengeite,johntomaite,1.0
mengeite,bariosincosite,1.0
kasatkinite,harmotome,1.0
innelite,baryte,1.0
innelite,joaquinite-(ce),1.0
innelite,edingtonite,1.0
innelite,batisite,1.0
innelite,nabalamprophyllite,1.0
innelite,leucosphenite,1.0
lindsleyite,baryte,6.0
lindsleyite,mathiasite,6.0
lindsleyite,redledgeite,1.0
lindsleyite,hollandite,1.0
lindsleyite,mckelveyite-(y),1.0
lindsleyite,hawthorneite,1.0
lindsleyite,baotite,1.0
lindsleyite,witherite,1.0
lindsleyite,kinoshitalite,1.0
lindsleyite,barylite,1.0
baryte,rimkorolgite,2.0
baryte,taikanite,1.0
baryte,gamagarite,8.0
baryte,paralstonite,6.0
baryte,barioferrite,3.0
baryte,belkovite,2.0
baryte,gorceixite,51.0
baryte,menezesite,1.0
baryte,heulandite-ba,5.0
baryte,hydrodresserite,1.0
baryte,krauskopfite,3.0
baryte,ganterite,1.0
baryte,maleevite,1.0
baryte,canosioite,2.0
baryte,vesignieite,24.0
baryte,krasnovite,3.0
baryte,bobshannonite,1.0
baryte,chernykhite,4.0
baryte,bafertisite,8.0
baryte,nitrobarite,2.0
baryte,banalsite,7.0
baryte,tokyoite,9.0
baryte,muirite,2.0
baryte,hashemite,4.0
baryte,perloffite,3.0
baryte,gazeevite,1.0
baryte,ericssonite,2.0
baryte,guilleminite,3.0
baryte,springcreekite,1.0
baryte,ewaldite,4.0
baryte,alforsite,3.0
baryte,walstromite,4.0
baryte,arsenogorceixite,9.0
baryte,benitoite,6.0
baryte,bellbergite,1.0
baryte,cebaite-(ce),6.0
baryte,tsepinite-sr,1.0
baryte,henrymeyerite,2.0
baryte,devitoite,2.0
baryte,cordylite-(la),1.0
baryte,sigismundite,3.0
baryte,bjarebyite,1.0
baryte,kukharenkoite-(la),1.0
baryte,mathiasite,4.0
baryte,macdonaldite,3.0
baryte,sanbornite,6.0
baryte,qaqarssukite-(ce),2.0
baryte,curetonite,1.0
baryte,bavsiite,1.0
baryte,burbankite,26.0
baryte,cymrite,26.0
baryte,morelandite,1.0
baryte,bariopharmacoalumite,7.0
baryte,perraultite,2.0
baryte,bariopharmacosiderite,95.0
baryte,joaquinite-(ce),4.0
baryte,lileyite,4.0
baryte,tsepinite-na,1.0
baryte,kampelite,1.0
baryte,fresnoite,8.0
baryte,metauranocircite-i,6.0
baryte,johntomaite,1.0
baryte,colinowensite,1.0
baryte,nabiasite,3.0
baryte,jinshajiangite,1.0
baryte,scottyite,3.0
baryte,bariosincosite,3.0
baryte,hollandite,81.0
baryte,edingtonite,17.0
baryte,bigcreekite,1.0
baryte,mineevite-(y),1.0
baryte,stracherite,1.0
baryte,mckelveyite-(y),5.0
baryte,barytocalcite,56.0
baryte,gillespite,4.0
baryte,huanghoite-(ce),7.0
baryte,dussertite,22.0
baryte,lemmleinite-ba,2.0
baryte,suzukiite,2.0
baryte,barytolamprophyllite,7.0
baryte,pabstite,3.0
baryte,cerchiaraite-(fe),3.0
baryte,fencooperite,1.0
baryte,protasite,4.0
baryte,frankdicksonite,1.0
baryte,esquireite,1.0
baryte,titantaramellite,5.0
baryte,hawthorneite,1.0
baryte,lourenswalsite,1.0
baryte,arrojadite-(bana),1.0
baryte,cappelenite-(y),2.0
baryte,cordylite-(ce),8.0
baryte,hejtmanite,5.0
baryte,hyalotekite,2.0
baryte,kulanite,1.0
baryte,penikisite,2.0
baryte,hillesheimite,1.0
baryte,cerchiaraite-(al),2.0
baryte,bogvadite,1.0
baryte,heinrichite,10.0
baryte,noelbensonite,4.0
baryte,cerchiaraite-(mn),2.0
baryte,ferroericssonite,2.0
baryte,noonkanbahite,1.0
baryte,lombardoite,1.0
baryte,rogermitchellite,1.0
baryte,hanjiangite,1.0
baryte,brewsterite-ba,4.0
baryte,tsepinite-k,1.0
baryte,baotite,13.0
baryte,melcherite,1.0
baryte,jeppeite,2.0
baryte,witherite,190.0
baryte,paulingite-k,1.0
baryte,batisite,5.0
baryte,yoshimuraite,4.0
baryte,kukharenkoite-(ce),6.0
baryte,metaheinrichite,13.0
baryte,nabalamprophyllite,2.0
baryte,bergenite,8.0
baryte,effenbergerite,1.0
baryte,tienshanite,1.0
baryte,khanneshite,3.0
baryte,schullerite,3.0
baryte,magbasite,1.0
baryte,zhangpeishanite,2.0
baryte,armenite,11.0
baryte,taramellite,3.0
baryte,norsethite,19.0
baryte,francevillite,15.0
baryte,celsian,47.0
baryte,kapitsaite-(y),1.0
baryte,walthierite,3.0
baryte,fluorokinoshitalite,1.0
baryte,dresserite,1.0
baryte,paracelsian,2.0
baryte,billietite,16.0
baryte,bazirite,5.0
baryte,emmerichite,2.0
baryte,ferrihollandite,1.0
baryte,alstonite,14.0
baryte,anandite,3.0
baryte,byzantievite,1.0
baryte,leucosphenite,5.0
baryte,kinoshitalite,9.0
baryte,haggertyite,1.0
baryte,dargaite,1.0
baryte,pellyite,3.0
baryte,batisivite,1.0
baryte,wenkite,3.0
baryte,usovite,2.0
baryte,barylite,10.0
baryte,niksergievite,1.0
baryte,gunterblassite,3.0
baryte,benstonite,9.0
baryte,orthojoaquinite-(ce),1.0
baryte,iwateite,2.0
baryte,ferrokinoshitalite,2.0
baryte,nagashimalite,2.0
baryte,mannardite,8.0
baryte,owensite,1.0
baryte,demagistrisite,1.0
baryte,delindeite,1.0
baryte,uranocircite-ii,23.0
baryte,todorokite,145.0
baryte,romanechite,133.0
baryte,batiferrite,3.0
baryte,andremeyerite,2.0
baryte,meierite,1.0
baryte,harmotome,130.0
baryte,ariegilatite,1.0
baryte,garrelsite,2.0
rimkorolgite,krasnovite,2.0
rimkorolgite,henrymeyerite,1.0
rimkorolgite,burbankite,1.0
rimkorolgite,kampelite,1.0
rimkorolgite,edingtonite,1.0
rimkorolgite,lemmleinite-ba,2.0
rimkorolgite,witherite,1.0
rimkorolgite,norsethite,2.0
taikanite,banalsite,1.0
taikanite,strakhovite,2.0
