from,to,weight
chiavennite,tvedalite,5.0
chiavennite,beryl,3.0
chiavennite,bromellite,1.0
chiavennite,hambergite,14.0
chiavennite,milarite,3.0
chiavennite,bertrandite,8.0
chiavennite,helvine,13.0
chiavennite,bavenite,3.0
chiavennite,eudidymite,12.0
chiavennite,berborite,5.0
chiavennite,eirikite,1.0
chiavennite,sphaerobertrandite,3.0
chiavennite,behoite,8.0
chiavennite,leucophanite,9.0
chiavennite,meliphanite,9.0
chiavennite,pezzottaite,1.0
chiavennite,gadolinite-(ce),4.0
chiavennite,barylite,4.0
chiavennite,hydroxylgugiaite,2.0
chiavennite,ferrochiavennite,2.0
chiavennite,epididymite,15.0
aminoffite,beryl,1.0
aminoffite,magnesiotaaffeite-2n2s,1.0
aminoffite,bromellite,1.0
aminoffite,sverigeite,1.0
aminoffite,trimerite,1.0
aminoffite,hyalotekite,1.0
aminoffite,helvine,1.0
aminoffite,phenakite,1.0
aminoffite,welshite,1.0
aminoffite,swedenborgite,1.0
aminoffite,barylite,1.0
aminoffite,bergslagite,1.0
aminoffite,joesmithite,1.0
tvedalite,hambergite,5.0
tvedalite,bertrandite,3.0
tvedalite,helvine,5.0
tvedalite,eudidymite,5.0
tvedalite,berborite,2.0
tvedalite,sphaerobertrandite,1.0
tvedalite,behoite,4.0
tvedalite,leucophanite,3.0
tvedalite,meliphanite,4.0
tvedalite,gadolinite-(ce),3.0
tvedalite,barylite,1.0
tvedalite,ferrochiavennite,1.0
tvedalite,epididymite,5.0
bazzite,beryl,18.0
bazzite,bohseite,2.0
bazzite,gugiaite,1.0
bazzite,milarite,5.0
bazzite,oftedalite,1.0
bazzite,bertrandite,25.0
bazzite,helvine,5.0
bazzite,bavenite,8.0
bazzite,gadolinite-(y),7.0
bazzite,phenakite,14.0
bazzite,hingganite-(y),8.0
bazzite,bityite,1.0
bazzite,agakhanovite-(y),1.0
bazzite,danalite,4.0
bazzite,genthelvite,3.0
bazzite,euclase,1.0
bazzite,hydroxylherderite,2.0
bazzite,chrysoberyl,1.0
bazzite,gadolinite-(ce),1.0
bazzite,moraesite,1.0
bazzite,hingganite-(ce),1.0
beryl,bohseite,2.0
beryl,parafransoletite,1.0
beryl,magnesiotaaffeite-2n2s,10.0
