from,to,weight
uranosphaerite,hechtsbergite,1.0
uranosphaerite,pucherite,2.0
uranosphaerite,benjaminite,1.0
uranosphaerite,wittichenite,2.0
uranosphaerite,eulytine,1.0
uranosphaerite,rooseveltite,3.0
uranosphaerite,clinobisvanite,1.0
uranosphaerite,bismutite,2.0
uranosphaerite,smrkovecite,1.0
uranosphaerite,aikinite,1.0
uranosphaerite,tetradymite,1.0
uranosphaerite,bismite,4.0
uranosphaerite,heyrovskyite,1.0
uranosphaerite,pavonite,2.0
uranosphaerite,beyerite,1.0
uranosphaerite,mrazekite,1.0
uranosphaerite,gananite,1.0
uranosphaerite,tsumoite,1.0
uranosphaerite,koechlinite,1.0
uranosphaerite,preisingerite,3.0
uranosphaerite,berryite,1.0
uranosphaerite,bohdanowiczite,1.0
uranosphaerite,cuprobismutite,2.0
uranosphaerite,schumacherite,1.0
uranosphaerite,bismutostibiconite,1.0
uranosphaerite,petitjeanite,1.0
uranosphaerite,bismuth,7.0
uranosphaerite,emplectite,3.0
uranosphaerite,kettnerite,1.0
uranosphaerite,gustavite,1.0
uranosphaerite,cupropavonite,1.0
uranosphaerite,dantopaite,1.0
uranosphaerite,sillenite,1.0
uranosphaerite,sreinite,1.0
uranosphaerite,russellite,1.0
uranosphaerite,asselbornite,2.0
uranosphaerite,guanajuatite,2.0
uranosphaerite,bismutoferrite,3.0
uranosphaerite,mixite,2.0
uranosphaerite,phosphowalpurgite,1.0
uranosphaerite,bismuthinite,4.0
uranosphaerite,walpurgite,4.0
uranosphaerite,matildite,2.0
uranosphaerite,dreyerite,1.0
uranosphaerite,paganoite,1.0
uranosphaerite,atelestite,3.0
uranosphaerite,namibite,1.0
arcubisite,wittichenite,3.0
arcubisite,ourayite,2.0
arcubisite,aikinite,3.0
arcubisite,cosalite,2.0
arcubisite,vikingite,1.0
arcubisite,berryite,2.0
arcubisite,volynskite,1.0
arcubisite,bismuth,1.0
arcubisite,emplectite,1.0
arcubisite,gustavite,1.0
arcubisite,eskimoite,1.0
arcubisite,bismuthinite,1.0
arcubisite,matildite,4.0
arcubisite,pilsenite,1.0
borodaevite,benjaminite,1.0
borodaevite,pavonite,1.0
borodaevite,aramayoite,1.0
borodaevite,gustavite,1.0
borodaevite,matildite,1.0
hechtsbergite,pucherite,4.0
hechtsbergite,benjaminite,1.0
hechtsbergite,wittichenite,3.0
hechtsbergite,eulytine,5.0
hechtsbergite,rooseveltite,1.0
hechtsbergite,clinobisvanite,2.0
hechtsbergite,bismutite,6.0
hechtsbergite,smrkovecite,1.0
hechtsbergite,bismite,1.0
hechtsbergite,heyrovskyite,1.0
hechtsbergite,pavonite,1.0
hechtsbergite,beyerite,3.0
hechtsbergite,mrazekite,1.0
hechtsbergite,tsumoite,1.0
hechtsbergite,koechlinite,1.0
hechtsbergite,preisingerite,2.0
hechtsbergite,hedleyite,1.0
hechtsbergite,berryite,1.0
hechtsbergite,bohdanowiczite,1.0
hechtsbergite,cuprobismutite,1.0
hechtsbergite,schumacherite,3.0
hechtsbergite,bismutostibiconite,1.0
hechtsbergite,waylandite,1.0
hechtsbergite,sulphotsumoite,1.0
hechtsbergite,dukeite,1.0
hechtsbergite,petitjeanite,1.0
hechtsbergite,bismuth,3.0
hechtsbergite,zavaritskite,1.0
hechtsbergite,emplectite,1.0
hechtsbergite,kettnerite,1.0
hechtsbergite,gustavite,1.0
hechtsbergite,cupropavonite,1.0
hechtsbergite,dantopaite,1.0
hechtsbergite,sillenite,1.0
hechtsbergite,russellite,1.0
hechtsbergite,guanajuatite,1.0
hechtsbergite,bismutoferrite,2.0
hechtsbergite,mixite,3.0
hechtsbergite,phosphowalpurgite,1.0
hechtsbergite,chrombismite,1.0
hechtsbergite,bismuthinite,2.0
hechtsbergite,walpurgite,2.0
hechtsbergite,matildite,1.0
hechtsbergite,dreyerite,1.0
hechtsbergite,atelestite,2.0
hechtsbergite,kobellite,1.0
hechtsbergite,bismutotantalite,1.0
hechtsbergite,namibite,4.0
hechtsbergite,rucklidgeite,1.0
nevskite,maldonite,1.0
nevskite,wittichenite,1.0
nevskite,bismutite,1.0
nevskite,aikinite,1.0
nevskite,tetradymite,1.0
nevskite,bismite,1.0
nevskite,galenobismutite,1.0
nevskite,nordstromite,1.0
nevskite,wittite,2.0
nevskite,cannizzarite,1.0
nevskite,cosalite,3.0
nevskite,babkinite,1.0
nevskite,hedleyite,1.0
nevskite,montbrayite,1.0
nevskite,bohdanowiczite,1.0
nevskite,weibullite,2.0
nevskite,sulphotsumoite,1.0
nevskite,hodrusite,1.0
nevskite,volynskite,1.0
nevskite,bismuth,3.0
nevskite,zavaritskite,1.0
nevskite,emplectite,1.0
nevskite,lillianite,1.0
nevskite,ikunolite,1.0
nevskite,cupropavonite,1.0
nevskite,friedrichite,1.0
nevskite,laitakarite,3.0
nevskite,junoite,2.0
nevskite,guanajuatite,1.0
nevskite,petrovicite,1.0
nevskite,pekoite,1.0
nevskite,bismuthinite,4.0
nevskite,kawazulite,1.0
nevskite,kobellite,1.0
nevskite,rucklidgeite,1.0
maldonite,benjaminite,3.0
maldonite,wittichenite,3.0
maldonite,cupromakovickyite,1.0
maldonite,ourayite,1.0
maldonite,eulytine,2.0
maldonite,rooseveltite,3.0
maldonite,bismutite,6.0
maldonite,kupcikite,1.0
maldonite,aikinite,6.0
maldonite,tetradymite,23.0
maldonite,bismite,6.0
maldonite,galenobismutite,7.0
maldonite,heyrovskyite,3.0
maldonite,saddlebackite,1.0
maldonite,pavonite,2.0
maldonite,beyerite,1.0
maldonite,mambertiite,1.0
maldonite,schapbachite,1.0
maldonite,cannizzarite,3.0
maldonite,cosalite,8.0
maldonite,vikingite,3.0
maldonite,tsumoite,11.0
maldonite,preisingerite,1.0
maldonite,makovickyite,2.0
maldonite,hedleyite,24.0
maldonite,montbrayite,3.0
maldonite,berryite,3.0
maldonite,ingodite,4.0
maldonite,waylandite,1.0
maldonite,ustarasite,2.0
maldonite,baksanite,2.0
maldonite,sulphotsumoite,6.0
maldonite,hodrusite,2.0
maldonite,krupkaite,1.0
maldonite,joseite-a,12.0
maldonite,bismoclite,1.0
maldonite,neyite,1.0
maldonite,cuproneyite,1.0
maldonite,treasurite,1.0
maldonite,volynskite,4.0
maldonite,bismuth,67.0
maldonite,zavaritskite,1.0
maldonite,emplectite,5.0
maldonite,lillianite,7.0
maldonite,kettnerite,1.0
maldonite,gustavite,8.0
maldonite,ikunolite,7.0
maldonite,cupropavonite,2.0
maldonite,friedrichite,1.0
maldonite,gladite,1.0
maldonite,miharaite,1.0
maldonite,aschamalmite,1.0
maldonite,eskimoite,2.0
maldonite,laitakarite,3.0
maldonite,junoite,3.0
maldonite,tellurobismuthite,16.0
maldonite,guanajuatite,2.0
maldonite,mixite,1.0
maldonite,jonassonite,11.0
maldonite,pekoite,2.0
maldonite,joseite-b,22.0
maldonite,bismuthinite,50.0
maldonite,lindstromite,1.0
maldonite,kawazulite,3.0
maldonite,paderaite,1.0
maldonite,aleksite,3.0
maldonite,nuffieldite,1.0
maldonite,matildite,3.0
maldonite,hammarite,2.0
maldonite,pilsenite,7.0
maldonite,atelestite,1.0
maldonite,kobellite,3.0
maldonite,rucklidgeite,3.0
perite,wittichenite,2.0
perite,pingguite,1.0
perite,eulytine,2.0
perite,bismutite,7.0
perite,aikinite,3.0
perite,tetradymite,1.0
perite,galenobismutite,1.0
perite,beyerite,3.0
perite,cosalite,1.0
perite,koechlinite,2.0
perite,preisingerite,1.0
perite,bodieite,1.0
perite,juanitaite,1.0
perite,krupkaite,1.0
perite,bismoclite,2.0
perite,bismuth,3.0
perite,zavaritskite,1.0
perite,emplectite,1.0
perite,kettnerite,5.0
perite,russellite,1.0
perite,mixite,3.0
perite,bismuthinite,5.0
perite,kawazulite,1.0
perite,atelestite,1.0
perite,namibite,1.0
soucekite,benjaminite,1.0
soucekite,wittichenite,3.0
soucekite,skippenite,1.0
soucekite,watkinsonite,1.0
soucekite,ourayite,1.0
soucekite,poubaite,2.0
soucekite,mummeite,1.0
soucekite,aikinite,3.0
soucekite,tetradymite,1.0
soucekite,galenobismutite,1.0
