from,to,weight
sahamalite-(ce),malachite,1.0
sahamalite-(ce),aragonite,1.0
sahamalite-(ce),azurite,1.0
sahamalite-(ce),calcite,1.0
sahamalite-(ce),siderite,1.0
fukalite,malachite,2.0
fukalite,thaumasite,3.0
fukalite,cancrinite,1.0
fukalite,borcarite,1.0
fukalite,artinite,1.0
fukalite,ankerite,1.0
fukalite,aragonite,3.0
fukalite,numanoite,1.0
fukalite,spurrite,3.0
fukalite,scawtite,2.0
fukalite,hydromagnesite,1.0
fukalite,azurite,1.0
fukalite,tilleyite,2.0
fukalite,calcite,6.0
fukalite,dolomite,1.0
macphersonite,tyrolite,1.0
macphersonite,malachite,8.0
macphersonite,hydrozincite,4.0
macphersonite,phosgenite,3.0
macphersonite,bismutite,1.0
macphersonite,hydrocerussite,6.0
macphersonite,rhodochrosite,1.0
macphersonite,carbonatecyanotrichite,1.0
macphersonite,fassinaite,1.0
macphersonite,strontianite,1.0
macphersonite,dundasite,3.0
macphersonite,brianyoungite,1.0
macphersonite,thaumasite,1.0
macphersonite,zincrosasite,1.0
macphersonite,leadhillite,9.0
macphersonite,graphite,1.0
macphersonite,witherite,2.0
macphersonite,surite,1.0
macphersonite,rosasite,4.0
macphersonite,ankerite,4.0
macphersonite,aragonite,5.0
macphersonite,kegelite,1.0
macphersonite,cerussite,10.0
macphersonite,azurite,6.0
macphersonite,caledonite,10.0
macphersonite,aurichalcite,7.0
macphersonite,susannite,6.0
macphersonite,otavite,1.0
macphersonite,smithsonite,6.0
macphersonite,calcite,9.0
macphersonite,skorpionite,1.0
macphersonite,minrecordite,1.0
macphersonite,magnesite,1.0
macphersonite,dolomite,6.0
macphersonite,siderite,4.0
galuskinite,spurrite,1.0
roubaultite,malachite,3.0
roubaultite,gysinite-(nd),1.0
roubaultite,rutherfordine,2.0
roubaultite,kolwezite,1.0
roubaultite,sharpite,1.0
roubaultite,wyartite,1.0
roubaultite,spherocobaltite,2.0
roubaultite,aragonite,1.0
roubaultite,bijvoetite-(y),1.0
roubaultite,azurite,1.0
roubaultite,kamotoite-(y),1.0
roubaultite,lepersonnite-(gd),1.0
roubaultite,liebigite,1.0
roubaultite,urancalcarite,1.0
roubaultite,calcite,3.0
roubaultite,comblainite,1.0
roubaultite,magnesite,2.0
roubaultite,dolomite,2.0
roubaultite,siderite,1.0
ancylite-(la),malachite,1.0
ancylite-(la),hydroxylbastnasite-(ce),1.0
ancylite-(la),cordylite-(la),1.0
ancylite-(la),rhodochrosite,1.0
ancylite-(la),strontianite,7.0
ancylite-(la),wegscheiderite,1.0
ancylite-(la),cordylite-(ce),2.0
ancylite-(la),graphite,2.0
ancylite-(la),bastnasite-(ce),3.0
ancylite-(la),norsethite,1.0
ancylite-(la),parisite-(ce),1.0
ancylite-(la),ancylite-(ce),8.0
ancylite-(la),aragonite,3.0
ancylite-(la),trona,1.0
ancylite-(la),arisite-(ce),1.0
ancylite-(la),natroxalate,1.0
ancylite-(la),horvathite-(y),1.0
ancylite-(la),cerussite,1.0
ancylite-(la),synchysite-(ce),1.0
ancylite-(la),carbocernaite,2.0
ancylite-(la),pirssonite,1.0
ancylite-(la),burbankite,2.0
ancylite-(la),mckelveyite-(y),1.0
ancylite-(la),barytocalcite,2.0
ancylite-(la),huanghoite-(ce),1.0
ancylite-(la),calcioancylite-(ce),3.0
ancylite-(la),dawsonite,1.0
ancylite-(la),shortite,1.0
ancylite-(la),cancrisilite,1.0
ancylite-(la),natron,1.0
ancylite-(la),weloganite,1.0
ancylite-(la),kukharenkoite-(ce),2.0
ancylite-(la),kimuraite-(y),1.0
ancylite-(la),khanneshite,1.0
ancylite-(la),remondite-(ce),1.0
ancylite-(la),daqingshanite-(ce),1.0
ancylite-(la),calcite,7.0
ancylite-(la),biraite-(ce),1.0
ancylite-(la),donnayite-(y),2.0
ancylite-(la),dolomite,4.0
ancylite-(la),benstonite,1.0
ancylite-(la),siderite,1.0
tyrolite,malachite,175.0
tyrolite,hydrozincite,23.0
tyrolite,pyroaurite,1.0
tyrolite,hydrotalcite,1.0
tyrolite,phosgenite,3.0
tyrolite,bismutite,24.0
