from,to,weight
hendersonite,powellite,1.0
hendersonite,rauvite,1.0
hendersonite,pascoite,2.0
hendersonite,gypsum,3.0
hendersonite,nashite,1.0
hendersonite,sherwoodite,2.0
hendersonite,simplotite,1.0
hendersonite,corvusite,3.0
hendersonite,hewettite,3.0
hendersonite,calcite,2.0
hendersonite,metarossite,3.0
hendersonite,metatyuyamunite,2.0
hendersonite,metahewettite,2.0
hendersonite,melanovanadite,1.0
hendersonite,kokinosite,1.0
hendersonite,rossite,3.0
hendersonite,tyuyamunite,2.0
hendersonite,calciodelrioite,1.0
hendersonite,wernerbaurite,1.0
mukhinite,titanite,1.0
mukhinite,grossular,3.0
mukhinite,pectolite,1.0
mukhinite,diopside,3.0
mukhinite,magnesio-hornblende,1.0
mukhinite,gypsum,1.0
mukhinite,hibonite,1.0
mukhinite,scolecite,1.0
mukhinite,mesolite,1.0
mukhinite,tremolite,1.0
mukhinite,calcite,2.0
mukhinite,heulandite-ca,1.0
mukhinite,dissakisite-(la),1.0
mukhinite,actinolite,1.0
mukhinite,vesuvianite,1.0
mukhinite,uvarovite,1.0
mukhinite,laumontite,1.0
mukhinite,prehnite,1.0
mukhinite,clinozoisite,1.0
mukhinite,fluorapatite,1.0
mukhinite,goldmanite,3.0
mukhinite,perovskite,1.0
mukhinite,pumpellyite-(mg),1.0
mukhinite,edenite,1.0
allanite-(la),ferro-actinolite,1.0
allanite-(la),meionite,5.0
allanite-(la),phillipsite-ca,1.0
allanite-(la),titanite,12.0
allanite-(la),hydroxylapatite,1.0
allanite-(la),aragonite,6.0
allanite-(la),hydroxymanganopyrochlore,1.0
allanite-(la),fersmite,5.0
allanite-(la),grossular,8.0
allanite-(la),hedenbergite,5.0
allanite-(la),aeschynite-(ce),5.0
allanite-(la),pectolite,2.0
allanite-(la),taseqite,1.0
allanite-(la),lavenite,4.0
allanite-(la),stilbite-ca,1.0
allanite-(la),saponite,1.0
allanite-(la),diopside,5.0
allanite-(la),perboeite-(la),1.0
allanite-(la),scheelite,1.0
allanite-(la),fluorapophyllite-(k),1.0
allanite-(la),gypsum,6.0
allanite-(la),datolite,1.0
allanite-(la),stellerite,1.0
allanite-(la),anorthite,2.0
allanite-(la),oxycalcioromeite,1.0
allanite-(la),aeschynite-(y),1.0
allanite-(la),lavendulan,1.0
allanite-(la),winchite,1.0
allanite-(la),cancrinite,5.0
allanite-(la),ferriakasakaite-(la),1.0
allanite-(la),augite,6.0
allanite-(la),ankerite,1.0
allanite-(la),rhodonite,5.0
allanite-(la),wollastonite,5.0
allanite-(la),todorokite,1.0
allanite-(la),fluorcalciopyrochlore,1.0
allanite-(la),zalesiite,1.0
allanite-(la),alumohydrocalcite,4.0
allanite-(la),ferriallanite-(ce),1.0
allanite-(la),bustamite,4.0
allanite-(la),tremolite,1.0
allanite-(la),piemontite,1.0
allanite-(la),aegirine-augite,4.0
allanite-(la),cafarsite,1.0
allanite-(la),laachite,1.0
allanite-(la),hydroxycalcioromeite,1.0
allanite-(la),fluorcalciobritholite,1.0
allanite-(la),davyne,4.0
allanite-(la),montmorillonite,4.0
allanite-(la),calcite,11.0
allanite-(la),hiortdahlite,4.0
allanite-(la),cerite-(ce),1.0
allanite-(la),dolomite,9.0
allanite-(la),rancieite,1.0
allanite-(la),tyrolite,1.0
allanite-(la),hauyne,4.0
allanite-(la),britholite-(ce),2.0
allanite-(la),noggerathite-(ce),1.0
allanite-(la),christofschaferite-(ce),1.0
allanite-(la),turkestanite,1.0
allanite-(la),dissakisite-(la),1.0
allanite-(la),richterite,1.0
allanite-(la),arseniosiderite,1.0
allanite-(la),armenite,1.0
allanite-(la),parisite-(ce),2.0
allanite-(la),zoisite,1.0
allanite-(la),synchysite-(y),1.0
allanite-(la),kimzeyite,1.0
allanite-(la),ferrorhodonite,1.0
allanite-(la),ferro-katophorite,1.0
allanite-(la),radekskodaite-(la),1.0
allanite-(la),fluorbritholite-(ce),2.0
allanite-(la),monticellite,1.0
allanite-(la),burbankite,1.0
allanite-(la),fluorite,8.0
allanite-(la),hydroxycalciopyrochlore,1.0
allanite-(la),barytocalcite,1.0
allanite-(la),oxycalciopyrochlore,1.0
allanite-(la),kentbrooksite,1.0
allanite-(la),mendigite,2.0
allanite-(la),magnesio-hastingsite,1.0
allanite-(la),epidote,10.0
allanite-(la),actinolite,7.0
allanite-(la),eudialyte,1.0
allanite-(la),thomsonite-ca,1.0
allanite-(la),vesuvianite,3.0
allanite-(la),ferriperboeite-(la),1.0
allanite-(la),andradite,7.0
allanite-(la),gerenite-(y),1.0
allanite-(la),thaumasite,4.0
allanite-(la),ferro-ferri-katophorite,1.0
allanite-(la),fluornatropyrochlore,2.0
allanite-(la),allanite-(ce),14.0
allanite-(la),perrierite-(la),1.0
allanite-(la),tyuyamunite,1.0
allanite-(la),gotzenite,4.0
allanite-(la),conichalcite,1.0
allanite-(la),uranophane-alpha,1.0
allanite-(la),prehnite,3.0
allanite-(la),clinozoisite,2.0
allanite-(la),cheralite,1.0
allanite-(la),fluorapatite,8.0
allanite-(la),ferriallanite-(la),2.0
allanite-(la),stefanweissite,1.0
allanite-(la),kaersutite,5.0
allanite-(la),devilline,4.0
allanite-(la),ferro-richterite,1.0
allanite-(la),ferri-katophorite,1.0
