from,to,weight
cernyite,barquillite,1.0
cernyite,hawleyite,1.0
cernyite,greenockite,1.0
nyholmite,edwardsite,1.0
nyholmite,otavite,1.0
nyholmite,birchite,1.0
nyholmite,niedermayrite,1.0
nyholmite,aldridgeite,1.0
nyholmite,greenockite,2.0
lazaridisite,edwardsite,2.0
lazaridisite,otavite,1.0
lazaridisite,niedermayrite,2.0
lazaridisite,voudourisite,2.0
lazaridisite,monteponite,1.0
lazaridisite,aldridgeite,1.0
lazaridisite,drobecite,1.0
lazaridisite,keyite,1.0
lazaridisite,hawleyite,1.0
lazaridisite,greenockite,1.0
edwardsite,otavite,2.0
edwardsite,birchite,1.0
edwardsite,niedermayrite,4.0
edwardsite,voudourisite,2.0
edwardsite,monteponite,1.0
edwardsite,aldridgeite,2.0
edwardsite,drobecite,1.0
edwardsite,keyite,1.0
edwardsite,hawleyite,1.0
edwardsite,greenockite,2.0
shadlunite,hawleyite,1.0
andyrobertsite,otavite,1.0
andyrobertsite,vanackerite,1.0
andyrobertsite,keyite,1.0
andyrobertsite,greenockite,1.0
cadmium,otavite,1.0
cadmium,monteponite,1.0
cadmium,greenockite,1.0
goldquarryite,greenockite,1.0
otavite,birchite,1.0
otavite,vanackerite,1.0
otavite,niedermayrite,2.0
otavite,voudourisite,1.0
otavite,monteponite,3.0
otavite,aldridgeite,2.0
otavite,drobecite,1.0
otavite,keyite,2.0
otavite,hawleyite,3.0
otavite,greenockite,12.0
birchite,niedermayrite,1.0
birchite,aldridgeite,1.0
birchite,greenockite,1.0
tazieffite,kudriavite,1.0
tazieffite,greenockite,1.0
vanackerite,keyite,1.0
vanackerite,greenockite,1.0
niedermayrite,voudourisite,2.0
niedermayrite,monteponite,1.0
niedermayrite,aldridgeite,3.0
niedermayrite,drobecite,1.0
niedermayrite,keyite,1.0
niedermayrite,hawleyite,1.0
niedermayrite,greenockite,4.0
voudourisite,monteponite,1.0
voudourisite,aldridgeite,1.0
voudourisite,cadmoindite,1.0
voudourisite,drobecite,1.0
voudourisite,keyite,1.0
voudourisite,hawleyite,1.0
voudourisite,greenockite,2.0
ramdohrite,greenockite,2.0
quadratite,greenockite,1.0
kudriavite,monteponite,1.0
kudriavite,cadmoindite,1.0
kudriavite,greenockite,2.0
monteponite,aldridgeite,1.0
monteponite,cadmoindite,1.0
monteponite,drobecite,1.0
monteponite,keyite,1.0
monteponite,hawleyite,2.0
monteponite,greenockite,3.0
aldridgeite,drobecite,1.0
aldridgeite,keyite,1.0
aldridgeite,hawleyite,1.0
aldridgeite,greenockite,3.0
cadmoindite,greenockite,2.0
barquillite,greenockite,1.0
drobecite,keyite,1.0
drobecite,hawleyite,1.0
drobecite,greenockite,1.0
keyite,hawleyite,1.0
keyite,greenockite,2.0
hawleyite,greenockite,24.0
