from,to,weight
wiserite,janchevite,1.0
wiserite,asisite,1.0
wiserite,hedyphane,1.0
wiserite,pyromorphite,1.0
wiserite,holdawayite,1.0
wiserite,sahlinite,1.0
wiserite,sakhaite,1.0
wiserite,hereroite,1.0
wiserite,erikjonssonite,1.0
wiserite,kombatite,1.0
wiserite,mimetite,1.0
wiserite,defernite,1.0
wiserite,vladkrivovichevite,1.0
wiserite,nagashimalite,1.0
wiserite,harkerite,1.0
traskite,perroudite,1.0
traskite,alforsite,1.0
traskite,fencooperite,1.0
traskite,titantaramellite,3.0
traskite,verplanckite,1.0
traskite,muirite,2.0
traskite,cerchiaraite-(fe),2.0
traskite,cerchiaraite-(al),3.0
traskite,kampfite,2.0
janchevite,asisite,1.0
janchevite,hedyphane,1.0
janchevite,pyromorphite,1.0
janchevite,holdawayite,1.0
janchevite,sahlinite,1.0
janchevite,sakhaite,1.0
janchevite,hereroite,1.0
janchevite,erikjonssonite,1.0
janchevite,kombatite,1.0
janchevite,mimetite,1.0
janchevite,defernite,1.0
janchevite,vladkrivovichevite,1.0
janchevite,harkerite,1.0
voronkovite,djerfisherite,2.0
voronkovite,connellite,1.0
voronkovite,alluaivite,1.0
voronkovite,halite,1.0
voronkovite,chlorbartonite,1.0
voronkovite,manganoeudialyte,1.0
voronkovite,mineevite-(y),1.0
voronkovite,dualite,1.0
perite,phosgenite,3.0
perite,blixite,1.0
perite,fiedlerite,2.0
perite,wiklundite,1.0
perite,ecdemite,3.0
perite,matlockite,2.0
perite,sundiusite,1.0
perite,georgiadesite,2.0
perite,cotunnite,2.0
perite,connellite,5.0
perite,mendipite,3.0
perite,barstowite,2.0
perite,thorneite,3.0
perite,laurionite,4.0
perite,hedyphane,2.0
perite,kapellasite,1.0
perite,eztlite,1.0
perite,magnussonite,1.0
perite,marialite,1.0
perite,vanadinite,10.0
perite,paratacamite,4.0
perite,murdochite,2.0
perite,pyromorphite,6.0
perite,nasonite,1.0
perite,spangolite,1.0
perite,phosphohedyphane,9.0
perite,taramellite,1.0
perite,mammothite,1.0
perite,freedite,1.0
perite,sahlinite,1.0
perite,chlorargyrite,11.0
perite,mojaveite,7.0
perite,halite,2.0
perite,philolithite,1.0
perite,nealite,3.0
perite,telluroperite,3.0
perite,pseudoboleite,3.0
