from,to,weight
smolyaninovite,bieberite,1.0
smolyaninovite,heterogenite,5.0
smolyaninovite,cobaltite,7.0
smolyaninovite,cattierite,1.0
smolyaninovite,alloclasite,4.0
smolyaninovite,cobaltaustinite,1.0
smolyaninovite,linnaeite,1.0
smolyaninovite,jamborite,1.0
smolyaninovite,skutterudite,6.0
smolyaninovite,glaucodot,1.0
smolyaninovite,cobaltkieserite,1.0
smolyaninovite,asbolane,3.0
smolyaninovite,spherocobaltite,1.0
smolyaninovite,carrollite,1.0
smolyaninovite,moorhouseite,1.0
smolyaninovite,erythrite,11.0
smolyaninovite,nickelskutterudite,3.0
smolyaninovite,cobaltarthurite,1.0
smolyaninovite,safflorite,3.0
bieberite,heterogenite,5.0
bieberite,cobaltite,8.0
bieberite,alloclasite,3.0
bieberite,roselite,1.0
bieberite,siegenite,6.0
bieberite,linnaeite,5.0
bieberite,jamborite,1.0
bieberite,skutterudite,12.0
bieberite,cobaltkoritnigite,1.0
bieberite,glaucodot,1.0
bieberite,cobaltzippeite,1.0
bieberite,asbolane,7.0
bieberite,aplowite,1.0
bieberite,spherocobaltite,2.0
bieberite,carrollite,2.0
bieberite,neustadtelite,1.0
bieberite,moorhouseite,3.0
bieberite,erythrite,19.0
bieberite,wupatkiite,1.0
bieberite,nickelskutterudite,5.0
bieberite,safflorite,5.0
kieftite,cobaltite,1.0
kieftite,linnaeite,1.0
kieftite,skutterudite,1.0
kieftite,oenite,1.0
kieftite,glaucodot,1.0
kieftite,costibite,1.0
kieftite,carrollite,1.0
kieftite,erythrite,1.0
kieftite,nickelskutterudite,1.0
kieftite,safflorite,3.0
kieftite,cobaltpentlandite,2.0
bornhardtite,trogtalite,2.0
bornhardtite,linnaeite,1.0
bornhardtite,penroseite,2.0
bornhardtite,freboldite,3.0
heterogenite,trogtalite,2.0
heterogenite,cobaltite,26.0
heterogenite,kolwezite,5.0
heterogenite,oursinite,2.0
heterogenite,metakirchheimerite,2.0
heterogenite,cattierite,3.0
heterogenite,comblainite,1.0
heterogenite,alloclasite,4.0
heterogenite,cobaltaustinite,4.0
heterogenite,roselite,5.0
heterogenite,siegenite,10.0
heterogenite,cobalttsumcorite,1.0
heterogenite,pradetite,1.0
heterogenite,tyrrellite,1.0
heterogenite,schneebergite,1.0
heterogenite,linnaeite,7.0
heterogenite,jamborite,1.0
heterogenite,cobaltlotharmeyerite,3.0
heterogenite,skutterudite,18.0
heterogenite,cobaltkoritnigite,8.0
heterogenite,clinosafflorite,1.0
heterogenite,glaucodot,4.0
heterogenite,penroseite,1.0
heterogenite,asbolane,18.0
heterogenite,spherocobaltite,17.0
heterogenite,cobaltomenite,1.0
heterogenite,carrollite,11.0
heterogenite,moorhouseite,3.0
heterogenite,erythrite,51.0
heterogenite,wupatkiite,1.0
heterogenite,nickelskutterudite,6.0
heterogenite,roselite-beta,8.0
heterogenite,cobaltarthurite,1.0
heterogenite,safflorite,13.0
mattagamite,cobaltite,2.0
mattagamite,linnaeite,1.0
mattagamite,cobaltpentlandite,1.0
trogtalite,cobaltite,1.0
trogtalite,kolwezite,1.0
trogtalite,oursinite,2.0
trogtalite,cattierite,1.0
trogtalite,comblainite,1.0
trogtalite,siegenite,1.0
trogtalite,tyrrellite,5.0
trogtalite,linnaeite,2.0
trogtalite,penroseite,4.0
trogtalite,asbolane,2.0
trogtalite,spherocobaltite,2.0
trogtalite,cobaltomenite,1.0
trogtalite,carrollite,2.0
trogtalite,freboldite,2.0
cobaltite,cattierite,12.0
cobaltite,comblainite,1.0
