from,to,weight
crocoite,fornacite,6.0
crocoite,phoenicochroite,12.0
crocoite,vauquelinite,18.0
crocoite,magnesiochromite,1.0
crocoite,iranite,2.0
crocoite,yedlinite,1.0
crocoite,chromite,8.0
crocoite,grimaldiite,1.0
crocoite,macquartite,1.0
crocoite,hemihedrite,2.0
crocoite,georgerobinsonite,1.0
crocoite,reynoldsite,1.0
crocoite,embreyite,4.0
crocoite,stichtite,3.0
crocoite,petterdite,2.0
dukeite,chromite,1.0
dukeite,chrombismite,1.0
xieite,chromite,1.0
davidite-(ce),lindsleyite,1.0
davidite-(ce),senaite,1.0
davidite-(ce),polyakovite-(ce),1.0
davidite-(ce),davidite-(la),2.0
davidite-(ce),chromite,2.0
davidite-(ce),crichtonite,1.0
fornacite,phoenicochroite,12.0
fornacite,chromschieffelinite,1.0
fornacite,vauquelinite,17.0
fornacite,iranite,7.0
fornacite,yedlinite,1.0
fornacite,macquartite,1.0
fornacite,hemihedrite,6.0
fornacite,georgerobinsonite,1.0
fornacite,reynoldsite,1.0
fornacite,cassedanneite,1.0
fornacite,embreyite,1.0
fornacite,petterdite,1.0
andreyivanovite,schollhornite,1.0
andreyivanovite,chromite,2.0
andreyivanovite,heideite,1.0
andreyivanovite,daubreelite,1.0
krinovite,carlsbergite,1.0
krinovite,kosmochlor,1.0
krinovite,chromite,1.0
krinovite,daubreelite,1.0
lindsleyite,hawthorneite,1.0
lindsleyite,senaite,1.0
lindsleyite,magnesiochromite,1.0
lindsleyite,davidite-(la),1.0
lindsleyite,mathiasite,6.0
lindsleyite,chromite,7.0
lindsleyite,yimengite,2.0
lindsleyite,redledgeite,1.0
lindsleyite,crichtonite,2.0
lindsleyite,dessauite-(y),1.0
chromceladonite,eskolaite,1.0
chromceladonite,chromphyllite,1.0
chromceladonite,zincochromite,1.0
chromceladonite,chromite,1.0
chromceladonite,chromium-dravite,1.0
phoenicochroite,vauquelinite,11.0
phoenicochroite,magnesiochromite,1.0
phoenicochroite,iranite,7.0
phoenicochroite,yedlinite,1.0
phoenicochroite,macquartite,1.0
phoenicochroite,hemihedrite,11.0
phoenicochroite,georgerobinsonite,1.0
phoenicochroite,cassedanneite,1.0
phoenicochroite,embreyite,1.0
phoenicochroite,petterdite,1.0
ferchromide,chromferide,1.0
ferchromide,isovite,1.0
ferchromide,chromium,1.0
hawthorneite,mathiasite,2.0
hawthorneite,chromite,1.0
hawthorneite,yimengite,1.0
brezinaite,eskolaite,1.0
brezinaite,cronusite,1.0
brezinaite,schollhornite,1.0
brezinaite,carlsbergite,2.0
