from,to,weight
zeravshanite,gorbunovite,1.0
zeravshanite,kirchhoffite,1.0
zeravshanite,mendeleevite-(nd),1.0
zeravshanite,odigitriaite,1.0
zeravshanite,mendeleevite-(ce),1.0
zeravshanite,garmite,1.0
zeravshanite,sokolovaite,1.0
zeravshanite,senkevichite,1.0
zeravshanite,telyushenkoite,1.0
zeravshanite,kupletskite-(cs),1.0
gorbunovite,kirchhoffite,1.0
gorbunovite,mendeleevite-(nd),1.0
gorbunovite,odigitriaite,1.0
gorbunovite,mendeleevite-(ce),1.0
gorbunovite,garmite,1.0
gorbunovite,sokolovaite,1.0
gorbunovite,senkevichite,1.0
gorbunovite,telyushenkoite,1.0
gorbunovite,kupletskite-(cs),1.0
kirchhoffite,mendeleevite-(nd),1.0
kirchhoffite,odigitriaite,1.0
kirchhoffite,mendeleevite-(ce),1.0
kirchhoffite,garmite,1.0
kirchhoffite,sokolovaite,1.0
kirchhoffite,senkevichite,1.0
kirchhoffite,telyushenkoite,1.0
kirchhoffite,kupletskite-(cs),1.0
mendeleevite-(nd),odigitriaite,1.0
mendeleevite-(nd),mendeleevite-(ce),1.0
mendeleevite-(nd),garmite,1.0
mendeleevite-(nd),sokolovaite,1.0
mendeleevite-(nd),senkevichite,1.0
mendeleevite-(nd),telyushenkoite,1.0
mendeleevite-(nd),kupletskite-(cs),1.0
odigitriaite,mendeleevite-(ce),1.0
odigitriaite,garmite,1.0
odigitriaite,sokolovaite,1.0
odigitriaite,senkevichite,1.0
odigitriaite,telyushenkoite,1.0
odigitriaite,kupletskite-(cs),1.0
mendeleevite-(ce),garmite,1.0
mendeleevite-(ce),sokolovaite,1.0
mendeleevite-(ce),senkevichite,1.0
mendeleevite-(ce),telyushenkoite,1.0
mendeleevite-(ce),kupletskite-(cs),1.0
pollucite,londonite,2.0
pollucite,nanpingite,6.0
pollucite,sokolovaite,5.0
pollucite,mccrillisite,1.0
pollucite,pezzottaite,2.0
garmite,sokolovaite,1.0
garmite,senkevichite,1.0
garmite,telyushenkoite,1.0
garmite,kupletskite-(cs),1.0
londonite,cesiokenopyrochlore,1.0
nanpingite,sokolovaite,2.0
sokolovaite,senkevichite,1.0
sokolovaite,telyushenkoite,1.0
sokolovaite,kupletskite-(cs),1.0
senkevichite,telyushenkoite,1.0
senkevichite,kupletskite-(cs),1.0
telyushenkoite,kupletskite-(cs),1.0
gorbunovite,zeravshanite,1.0
kirchhoffite,zeravshanite,1.0
mendeleevite-(nd),zeravshanite,1.0
odigitriaite,zeravshanite,1.0
mendeleevite-(ce),zeravshanite,1.0
garmite,zeravshanite,1.0
sokolovaite,zeravshanite,1.0
senkevichite,zeravshanite,1.0
telyushenkoite,zeravshanite,1.0
kupletskite-(cs),zeravshanite,1.0
kirchhoffite,gorbunovite,1.0
mendeleevite-(nd),gorbunovite,1.0
odigitriaite,gorbunovite,1.0
mendeleevite-(ce),gorbunovite,1.0
garmite,gorbunovite,1.0
sokolovaite,gorbunovite,1.0
senkevichite,gorbunovite,1.0
telyushenkoite,gorbunovite,1.0
kupletskite-(cs),gorbunovite,1.0
mendeleevite-(nd),kirchhoffite,1.0
odigitriaite,kirchhoffite,1.0
mendeleevite-(ce),kirchhoffite,1.0
garmite,kirchhoffite,1.0
sokolovaite,kirchhoffite,1.0
senkevichite,kirchhoffite,1.0
telyushenkoite,kirchhoffite,1.0
kupletskite-(cs),kirchhoffite,1.0
odigitriaite,mendeleevite-(nd),1.0
mendeleevite-(ce),mendeleevite-(nd),1.0
garmite,mendeleevite-(nd),1.0
sokolovaite,mendeleevite-(nd),1.0
senkevichite,mendeleevite-(nd),1.0
telyushenkoite,mendeleevite-(nd),1.0
kupletskite-(cs),mendeleevite-(nd),1.0
mendeleevite-(ce),odigitriaite,1.0
garmite,odigitriaite,1.0
sokolovaite,odigitriaite,1.0
senkevichite,odigitriaite,1.0
telyushenkoite,odigitriaite,1.0
kupletskite-(cs),odigitriaite,1.0
garmite,mendeleevite-(ce),1.0
sokolovaite,mendeleevite-(ce),1.0
senkevichite,mendeleevite-(ce),1.0
telyushenkoite,mendeleevite-(ce),1.0
kupletskite-(cs),mendeleevite-(ce),1.0
londonite,pollucite,2.0
nanpingite,pollucite,6.0
sokolovaite,pollucite,5.0
mccrillisite,pollucite,1.0
pezzottaite,pollucite,2.0
sokolovaite,garmite,1.0
senkevichite,garmite,1.0
telyushenkoite,garmite,1.0
kupletskite-(cs),garmite,1.0
cesiokenopyrochlore,londonite,1.0
sokolovaite,nanpingite,2.0
senkevichite,sokolovaite,1.0
telyushenkoite,sokolovaite,1.0
kupletskite-(cs),sokolovaite,1.0
telyushenkoite,senkevichite,1.0
kupletskite-(cs),senkevichite,1.0
kupletskite-(cs),telyushenkoite,1.0
