from,to,weight
penzhinite,chalcopyrite,1.0
creaseyite,malachite,9.0
creaseyite,chalcocite,3.0
creaseyite,mottramite,9.0
creaseyite,cyanotrichite,2.0
creaseyite,bornite,4.0
creaseyite,xocomecatlite,1.0
creaseyite,orthoserpierite,1.0
creaseyite,libethenite,1.0
creaseyite,bournonite,1.0
creaseyite,langite,4.0
creaseyite,bobmeyerite,1.0
creaseyite,shattuckite,7.0
creaseyite,antlerite,1.0
creaseyite,cornwallite,1.0
creaseyite,copper,3.0
creaseyite,mojaveite,6.0
creaseyite,fornacite,10.0
creaseyite,paratimroseite,1.0
creaseyite,dioptase,6.0
creaseyite,pseudoboleite,2.0
creaseyite,bluebellite,1.0
creaseyite,munakataite,5.0
creaseyite,iranite,2.0
creaseyite,ashburtonite,1.0
creaseyite,macquartite,1.0
creaseyite,caledonite,7.0
creaseyite,fukuchilite,1.0
creaseyite,aurichalcite,7.0
creaseyite,quetzalcoatlite,1.0
creaseyite,chrysocolla,21.0
creaseyite,cumengeite,1.0
creaseyite,khinite,6.0
creaseyite,pseudomalachite,2.0
creaseyite,tlalocite,1.0
creaseyite,olivenite,1.0
creaseyite,philipsburgite,1.0
creaseyite,wherryite,3.0
creaseyite,serpierite,3.0
creaseyite,chalcopyrite,10.0
creaseyite,clinoclase,1.0
creaseyite,agardite-(la),1.0
creaseyite,bechererite,1.0
creaseyite,timroseite,5.0
creaseyite,botallackite,1.0
creaseyite,atacamite,4.0
creaseyite,theisite,1.0
creaseyite,trippkeite,1.0
creaseyite,chalcanthite,3.0
creaseyite,mcalpineite,1.0
creaseyite,arsentsumebite,1.0
creaseyite,linarite,9.0
creaseyite,duftite,3.0
creaseyite,carbonatecyanotrichite,1.0
creaseyite,lavendulan,1.0
creaseyite,connellite,3.0
creaseyite,cuprite,4.0
creaseyite,agardite-(y),1.0
creaseyite,bairdite,1.0
creaseyite,djurleite,2.0
creaseyite,tenorite,2.0
creaseyite,paratacamite,4.0
creaseyite,murdochite,7.0
creaseyite,housleyite,2.0
creaseyite,chalcophyllite,1.0
creaseyite,clinoatacamite,2.0
creaseyite,mammothite,1.0
creaseyite,rosasite,6.0
creaseyite,conichalcite,4.0
creaseyite,namibite,3.0
creaseyite,zalesiite,1.0
creaseyite,posnjakite,1.0
creaseyite,kipushite,2.0
creaseyite,devilline,1.0
creaseyite,ajoite,1.0
creaseyite,boleite,3.0
creaseyite,petersite-(y),1.0
creaseyite,herbertsmithite,1.0
creaseyite,azurite,5.0
