from,to,weight
topsoeite,hydrokenoralstonite,1.0
topsoeite,oskarssonite,1.0
topsoeite,verneite,1.0
topsoeite,heklaite,1.0
topsoeite,hieratite,1.0
topsoeite,jakobssonite,1.0
topsoeite,malladrite,1.0
topsoeite,leonardsenite,1.0
betalomonosovite,vesuvianite,1.0
betalomonosovite,nacaphite,2.0
betalomonosovite,cryolite,1.0
betalomonosovite,polyphite,1.0
betalomonosovite,sobolevite,1.0
betalomonosovite,delhayelite,1.0
betalomonosovite,villiaumite,2.0
betalomonosovite,fluorapatite,2.0
betalomonosovite,synchysite-(ce),1.0
betalomonosovite,rouvilleite,1.0
betalomonosovite,hainite-(y),1.0
betalomonosovite,fluorite,1.0
betalomonosovite,burpalite,1.0
betalomonosovite,fluorapophyllite-(k),1.0
betalomonosovite,mineevite-(y),1.0
betalomonosovite,kentbrooksite,1.0
betalomonosovite,quadruphite,1.0
betalomonosovite,niobophyllite,1.0
betalomonosovite,elpasolite,1.0
betalomonosovite,hiortdahlite,1.0
carlhintzeite,pachnolite,3.0
carlhintzeite,fluellite,3.0
carlhintzeite,cryptohalite,1.0
carlhintzeite,hydrokenoralstonite,1.0
carlhintzeite,chukhrovite-(ce),1.0
carlhintzeite,khaidarkanite,1.0
carlhintzeite,prosopite,1.0
carlhintzeite,nollmotzite,1.0
carlhintzeite,benyacarite,2.0
carlhintzeite,morinite,3.0
carlhintzeite,kettnerite,1.0
carlhintzeite,zharchikhite,1.0
carlhintzeite,triplite,3.0
carlhintzeite,bastnasite-(nd),1.0
carlhintzeite,bastnasite-(ce),1.0
carlhintzeite,nordgauite,1.0
carlhintzeite,colquiriite,1.0
carlhintzeite,usovite,1.0
carlhintzeite,sellaite,1.0
carlhintzeite,fluorapatite,4.0
carlhintzeite,synchysite-(ce),1.0
carlhintzeite,tainiolite,1.0
carlhintzeite,fluocerite-(ce),1.0
carlhintzeite,lacroixite,1.0
carlhintzeite,bastnasite-(la),1.0
carlhintzeite,zwieselite,2.0
carlhintzeite,fluorite,4.0
carlhintzeite,svabite,1.0
carlhintzeite,bararite,1.0
carlhintzeite,galliskiite,1.0
carlhintzeite,gearksutite,1.0
pachnolite,fluellite,4.0
pachnolite,fluoro-riebeckite,1.0
pachnolite,hydrokenoralstonite,13.0
pachnolite,topaz,5.0
pachnolite,weberite,8.0
pachnolite,prosopite,11.0
pachnolite,astrophyllite,2.0
pachnolite,chukhrovite-(y),1.0
pachnolite,tveitite-(y),1.0
