from,to,weight
pseudobrookite,santabarbaraite,1.0
pseudobrookite,allanite-(la),4.0
pseudobrookite,halotrichite,4.0
pseudobrookite,phosphophyllite,1.0
pseudobrookite,manaevite-(ce),1.0
pseudobrookite,bornite,9.0
pseudobrookite,fluoro-riebeckite,1.0
pseudobrookite,pansnerite,1.0
pseudobrookite,philoxenite,1.0
pseudobrookite,kremersite,1.0
pseudobrookite,laihunite,2.0
pseudobrookite,clinoferrosilite,2.0
pseudobrookite,greigite,1.0
pseudobrookite,klochite,1.0
pseudobrookite,destinezite,1.0
pseudobrookite,achyrophanite,1.0
pseudobrookite,natrojarosite,6.0
pseudobrookite,pyrite,31.0
pseudobrookite,lileyite,3.0
pseudobrookite,noggerathite-(ce),1.0
pseudobrookite,christofschaferite-(ce),1.0
pseudobrookite,srebrodolskite,5.0
pseudobrookite,gudmundite,1.0
pseudobrookite,kerimasite,1.0
pseudobrookite,cuprospinel,1.0
pseudobrookite,copiapite,2.0
pseudobrookite,potassic-ferro-pargasite,1.0
pseudobrookite,almarudite,1.0
pseudobrookite,ammoniojarosite,1.0
pseudobrookite,armalcolite,6.0
pseudobrookite,messelite,1.0
pseudobrookite,hatertite,1.0
pseudobrookite,ferrisepiolite,1.0
pseudobrookite,nontronite,2.0
pseudobrookite,ferberite,1.0
pseudobrookite,ferri-kaersutite,3.0
pseudobrookite,magnesioferrite,11.0
pseudobrookite,omphacite,1.0
pseudobrookite,kornerupine,1.0
pseudobrookite,cacoxenite,2.0
pseudobrookite,ekebergite,1.0
pseudobrookite,siderotil,1.0
pseudobrookite,varlamoffite,1.0
pseudobrookite,pyroxferroite,1.0
pseudobrookite,anatolyite,1.0
pseudobrookite,mooihoekite,1.0
pseudobrookite,aegirine,14.0
pseudobrookite,oxyphlogopite,3.0
pseudobrookite,anandite,1.0
pseudobrookite,tripuhyite,2.0
pseudobrookite,chayesite,4.0
pseudobrookite,scorodite,1.0
pseudobrookite,hematite,118.0
pseudobrookite,tennantite-(fe),1.0
pseudobrookite,aerinite,1.0
pseudobrookite,qandilite,1.0
pseudobrookite,laueite,1.0
pseudobrookite,batiferrite,3.0
pseudobrookite,ulvospinel,7.0
pseudobrookite,ferrorhodonite,1.0
pseudobrookite,hedenbergite,11.0
pseudobrookite,vivianite,5.0
pseudobrookite,dorrite,7.0
pseudobrookite,melanterite,10.0
pseudobrookite,gadolinite-(y),1.0
pseudobrookite,aeschynite-(ce),4.0
pseudobrookite,bafertisite,1.0
pseudobrookite,ferrinatrite,1.0
pseudobrookite,symplesite,1.0
pseudobrookite,pseudorutile,2.0
pseudobrookite,greenalite,1.0
pseudobrookite,lavenite,4.0
pseudobrookite,loveringite,3.0
pseudobrookite,saponite,4.0
pseudobrookite,esseneite,1.0
pseudobrookite,celadonite,4.0
pseudobrookite,chevkinite-(ce),4.0
pseudobrookite,lyonsite,2.0
pseudobrookite,lollingite,1.0
pseudobrookite,freudenbergite,2.0
pseudobrookite,staurolite,5.0
pseudobrookite,fougerite,4.0
pseudobrookite,vernadite,1.0
pseudobrookite,magnesiohogbomite-2n3s,1.0
pseudobrookite,klyuchevskite,1.0
pseudobrookite,perrierite-(ce),5.0
pseudobrookite,hisingerite,1.0
pseudobrookite,ferrosilite,8.0
pseudobrookite,ferri-obertiite,2.0
pseudobrookite,fayalite,19.0
pseudobrookite,magnesio-hastingsite,3.0
pseudobrookite,hillesheimite,1.0
pseudobrookite,epidote,9.0
pseudobrookite,mitridatite,1.0
pseudobrookite,erythrosiderite,1.0
pseudobrookite,chalcopyrite,30.0
pseudobrookite,landauite,1.0
pseudobrookite,ferrisymplesite,1.0
pseudobrookite,maghemite,7.0
pseudobrookite,mohrite,2.0
pseudobrookite,akaganeite,1.0
pseudobrookite,chromite,13.0
pseudobrookite,tetraferriannite,1.0
pseudobrookite,arfvedsonite,5.0
pseudobrookite,melanarsite,1.0
pseudobrookite,alumoakermanite,2.0
pseudobrookite,actinolite,7.0
pseudobrookite,phosphosiderite,1.0
pseudobrookite,melanotekite,1.0
pseudobrookite,badalovite,1.0
pseudobrookite,sideronatrite,1.0
pseudobrookite,argentopentlandite,1.0
pseudobrookite,harmunite,1.0
pseudobrookite,khesinite,2.0
pseudobrookite,lawrencite,2.0
pseudobrookite,plumboferrite,1.0
pseudobrookite,schorl,1.0
pseudobrookite,vesuvianite,1.0
pseudobrookite,pyroaurite,2.0
pseudobrookite,rozenite,12.0
pseudobrookite,andradite,33.0
pseudobrookite,annite,2.0
pseudobrookite,magnetite,84.0
pseudobrookite,juanite,1.0
pseudobrookite,arsenopyrite,2.0
pseudobrookite,koninckite,1.0
pseudobrookite,columbite-(fe),4.0
pseudobrookite,trattnerite,2.0
pseudobrookite,strengite,1.0
pseudobrookite,edtollite,1.0
pseudobrookite,astrophyllite,1.0
pseudobrookite,goethite,28.0
pseudobrookite,schorlomite,3.0
pseudobrookite,yurmarinite,1.0
pseudobrookite,ferro-ferri-katophorite,1.0
pseudobrookite,voltaite,1.0
pseudobrookite,magnesio-arfvedsonite,1.0
pseudobrookite,rinneite,1.0
pseudobrookite,delvauxite,1.0
pseudobrookite,priderite,4.0
pseudobrookite,ferriakasakaite-(la),1.0
pseudobrookite,naquite,1.0
pseudobrookite,plumbojarosite,1.0
pseudobrookite,allanite-(ce),7.0
pseudobrookite,perrierite-(la),1.0
pseudobrookite,wustite,2.0
pseudobrookite,riebeckite,3.0
pseudobrookite,augite,62.0
pseudobrookite,coquimbite,1.0
pseudobrookite,sabieite,1.0
pseudobrookite,parasymplesite,3.0
pseudobrookite,emmerichite,2.0
pseudobrookite,ankerite,4.0
pseudobrookite,iron,6.0
pseudobrookite,franklinite,3.0
pseudobrookite,ferro-edenite,1.0
pseudobrookite,diadochite,2.0
pseudobrookite,shulamitite,2.0
pseudobrookite,marcasite,15.0
pseudobrookite,potassic-arfvedsonite,1.0
pseudobrookite,pentlandite,8.0
