from,to,weight
zincobriartite,gallite,1.0
gallite,sohngeite,1.0
gallite,galloplumbogummite,1.0
gallite,tsumgallite,1.0
gallite,gallobeudantite,1.0
sohngeite,galloplumbogummite,1.0
sohngeite,tsumgallite,1.0
sohngeite,gallobeudantite,1.0
galloplumbogummite,tsumgallite,1.0
galloplumbogummite,gallobeudantite,1.0
tsumgallite,gallobeudantite,1.0
gallite,zincobriartite,1.0
sohngeite,gallite,1.0
galloplumbogummite,gallite,1.0
tsumgallite,gallite,1.0
gallobeudantite,gallite,1.0
galloplumbogummite,sohngeite,1.0
tsumgallite,sohngeite,1.0
gallobeudantite,sohngeite,1.0
tsumgallite,galloplumbogummite,1.0
gallobeudantite,galloplumbogummite,1.0
gallobeudantite,tsumgallite,1.0
