from,to,weight
gaildunningite,vasilyevite,1.0
gaildunningite,aurivilliusite,1.0
gaildunningite,tedhadleyite,1.0
dietzeite,bruggenite,1.0
dietzeite,carlosruizite,1.0
schwartzembergite,seeligerite,9.0
schwartzembergite,salesite,1.0
schwartzembergite,iodargyrite,1.0
coccinite,perroudite,1.0
coccinite,moschelite,1.0
coccinite,siidraite,1.0
bellingerite,marshite,1.0
bellingerite,salesite,1.0
bellingerite,miersite,1.0
lautarite,bruggenite,1.0
hectorfloresite,fuenzalidaite,2.0
vasilyevite,aurivilliusite,1.0
vasilyevite,tedhadleyite,1.0
bruggenite,carlosruizite,1.0
aurivilliusite,tedhadleyite,1.0
bluebellite,iodargyrite,1.0
seeligerite,iodargyrite,2.0
marshite,salesite,1.0
marshite,perroudite,1.0
marshite,moschelite,1.0
marshite,iodargyrite,4.0
marshite,hanauerite,1.0
marshite,miersite,4.0
salesite,miersite,1.0
perroudite,iodargyrite,6.0
perroudite,siidraite,1.0
perroudite,hanauerite,2.0
perroudite,miersite,1.0
moschelite,iodargyrite,1.0
moschelite,miersite,1.0
iodargyrite,hanauerite,2.0
iodargyrite,miersite,6.0
iodargyrite,tocornalite,1.0
vasilyevite,gaildunningite,1.0
aurivilliusite,gaildunningite,1.0
tedhadleyite,gaildunningite,1.0
bruggenite,dietzeite,1.0
carlosruizite,dietzeite,1.0
seeligerite,schwartzembergite,9.0
salesite,schwartzembergite,1.0
iodargyrite,schwartzembergite,1.0
perroudite,coccinite,1.0
moschelite,coccinite,1.0
siidraite,coccinite,1.0
marshite,bellingerite,1.0
salesite,bellingerite,1.0
miersite,bellingerite,1.0
bruggenite,lautarite,1.0
fuenzalidaite,hectorfloresite,2.0
aurivilliusite,vasilyevite,1.0
tedhadleyite,vasilyevite,1.0
carlosruizite,bruggenite,1.0
tedhadleyite,aurivilliusite,1.0
iodargyrite,bluebellite,1.0
iodargyrite,seeligerite,2.0
salesite,marshite,1.0
perroudite,marshite,1.0
moschelite,marshite,1.0
iodargyrite,marshite,4.0
hanauerite,marshite,1.0
miersite,marshite,4.0
miersite,salesite,1.0
iodargyrite,perroudite,6.0
siidraite,perroudite,1.0
hanauerite,perroudite,2.0
miersite,perroudite,1.0
iodargyrite,moschelite,1.0
miersite,moschelite,1.0
hanauerite,iodargyrite,2.0
miersite,iodargyrite,6.0
tocornalite,iodargyrite,1.0
