from,to,weight
znamenskyite,roquesite,1.0
znamenskyite,abramovite,1.0
znamenskyite,cadmoindite,1.0
yanomamite,roquesite,1.0
yanomamite,dzhalindite,1.0
ramdohrite,petrukite,1.0
ramdohrite,sakuraiite,1.0
yixunite,damiaoite,2.0
roquesite,dzhalindite,5.0
roquesite,laforetite,1.0
roquesite,abramovite,1.0
roquesite,petrukite,3.0
roquesite,cadmoindite,1.0
roquesite,sakuraiite,5.0
indite,dzhalindite,2.0
dzhalindite,petrukite,2.0
dzhalindite,sakuraiite,1.0
dzhalindite,indium,1.0
laforetite,sakuraiite,1.0
abramovite,cadmoindite,1.0
petrukite,sakuraiite,5.0
roquesite,znamenskyite,1.0
abramovite,znamenskyite,1.0
cadmoindite,znamenskyite,1.0
roquesite,yanomamite,1.0
dzhalindite,yanomamite,1.0
petrukite,ramdohrite,1.0
sakuraiite,ramdohrite,1.0
damiaoite,yixunite,2.0
dzhalindite,roquesite,5.0
laforetite,roquesite,1.0
abramovite,roquesite,1.0
petrukite,roquesite,3.0
cadmoindite,roquesite,1.0
sakuraiite,roquesite,5.0
dzhalindite,indite,2.0
petrukite,dzhalindite,2.0
sakuraiite,dzhalindite,1.0
indium,dzhalindite,1.0
sakuraiite,laforetite,1.0
cadmoindite,abramovite,1.0
sakuraiite,petrukite,5.0
