from,to,weight
xingzhongite,iridarsenite,3.0
xingzhongite,malanite,1.0
xingzhongite,tolovkite,1.0
xingzhongite,iridium,5.0
xingzhongite,irarsite,5.0
xingzhongite,cuproiridsite,1.0
iridarsenite,tolovkite,1.0
iridarsenite,rutheniridosmine,4.0
iridarsenite,iridium,7.0
iridarsenite,irarsite,10.0
iridarsenite,kashinite,2.0
changchengite,gaotaiite,1.0
changchengite,inaglyite,1.0
changchengite,mayingite,2.0
changchengite,iridium,2.0
changchengite,irarsite,2.0
changchengite,shuangfengite,2.0
changchengite,chengdeite,2.0
malanite,ferhodsite,1.0
malanite,tolovkite,1.0
malanite,inaglyite,3.0
malanite,iridium,8.0
malanite,irarsite,15.0
malanite,kashinite,5.0
malanite,shuangfengite,1.0
malanite,cuproiridsite,9.0
malanite,chengdeite,1.0
ferhodsite,inaglyite,1.0
ferhodsite,iridium,1.0
ferhodsite,cuproiridsite,1.0
tolovkite,iridium,7.0
tolovkite,irarsite,7.0
tolovkite,kashinite,2.0
tolovkite,cuproiridsite,2.0
tolovkite,garutiite,1.0
tolovkite,chengdeite,2.0
gaotaiite,inaglyite,1.0
gaotaiite,mayingite,1.0
gaotaiite,iridium,1.0
gaotaiite,irarsite,1.0
gaotaiite,shuangfengite,1.0
gaotaiite,chengdeite,1.0
inaglyite,mayingite,1.0
inaglyite,iridium,5.0
inaglyite,irarsite,2.0
inaglyite,kashinite,2.0
inaglyite,shuangfengite,1.0
inaglyite,cuproiridsite,3.0
inaglyite,chengdeite,1.0
mayingite,iridium,2.0
mayingite,irarsite,3.0
mayingite,shuangfengite,3.0
mayingite,chengdeite,2.0
rutheniridosmine,iridium,29.0
rutheniridosmine,irarsite,15.0
rutheniridosmine,kashinite,3.0
rutheniridosmine,hexaferrum,1.0
rutheniridosmine,cuproiridsite,2.0
iridium,irarsite,43.0
iridium,kashinite,10.0
iridium,hexaferrum,1.0
iridium,hexamolybdenum,1.0
iridium,shuangfengite,3.0
iridium,cuproiridsite,10.0
iridium,chengdeite,4.0
irarsite,kashinite,12.0
irarsite,hexaferrum,1.0
irarsite,shuangfengite,3.0
irarsite,cuproiridsite,15.0
irarsite,garutiite,2.0
irarsite,chengdeite,3.0
kashinite,cuproiridsite,9.0
hexaferrum,garutiite,1.0
shuangfengite,chengdeite,2.0
iridarsenite,xingzhongite,3.0
malanite,xingzhongite,1.0
tolovkite,xingzhongite,1.0
iridium,xingzhongite,5.0
irarsite,xingzhongite,5.0
cuproiridsite,xingzhongite,1.0
tolovkite,iridarsenite,1.0
rutheniridosmine,iridarsenite,4.0
iridium,iridarsenite,7.0
irarsite,iridarsenite,10.0
kashinite,iridarsenite,2.0
gaotaiite,changchengite,1.0
inaglyite,changchengite,1.0
mayingite,changchengite,2.0
iridium,changchengite,2.0
irarsite,changchengite,2.0
shuangfengite,changchengite,2.0
chengdeite,changchengite,2.0
ferhodsite,malanite,1.0
tolovkite,malanite,1.0
inaglyite,malanite,3.0
iridium,malanite,8.0
irarsite,malanite,15.0
kashinite,malanite,5.0
shuangfengite,malanite,1.0
cuproiridsite,malanite,9.0
chengdeite,malanite,1.0
inaglyite,ferhodsite,1.0
iridium,ferhodsite,1.0
cuproiridsite,ferhodsite,1.0
iridium,tolovkite,7.0
irarsite,tolovkite,7.0
kashinite,tolovkite,2.0
cuproiridsite,tolovkite,2.0
garutiite,tolovkite,1.0
chengdeite,tolovkite,2.0
inaglyite,gaotaiite,1.0
mayingite,gaotaiite,1.0
iridium,gaotaiite,1.0
irarsite,gaotaiite,1.0
shuangfengite,gaotaiite,1.0
chengdeite,gaotaiite,1.0
mayingite,inaglyite,1.0
iridium,inaglyite,5.0
irarsite,inaglyite,2.0
kashinite,inaglyite,2.0
shuangfengite,inaglyite,1.0
cuproiridsite,inaglyite,3.0
chengdeite,inaglyite,1.0
iridium,mayingite,2.0
irarsite,mayingite,3.0
shuangfengite,mayingite,3.0
chengdeite,mayingite,2.0
iridium,rutheniridosmine,29.0
irarsite,rutheniridosmine,15.0
kashinite,rutheniridosmine,3.0
hexaferrum,rutheniridosmine,1.0
cuproiridsite,rutheniridosmine,2.0
irarsite,iridium,43.0
kashinite,iridium,10.0
hexaferrum,iridium,1.0
hexamolybdenum,iridium,1.0
shuangfengite,iridium,3.0
cuproiridsite,iridium,10.0
chengdeite,iridium,4.0
kashinite,irarsite,12.0
hexaferrum,irarsite,1.0
shuangfengite,irarsite,3.0
cuproiridsite,irarsite,15.0
garutiite,irarsite,2.0
chengdeite,irarsite,3.0
cuproiridsite,kashinite,9.0
garutiite,hexaferrum,1.0
chengdeite,shuangfengite,2.0
