from,to,weight
carnotite,meurigite-k,2.0
carnotite,yingjiangite,3.0
carnotite,florkeite,1.0
carnotite,leonite,1.0
carnotite,mordenite,2.0
carnotite,bellbergite,1.0
carnotite,sylvite,1.0
carnotite,eifelite,1.0
carnotite,franzinite,1.0
carnotite,offretite,1.0
carnotite,boltwoodite,15.0
carnotite,rameauite,1.0
carnotite,voltaite,1.0
carnotite,alunite,9.0
carnotite,almarudite,1.0
carnotite,corvusite,42.0
carnotite,roedderite,1.0
carnotite,osumilite-(mg),1.0
carnotite,phosphuranylite,19.0
carnotite,chromceladonite,1.0
carnotite,leucite,2.0
carnotite,benyacarite,1.0
carnotite,birnessite,1.0
carnotite,phosphofibrite,1.0
carnotite,leucophosphite,2.0
carnotite,abernathyite,2.0
carnotite,tschortnerite,1.0
carnotite,chromphyllite,1.0
carnotite,weeksite,12.0
carnotite,orthoclase,11.0
carnotite,phlogopite,2.0
carnotite,vuoriyarvite-k,1.0
carnotite,hummerite,7.0
carnotite,afghanite,1.0
carnotite,chayesite,1.0
carnotite,nepheline,2.0
carnotite,roscoelite,111.0
carnotite,todorokite,2.0
carnotite,calcioandyrobertsite,1.0
carnotite,minyulite,1.0
carnotite,fernandinite,4.0
carnotite,pharmacosiderite,4.0
carnotite,jarosite,48.0
carnotite,merrihueite,1.0
carnotite,fedorite,1.0
carnotite,osumilite,1.0
carnotite,celadonite,2.0
carnotite,muscovite,35.0
carnotite,meta-ankoleite,3.0
carnotite,vandermeerscheite,1.0
carnotite,fluorapophyllite-(k),1.0
carnotite,quadridavyne,1.0
carnotite,phillipsite-k,2.0
carnotite,compreignacite,5.0
carnotite,friedrichbeckeite,1.0
carnotite,niter,3.0
carnotite,sanidine,4.0
carnotite,straczekite,2.0
carnotite,microcline,8.0
carnotite,davyne,2.0
carnotite,alum-(k),2.0
carnotite,cryptomelane,3.0
carnotite,kalinite,1.0
carnotite,nabimusaite,1.0
carnotite,rhodesite,1.0
carnotite,zippeite,29.0
norrishite,ganophyllite,1.0
norrishite,sugilite,4.0
norrishite,parsettensite,1.0
norrishite,coombsite,1.0
norrishite,manganiceladonite,1.0
norrishite,potassic-mangani-leakeite,1.0
norrishite,sogdianite,1.0
norrishite,birnessite,1.0
norrishite,orthoclase,1.0
norrishite,phlogopite,1.0
norrishite,lavinskyite,2.0
norrishite,ferroceladonite,1.0
norrishite,todorokite,1.0
norrishite,ajoite,1.0
norrishite,celadonite,1.0
norrishite,muscovite,1.0
norrishite,potassic-magnesio-arfvedsonite,1.0
norrishite,fluorapophyllite-(k),1.0
norrishite,bannisterite,1.0
norrishite,microcline,1.0
norrishite,armbrusterite,1.0
norrishite,lennilenapeite,1.0
norrishite,hydroxyapophyllite-(k),2.0
norrishite,tetraferriannite,1.0
norrishite,cryptomelane,3.0
