from,to,weight
davidite-(la),loveringite,1.0
kukharenkoite-(la),carbocernaite,1.0
cordylite-(la),monazite-(la),1.0
cordylite-(la),ancylite-(la),1.0
cordylite-(la),carbocernaite,1.0
cordylite-(la),cerite-(ce),1.0
allanite-(la),monazite-(la),2.0
allanite-(la),ferriallanite-(la),2.0
allanite-(la),radekskodaite-(la),1.0
allanite-(la),ferriperboeite-(la),1.0
allanite-(la),perboeite-(la),1.0
allanite-(la),christofschaferite-(ce),1.0
allanite-(la),tornebohmite-(la),1.0
allanite-(la),ferriakasakaite-(la),1.0
allanite-(la),cerite-(ce),1.0
allanite-(la),perrierite-(la),1.0
allanite-(la),dissakisite-(la),1.0
allanite-(la),bastnasite-(la),3.0
manganiandrosite-(la),monazite-(la),1.0
manganiandrosite-(la),arsenoflorencite-(la),1.0
rhabdophane-(la),monazite-(la),2.0
rhabdophane-(la),calcioburbankite,1.0
rhabdophane-(la),parisite-(la),1.0
rhabdophane-(la),carbocernaite,1.0
rhabdophane-(la),cerite-(ce),2.0
rhabdophane-(la),agardite-(la),1.0
rhabdophane-(la),sazhinite-(la),1.0
rhabdophane-(la),remondite-(la),1.0
rhabdophane-(la),bastnasite-(la),2.0
rhabdophane-(la),florencite-(la),1.0
monazite-(la),ancylite-(la),2.0
monazite-(la),parisite-(la),1.0
monazite-(la),carbocernaite,2.0
monazite-(la),ferriandrosite-(la),1.0
monazite-(la),arisite-(la),1.0
monazite-(la),ferriakasakaite-(la),1.0
monazite-(la),cerite-(ce),2.0
monazite-(la),kozoite-(la),1.0
monazite-(la),vanadoallanite-(la),1.0
monazite-(la),agardite-(la),1.0
monazite-(la),sazhinite-(la),1.0
monazite-(la),arsenoflorencite-(la),2.0
monazite-(la),bastnasite-(la),5.0
monazite-(la),florencite-(la),3.0
ferriallanite-(la),radekskodaite-(la),1.0
ferriallanite-(la),ferriperboeite-(la),1.0
ferriallanite-(la),perboeite-(la),1.0
ferriallanite-(la),tornebohmite-(la),1.0
ferriallanite-(la),ferriakasakaite-(la),1.0
ferriallanite-(la),cerite-(ce),1.0
ferriallanite-(la),perrierite-(la),1.0
ferriallanite-(la),dissakisite-(la),1.0
ferriallanite-(la),bastnasite-(la),1.0
ancylite-(la),carbocernaite,2.0
ancylite-(la),belovite-(la),1.0
ancylite-(la),cerite-(ce),1.0
ancylite-(la),nordite-(la),1.0
ancylite-(la),sazhinite-(la),1.0
calcioburbankite,carbocernaite,2.0
calcioburbankite,cerite-(ce),1.0
calcioburbankite,sazhinite-(la),1.0
calcioburbankite,remondite-(la),1.0
parisite-(la),bastnasite-(la),1.0
radekskodaite-(la),ferriperboeite-(la),1.0
radekskodaite-(la),perboeite-(la),1.0
radekskodaite-(la),tornebohmite-(la),1.0
radekskodaite-(la),cerite-(ce),1.0
radekskodaite-(la),dissakisite-(la),1.0
radekskodaite-(la),bastnasite-(la),1.0
haleniusite-(la),fluocerite-(la),1.0
haleniusite-(la),bastnasite-(la),1.0
ferricerite-(la),cerite-(ce),2.0
