from,to,weight
zabuyelite,spodumene,7.0
zabuyelite,lithiomarsturite,1.0
zabuyelite,lithiowodginite,1.0
zabuyelite,cookeite,4.0
zabuyelite,amblygonite,3.0
zabuyelite,lithiophilite,3.0
zabuyelite,tancoite,1.0
zabuyelite,bikitaite,2.0
zabuyelite,fluor-elbaite,1.0
zabuyelite,swinefordite,1.0
zabuyelite,rossmanite,1.0
zabuyelite,polylithionite,1.0
zabuyelite,bityite,1.0
zabuyelite,lithiophosphate,2.0
zabuyelite,lithiophorite,1.0
zabuyelite,ferrisicklerite,1.0
zabuyelite,brannockite,1.0
zabuyelite,hectorite,1.0
zabuyelite,montebrasite,5.0
zabuyelite,triphylite,4.0
zabuyelite,elbaite,3.0
zabuyelite,holmquistite,2.0
zabuyelite,petalite,4.0
zabuyelite,eucryptite,3.0
sogdianite,norrishite,1.0
sogdianite,baratovite,1.0
sogdianite,orlovite,1.0
sogdianite,neptunite,1.0
sogdianite,ephesite,1.0
sogdianite,dusmatovite,1.0
sogdianite,tainiolite,1.0
sogdianite,sugilite,2.0
sogdianite,bulgakite,1.0
sogdianite,darapiosite,1.0
sogdianite,polylithionite,2.0
sogdianite,ferri-leakeite,1.0
sogdianite,aleksandrovite,1.0
sogdianite,faizievite,1.0
sogdianite,berezanskite,1.0
sogdianite,brannockite,2.0
sogdianite,garmite,1.0
sogdianite,lavinskyite,1.0
sogdianite,sokolovaite,1.0
sogdianite,nalivkinite,1.0
sogdianite,gorbunovite,1.0
sogdianite,potassic-mangani-leakeite,1.0
sogdianite,zektzerite,2.0
ferro-holmquistite,spodumene,1.0
ferro-holmquistite,amblygonite,1.0
ferro-holmquistite,lithiophilite,1.0
ferro-holmquistite,lithiophosphate,1.0
ferro-holmquistite,montebrasite,1.0
ferro-holmquistite,triphylite,1.0
ferro-holmquistite,elbaite,1.0
ferro-holmquistite,holmquistite,1.0
oxo-mangani-leakeite,norrishite,1.0
oxo-mangani-leakeite,sugilite,1.0
oxo-mangani-leakeite,ferri-leakeite,1.0
spodumene,lithiomarsturite,1.0
spodumene,lithiowodginite,4.0
spodumene,cookeite,67.0
spodumene,amblygonite,98.0
spodumene,mccrillisite,1.0
spodumene,voloshinite,2.0
spodumene,lithiophilite,95.0
spodumene,tancoite,1.0
spodumene,bikitaite,2.0
spodumene,fluor-elbaite,15.0
spodumene,swinefordite,4.0
spodumene,griphite,3.0
spodumene,tavorite,11.0
spodumene,manandonite,3.0
spodumene,rossmanite,10.0
spodumene,bertossaite,3.0
spodumene,polylithionite,8.0
spodumene,bityite,14.0
spodumene,simferite,2.0
spodumene,darrellhenryite,2.0
spodumene,lithiophosphate,5.0
spodumene,lithiotantite,2.0
spodumene,lithiophorite,5.0
spodumene,ferrisicklerite,21.0
spodumene,gainesite,1.0
spodumene,brannockite,1.0
spodumene,fluoro-pedrizite,1.0
spodumene,sokolovaite,3.0
spodumene,palermoite,1.0
spodumene,fluor-liddicoatite,8.0
spodumene,luanshiweiite,1.0
spodumene,pezzottaite,2.0
spodumene,masutomilite,2.0
spodumene,hectorite,1.0
spodumene,montebrasite,111.0
spodumene,trilithionite,8.0
spodumene,triphylite,97.0
spodumene,elbaite,146.0
spodumene,holmquistite,29.0
spodumene,petalite,69.0
spodumene,eucryptite,20.0
spodumene,sicklerite,28.0
norrishite,ephesite,1.0
norrishite,sugilite,4.0
norrishite,ferri-leakeite,1.0
norrishite,lithiophorite,1.0
norrishite,lavinskyite,2.0
norrishite,balestraite,1.0
norrishite,potassic-mangani-leakeite,1.0
norrishite,nambulite,2.0
lithiomarsturite,cookeite,1.0
lithiomarsturite,lithiophilite,1.0
lithiomarsturite,bikitaite,1.0
