from,to,weight
traskite,diopside,2.0
traskite,titantaramellite,3.0
traskite,ankerite,1.0
traskite,tremolite,2.0
traskite,montmorillonite,1.0
traskite,dolomite,1.0
magnesiohogbomite-6n6s,spinel,3.0
tochilinite,hydrotalcite,7.0
tochilinite,amesite,1.0
tochilinite,palygorskite,2.0
tochilinite,clinohumite,8.0
tochilinite,valleriite,9.0
tochilinite,cordierite,2.0
tochilinite,stichtite,3.0
tochilinite,armalcolite,1.0
tochilinite,richterite,1.0
tochilinite,artinite,4.0
tochilinite,magnesioferrite,1.0
tochilinite,clinoenstatite,3.0
tochilinite,mountkeithite,2.0
tochilinite,omphacite,4.0
tochilinite,botryogen,1.0
tochilinite,pargasite,1.0
tochilinite,iowaite,4.0
tochilinite,enstatite,15.0
tochilinite,ludwigite,4.0
tochilinite,stilpnomelane,3.0
tochilinite,tschermakite,1.0
tochilinite,bradleyite,1.0
tochilinite,mcguinnessite,1.0
tochilinite,anthophyllite,3.0
tochilinite,magnesiochromite,3.0
tochilinite,hexahydrite,3.0
tochilinite,monticellite,4.0
tochilinite,brugnatellite,3.0
tochilinite,dravite,3.0
tochilinite,hydromagnesite,11.0
tochilinite,saponite,4.0
tochilinite,starkeyite,4.0
tochilinite,diopside,27.0
tochilinite,magnesio-hornblende,2.0
tochilinite,quintinite,1.0
tochilinite,sepiolite,3.0
tochilinite,blodite,1.0
tochilinite,perrierite-(ce),1.0
tochilinite,barroisite,1.0
tochilinite,woodallite,2.0
tochilinite,clinochlore,9.0
tochilinite,talc,10.0
tochilinite,chrysotile,16.0
tochilinite,epsomite,2.0
tochilinite,fluorophlogopite,1.0
tochilinite,muskoxite,1.0
tochilinite,actinolite,13.0
tochilinite,alumovesuvianite,1.0
tochilinite,szaibelyite,4.0
tochilinite,vermiculite,1.0
tochilinite,pokrovskite,1.0
tochilinite,cummingtonite,1.0
tochilinite,vesuvianite,12.0
tochilinite,pyroaurite,11.0
tochilinite,menezesite,1.0
tochilinite,spinel,23.0
tochilinite,struvite-(k),1.0
tochilinite,humite,2.0
tochilinite,sinhalite,1.0
tochilinite,kuliginite,1.0
tochilinite,haapalaite,1.0
tochilinite,fluoborite,1.0
tochilinite,stevensite,1.0
tochilinite,konyaite,1.0
tochilinite,chondrodite,3.0
tochilinite,huntite,2.0
tochilinite,norsethite,1.0
tochilinite,phlogopite,13.0
tochilinite,augite,15.0
tochilinite,baileychlore,1.0
tochilinite,ankerite,3.0
tochilinite,merrillite,1.0
tochilinite,brucite,21.0
tochilinite,todorokite,2.0
tochilinite,northupite,1.0
tochilinite,warwickite,1.0
tochilinite,forsterite,20.0
tochilinite,tremolite,12.0
tochilinite,lizardite,10.0
tochilinite,aegirine-augite,1.0
tochilinite,geikielite,3.0
tochilinite,periclase,3.0
tochilinite,pigeonite,6.0
tochilinite,pyrope,2.0
tochilinite,zirconolite,1.0
tochilinite,tetraferriphlogopite,1.0
tochilinite,eitelite,1.0
tochilinite,corrensite,1.0
tochilinite,antigorite,10.0
tochilinite,dypingite,2.0
tochilinite,melcherite,1.0
tochilinite,chamosite,3.0
tochilinite,montmorillonite,4.0
tochilinite,desautelsite,1.0
tochilinite,nimite,1.0
tochilinite,chloromagnesite,1.0
tochilinite,coalingite,3.0
tochilinite,metanovacekite,1.0
tochilinite,magnesite,7.0
tochilinite,dolomite,22.0
tochilinite,pumpellyite-(mg),1.0
tochilinite,hornesite,1.0
ferro-actinolite,wagnerite,1.0
ferro-actinolite,struvite,1.0
ferro-actinolite,hydrotalcite,3.0
ferro-actinolite,amesite,1.0
ferro-actinolite,wiklundite,1.0
ferro-actinolite,palygorskite,4.0
ferro-actinolite,welshite,1.0
ferro-actinolite,clinohumite,4.0
ferro-actinolite,talmessite,1.0
ferro-actinolite,clino-ferri-holmquistite,1.0
ferro-actinolite,chlormagaluminite,1.0
ferro-actinolite,wermlandite,1.0
ferro-actinolite,valleriite,3.0
ferro-actinolite,tegengrenite,1.0
ferro-actinolite,joesmithite,2.0
ferro-actinolite,cordierite,10.0
ferro-actinolite,metasaleeite,1.0
ferro-actinolite,magnesiochlorophoenicite,1.0
ferro-actinolite,tilasite,2.0
ferro-actinolite,richterite,5.0
ferro-actinolite,magnesio-fluoro-arfvedsonite,1.0
ferro-actinolite,ferri-kaersutite,1.0
ferro-actinolite,magnesioferrite,1.0
ferro-actinolite,fluor-uvite,2.0
ferro-actinolite,clinoenstatite,1.0
ferro-actinolite,omphacite,1.0
ferro-actinolite,wendwilsonite,1.0
ferro-actinolite,pargasite,9.0
ferro-actinolite,takeuchiite,1.0
ferro-actinolite,enstatite,2.0
ferro-actinolite,nanlingite,1.0
ferro-actinolite,ludwigite,4.0
ferro-actinolite,stilpnomelane,15.0
ferro-actinolite,magnesiotaaffeite-2n2s,2.0
ferro-actinolite,tschermakite,1.0
ferro-actinolite,bradleyite,1.0
ferro-actinolite,pinakiolite,1.0
ferro-actinolite,anthophyllite,6.0
ferro-actinolite,molybdophyllite,2.0
ferro-actinolite,adelite,2.0
ferro-actinolite,potassic-richterite,3.0
ferro-actinolite,tainiolite,2.0
ferro-actinolite,hexahydrite,2.0
ferro-actinolite,monticellite,1.0
ferro-actinolite,brugnatellite,1.0
ferro-actinolite,clino-suenoite,2.0
ferro-actinolite,cianciulliite,1.0
ferro-actinolite,dravite,6.0
ferro-actinolite,orthopinakiolite,1.0
ferro-actinolite,hydromagnesite,2.0
ferro-actinolite,saponite,3.0
ferro-actinolite,celadonite,1.0
ferro-actinolite,diopside,58.0
ferro-actinolite,hydrobiotite,1.0
ferro-actinolite,magnesio-hornblende,13.0
ferro-actinolite,faujasite-na,1.0
ferro-actinolite,quintinite,1.0
ferro-actinolite,sepiolite,6.0
ferro-actinolite,gedrite,4.0
ferro-actinolite,barroisite,1.0
ferro-actinolite,clinochlore,26.0
ferro-actinolite,cyprine,1.0
ferro-actinolite,magnesio-hastingsite,2.0
ferro-actinolite,talc,20.0
ferro-actinolite,chrysotile,5.0
ferro-actinolite,picropharmacolite,1.0
ferro-actinolite,epsomite,2.0
ferro-actinolite,katophorite,2.0
ferro-actinolite,pickeringite,1.0
ferro-actinolite,ferri-leakeite,1.0
ferro-actinolite,lennilenapeite,1.0
ferro-actinolite,hauckite,1.0
ferro-actinolite,fluorophlogopite,1.0
ferro-actinolite,langbanshyttanite,1.0
ferro-actinolite,benstonite,1.0
ferro-actinolite,actinolite,53.0
ferro-actinolite,szaibelyite,1.0
ferro-actinolite,fluoro-richterite,1.0
ferro-actinolite,vermiculite,6.0
ferro-actinolite,neighborite,1.0
ferro-actinolite,britvinite,1.0
ferro-actinolite,cummingtonite,12.0
ferro-actinolite,kanoite,1.0
ferro-actinolite,vesuvianite,21.0
ferro-actinolite,pyroaurite,3.0
ferro-actinolite,spinel,7.0
ferro-actinolite,fredrikssonite,1.0
ferro-actinolite,humite,4.0
ferro-actinolite,winchite,2.0
ferro-actinolite,kieserite,1.0
ferro-actinolite,fluoborite,1.0
ferro-actinolite,stevensite,1.0
ferro-actinolite,magnesio-arfvedsonite,1.0
ferro-actinolite,chondrodite,4.0
ferro-actinolite,hematolite,2.0
ferro-actinolite,norsethite,1.0
ferro-actinolite,phlogopite,17.0
ferro-actinolite,augite,13.0
ferro-actinolite,baileychlore,1.0
ferro-actinolite,taramite,1.0
ferro-actinolite,ankerite,9.0
ferro-actinolite,kellyite,1.0
ferro-actinolite,brucite,8.0
ferro-actinolite,todorokite,5.0
ferro-actinolite,sudoite,3.0
ferro-actinolite,magnesio-fluoro-hastingsite,1.0
ferro-actinolite,forsterite,10.0
ferro-actinolite,tremolite,35.0
ferro-actinolite,lizardite,5.0
ferro-actinolite,rosslerite,1.0
ferro-actinolite,aegirine-augite,6.0
ferro-actinolite,geikielite,1.0
ferro-actinolite,periclase,1.0
ferro-actinolite,asbolane,1.0
ferro-actinolite,pigeonite,1.0
ferro-actinolite,pyrope,2.0
ferro-actinolite,zirconolite,1.0
ferro-actinolite,tetraferriphlogopite,1.0
ferro-actinolite,clintonite,3.0
ferro-actinolite,antigorite,6.0
ferro-actinolite,mangani-pargasite,1.0
ferro-actinolite,ferri-pedrizite,1.0
ferro-actinolite,chamosite,18.0
ferro-actinolite,montmorillonite,8.0
ferro-actinolite,glaucophane,1.0
ferro-actinolite,hjalmarite,1.0
ferro-actinolite,kinoshitalite,1.0
ferro-actinolite,magnesite,4.0
ferro-actinolite,cerite-(ce),1.0
ferro-actinolite,dolomite,20.0
ferro-actinolite,pumpellyite-(mg),1.0
ferro-actinolite,edenite,9.0
ferro-actinolite,hornesite,3.0
ferro-actinolite,fluoro-tremolite,1.0
mejillonesite,wagnerite,1.0
mejillonesite,luneburgite,1.0
mejillonesite,bakhchisaraitsevite,1.0
mejillonesite,picromerite,1.0
mejillonesite,indialite,1.0
mejillonesite,girvasite,1.0
mejillonesite,iowaite,1.0
mejillonesite,hedegaardite,1.0
mejillonesite,hexahydrite,1.0
mejillonesite,boussingaultite,1.0
mejillonesite,hydromagnesite,1.0
mejillonesite,newberyite,1.0
mejillonesite,blodite,1.0
mejillonesite,epsomite,1.0
mejillonesite,loweite,1.0
mejillonesite,bobierrite,2.0
mejillonesite,kieserite,1.0
mejillonesite,efremovite,1.0
mejillonesite,vanthoffite,1.0
mejillonesite,korshunovskite,1.0
mejillonesite,bischofite,1.0
mejillonesite,dypingite,1.0
wagnerite,struvite,1.0
wagnerite,picromerite,2.0
wagnerite,palygorskite,2.0
wagnerite,panasqueiraite,1.0
wagnerite,clinohumite,3.0
wagnerite,weberite,1.0
wagnerite,chlormagaluminite,1.0
wagnerite,valleriite,1.0
wagnerite,cordierite,15.0
wagnerite,almarudite,1.0
wagnerite,roedderite,4.0
wagnerite,osumilite-(mg),5.0
wagnerite,richterite,1.0
wagnerite,magnesio-fluoro-arfvedsonite,1.0
wagnerite,ferri-kaersutite,3.0
wagnerite,magnesioferrite,3.0
wagnerite,grandidierite,3.0
wagnerite,clinoenstatite,1.0
wagnerite,nesquehonite,1.0
wagnerite,polyhalite,2.0
wagnerite,indialite,3.0
wagnerite,pargasite,2.0
wagnerite,iowaite,1.0
wagnerite,enstatite,8.0
wagnerite,chayesite,1.0
wagnerite,sellaite,4.0
wagnerite,langbeinite,1.0
wagnerite,magnesiochloritoid,2.0
wagnerite,bradleyite,1.0
wagnerite,bredigite,1.0
wagnerite,anthophyllite,4.0
wagnerite,dorrite,4.0
wagnerite,collinsite,2.0
wagnerite,potassic-richterite,1.0
wagnerite,tainiolite,1.0
wagnerite,hexahydrite,2.0
wagnerite,boussingaultite,1.0
wagnerite,monticellite,1.0
wagnerite,dravite,8.0
wagnerite,hydromagnesite,3.0
wagnerite,saponite,1.0
wagnerite,isokite,9.0
wagnerite,starkeyite,1.0
wagnerite,newberyite,1.0
wagnerite,whitlockite,2.0
wagnerite,diopside,5.0
wagnerite,hydrobiotite,1.0
wagnerite,magnesio-hornblende,1.0
wagnerite,ellenbergerite,2.0
wagnerite,faujasite-na,1.0
wagnerite,quintinite,1.0
