from,to,weight
wiserite,ganophyllite,2.0
wiserite,tamaite,1.0
wiserite,pyroxmangite,2.0
wiserite,braunite,2.0
wiserite,kentrolite,1.0
wiserite,eggletonite,1.0
wiserite,rhodochrosite,14.0
wiserite,piemontite-(sr),1.0
wiserite,galaxite,6.0
wiserite,feitknechtite,2.0
wiserite,spessartine,5.0
wiserite,nsutite,1.0
wiserite,metaswitzerite,1.0
wiserite,natronambulite,1.0
wiserite,birnessite,1.0
wiserite,pyrochroite,5.0
wiserite,retzian-(la),1.0
wiserite,momoiite,1.0
wiserite,akhtenskite,1.0
wiserite,leucophoenicite,2.0
wiserite,rambergite,1.0
wiserite,manganite,1.0
wiserite,glaucochroite,1.0
wiserite,pyrobelonite,1.0
wiserite,holdawayite,1.0
wiserite,rhodonite,8.0
wiserite,kellyite,2.0
wiserite,tinzenite,1.0
wiserite,todorokite,1.0
wiserite,nambulite,1.0
wiserite,hubnerite,2.0
wiserite,ribbeite,2.0
wiserite,bustamite,1.0
wiserite,crednerite,1.0
wiserite,alabandite,7.0
wiserite,pyrophanite,1.0
wiserite,tokyoite,1.0
wiserite,jerrygibbsite,1.0
wiserite,yangite,1.0
wiserite,tephroite,11.0
wiserite,serandite,2.0
wiserite,marsturite,1.0
wiserite,bementite,3.0
wiserite,pennantite,1.0
wiserite,jacobsite,9.0
wiserite,kutnohorite,1.0
wiserite,hollandite,1.0
wiserite,sussexite,7.0
wiserite,gageite,1.0
wiserite,jimboite,3.0
wiserite,retzian-(nd),1.0
wiserite,switzerite,1.0
wiserite,neotocite,4.0
wiserite,helvine,3.0
wiserite,axinite-(mn),1.0
wiserite,manganberzeliite,1.0
wiserite,johninnesite,1.0
wiserite,vladkrivovichevite,1.0
wiserite,hausmannite,11.0
wiserite,coronadite,1.0
wiserite,barysilite,1.0
wiserite,cryptomelane,2.0
wiserite,alleghanyite,7.0
wiserite,pyrolusite,3.0
wiserite,sonolite,4.0
wiserite,manganosite,7.0
wiserite,caryopilite,2.0
purpurite,kummerite,1.0
purpurite,chalcophanite,1.0
purpurite,samuelsonite,1.0
purpurite,braunite,2.0
purpurite,beusite,3.0
purpurite,pseudolaueite,4.0
purpurite,griphite,2.0
purpurite,perloffite,1.0
purpurite,lepageite,1.0
purpurite,wyllieite,3.0
purpurite,columbite-(mn),18.0
purpurite,rhodochrosite,14.0
purpurite,takanelite,2.0
purpurite,bjarebyite,1.0
purpurite,dickinsonite-(kmnna),7.0
purpurite,parsettensite,3.0
purpurite,landesite,4.0
purpurite,ramsdellite,1.0
purpurite,okhotskite,2.0
purpurite,spessartine,20.0
purpurite,wilhelmvierlingite,1.0
purpurite,manganostibite,2.0
purpurite,hagendorfite,3.0
purpurite,jahnsite-(mnmnfe),1.0
purpurite,metaswitzerite,7.0
purpurite,lithiomarsturite,1.0
purpurite,bermanite,8.0
purpurite,jahnsite-(camnfe),4.0
purpurite,benyacarite,1.0
purpurite,birnessite,1.0
purpurite,roscherite,3.0
purpurite,ixiolite-(mn2+),4.0
purpurite,alluaudite,17.0
purpurite,correianevesite,1.0
purpurite,triplite,24.0
purpurite,attakolite,1.0
purpurite,pyrochroite,2.0
purpurite,titanowodginite,1.0
purpurite,whiteite-(camnmg),1.0
purpurite,kryzhanovskite,6.0
purpurite,whiteite-(mnfemg),1.0
purpurite,rittmannite,2.0
purpurite,ferrisicklerite,17.0
purpurite,nordgauite,2.0
purpurite,rosemaryite,2.0
purpurite,rhodonite,5.0
purpurite,wildenauerite,1.0
purpurite,stanekite,2.0
purpurite,ferrorockbridgeite,1.0
purpurite,todorokite,5.0
purpurite,romanechite,1.0
purpurite,laueite,7.0
purpurite,kastningite,3.0
purpurite,jahnsite-(camnmg),2.0
purpurite,lehnerite,1.0
purpurite,jianshuiite,1.0
purpurite,wickmanite,2.0
purpurite,kingsmountite,3.0
purpurite,lithiophilite,44.0
purpurite,schoonerite,4.0
purpurite,manganflurlite,1.0
purpurite,jahnsite-(mnmnmn),2.0
purpurite,pyrophanite,1.0
purpurite,mangangordonite,2.0
purpurite,zodacite,1.0
purpurite,strunzite,14.0
purpurite,schallerite,2.0
purpurite,ernstite,1.0
purpurite,lithiophorite,2.0
purpurite,hureaulite,25.0
purpurite,bixbyite-(mn),2.0
purpurite,fairfieldite,17.0
purpurite,jahnsite-(camnmn),3.0
purpurite,piemontite,2.0
purpurite,eosphorite,20.0
purpurite,masutomilite,1.0
purpurite,frondelite,9.0
purpurite,vayrynenite,5.0
purpurite,cesarolite,1.0
purpurite,pennantite,2.0
purpurite,nizamoffite,1.0
purpurite,wodginite,8.0
purpurite,tantalite-(mn),18.0
purpurite,kutnohorite,2.0
purpurite,hollandite,1.0
purpurite,pieczkaite,1.0
purpurite,bannisterite,2.0
purpurite,ferraioloite,1.0
purpurite,vernadite,1.0
purpurite,robertsite,8.0
purpurite,keckite,2.0
purpurite,switzerite,7.0
purpurite,footemineite,1.0
purpurite,falsterite,1.0
purpurite,natrophilite,4.0
purpurite,neotocite,1.0
purpurite,helvine,5.0
purpurite,schmidite,1.0
purpurite,reddingite,6.0
purpurite,whiteite-(camnmn),2.0
purpurite,groutite,1.0
purpurite,varulite,6.0
purpurite,tetrawickmanite,1.0
purpurite,triploidite,4.0
purpurite,ernienickelite,1.0
purpurite,tantalowodginite,1.0
purpurite,fillowite,4.0
purpurite,hausmannite,3.0
purpurite,fanfaniite,1.0
purpurite,coronadite,5.0
purpurite,cryptomelane,6.0
purpurite,kayrobertsonite,2.0
purpurite,pyrolusite,3.0
purpurite,earlshannonite,3.0
purpurite,caryopilite,2.0
purpurite,rancieite,3.0
purpurite,serrabrancaite,2.0
purpurite,stewartite,10.0
purpurite,sicklerite,21.0
traskite,braunite,1.0
traskite,verplanckite,1.0
traskite,muirite,2.0
chiavennite,zirsilite-(ce),1.0
chiavennite,rhodochrosite,3.0
chiavennite,spessartine,1.0
chiavennite,peterandresenite,1.0
chiavennite,grenmarite,1.0
chiavennite,santafeite,1.0
chiavennite,hansesmarkite,1.0
chiavennite,todorokite,1.0
chiavennite,wickmanite,4.0
chiavennite,pyrophanite,5.0
chiavennite,serandite,2.0
chiavennite,lavenite,2.0
chiavennite,gonyerite,2.0
chiavennite,neotocite,4.0
chiavennite,helvine,13.0
chiavennite,tetrawickmanite,3.0
chiavennite,cryptomelane,1.0
kummerite,chalcophanite,1.0
kummerite,pseudolaueite,1.0
kummerite,perloffite,1.0
kummerite,rhodochrosite,1.0
kummerite,landesite,1.0
kummerite,wilhelmvierlingite,1.0
kummerite,hagendorfite,1.0
kummerite,metaswitzerite,1.0
kummerite,bermanite,1.0
kummerite,jahnsite-(camnfe),1.0
kummerite,benyacarite,1.0
kummerite,triplite,1.0
kummerite,kryzhanovskite,1.0
kummerite,rittmannite,1.0
kummerite,ferrisicklerite,1.0
kummerite,nordgauite,1.0
kummerite,wildenauerite,1.0
kummerite,ferrorockbridgeite,1.0
kummerite,laueite,1.0
kummerite,kastningite,1.0
kummerite,lehnerite,1.0
kummerite,kingsmountite,1.0
kummerite,schoonerite,1.0
kummerite,manganflurlite,1.0
kummerite,mangangordonite,1.0
kummerite,strunzite,1.0
kummerite,hureaulite,1.0
kummerite,fairfieldite,1.0
kummerite,eosphorite,1.0
kummerite,frondelite,1.0
kummerite,robertsite,1.0
kummerite,keckite,1.0
kummerite,switzerite,1.0
kummerite,schmidite,1.0
kummerite,reddingite,1.0
kummerite,whiteite-(camnmn),1.0
kummerite,cryptomelane,1.0
kummerite,kayrobertsonite,1.0
kummerite,pyrolusite,1.0
kummerite,earlshannonite,1.0
kummerite,stewartite,1.0
voronkovite,manganotychite,1.0
voronkovite,zakharovite,1.0
voronkovite,tisinalite,1.0
voronkovite,manganoneptunite,1.0
voronkovite,birnessite,1.0
voronkovite,manaksite,1.0
voronkovite,alluaivite,1.0
voronkovite,sobolevite,1.0
voronkovite,todorokite,1.0
voronkovite,pyrophanite,1.0
voronkovite,intersilite,1.0
voronkovite,manganoeudialyte,1.0
voronkovite,gerasimovskite,2.0
voronkovite,dualite,1.0
voronkovite,kazakovite,1.0
