from,to,weight
kamiokite,molybdenite,4.0
kamiokite,monipite,1.0
kamiokite,koechlinite,1.0
kamiokite,ilsemannite,1.0
kamiokite,tugarinovite,1.0
kamiokite,ferrimolybdite,1.0
kamiokite,jordisite,1.0
kamiokite,hexamolybdenum,1.0
kamiokite,majindeite,1.0
vergasovaite,cupromolybdite,1.0
molybdenite,lindgrenite,16.0
molybdenite,ekplexite,1.0
molybdenite,betpakdalite-naca,1.0
molybdenite,powellite,262.0
molybdenite,molybdite,112.0
molybdenite,kaskasite,1.0
molybdenite,mambertiite,1.0
molybdenite,schlegelite,1.0
molybdenite,cousinite,1.0
molybdenite,mendozavilite-nafe,3.0
molybdenite,suseinargiuite,1.0
molybdenite,tancaite-(ce),1.0
molybdenite,paramendozavilite,2.0
molybdenite,monipite,1.0
molybdenite,maikainite,2.0
molybdenite,koechlinite,27.0
molybdenite,ilsemannite,37.0
molybdenite,calcurmolite,5.0
molybdenite,nuragheite,1.0
molybdenite,markascherite,1.0
molybdenite,manganokaskasite,1.0
molybdenite,huenite,2.0
molybdenite,mendozavilite-kca,1.0
molybdenite,mourite,2.0
molybdenite,deloryite,1.0
molybdenite,betpakdalite-camg,3.0
molybdenite,tarkianite,4.0
molybdenite,gelosaite,3.0
molybdenite,mendozavilite-nacu,2.0
molybdenite,obradovicite-nacu,1.0
molybdenite,szenicsite,1.0
molybdenite,tugarinovite,4.0
molybdenite,ferrimolybdite,273.0
molybdenite,iriginite,8.0
molybdenite,melkovite,3.0
molybdenite,ichnusaite,1.0
molybdenite,hereroite,1.0
molybdenite,betpakdalite-caca,10.0
molybdenite,wulfenite,231.0
molybdenite,umohoite,3.0
molybdenite,drysdallite,1.0
molybdenite,molybdofornacite,2.0
molybdenite,betpakdalite-nana,1.0
molybdenite,hemusite,2.0
molybdenite,betpakdalite-fefe,1.0
molybdenite,jordisite,33.0
molybdenite,biehlite,1.0
molybdenite,sardignaite,2.0
molybdenite,hexamolybdenum,1.0
molybdenite,iseite,1.0
molybdenite,sedovite,2.0
molybdenite,majindeite,1.0
molybdenite,erikjonssonite,1.0
molybdenite,bamfordite,1.0
molybdenite,obradovicite-kcu,1.0
molybdenite,moluranite,3.0
molybdenite,obradovicite-nana,1.0
molybdenite,chiluite,1.0
lindgrenite,powellite,10.0
lindgrenite,molybdite,2.0
lindgrenite,koechlinite,2.0
lindgrenite,markascherite,1.0
lindgrenite,huenite,2.0
lindgrenite,mendozavilite-kca,1.0
lindgrenite,mendozavilite-nacu,1.0
lindgrenite,obradovicite-nacu,1.0
lindgrenite,szenicsite,1.0
lindgrenite,ferrimolybdite,6.0
lindgrenite,betpakdalite-caca,1.0
lindgrenite,wulfenite,6.0
lindgrenite,betpakdalite-nana,1.0
lindgrenite,obradovicite-kcu,1.0
lindgrenite,obradovicite-nana,1.0
ekplexite,kaskasite,1.0
ekplexite,manganokaskasite,1.0
betpakdalite-naca,powellite,1.0
betpakdalite-naca,calcurmolite,1.0
betpakdalite-naca,mourite,1.0
betpakdalite-naca,ferrimolybdite,1.0
betpakdalite-naca,iriginite,1.0
betpakdalite-naca,wulfenite,1.0
betpakdalite-naca,umohoite,1.0
betpakdalite-naca,jordisite,1.0
betpakdalite-naca,sedovite,1.0
powellite,molybdite,22.0
powellite,mambertiite,1.0
powellite,schlegelite,1.0
powellite,mendozavilite-nafe,1.0
powellite,suseinargiuite,1.0
powellite,tancaite-(ce),1.0
powellite,paramendozavilite,1.0
powellite,maikainite,1.0
powellite,koechlinite,11.0
powellite,ilsemannite,10.0
powellite,calcurmolite,3.0
powellite,nuragheite,1.0
powellite,markascherite,1.0
powellite,huenite,2.0
powellite,mendozavilite-kca,1.0
powellite,mourite,2.0
powellite,betpakdalite-camg,2.0
powellite,gelosaite,2.0
powellite,mendozavilite-nacu,1.0
powellite,obradovicite-nacu,1.0
powellite,szenicsite,2.0
powellite,tugarinovite,1.0
powellite,ferrimolybdite,61.0
powellite,iriginite,3.0
powellite,melkovite,2.0
powellite,ichnusaite,1.0
powellite,betpakdalite-caca,4.0
powellite,wulfenite,45.0
powellite,umohoite,1.0
powellite,molybdofornacite,2.0
powellite,betpakdalite-nana,1.0
powellite,betpakdalite-fefe,1.0
powellite,jordisite,4.0
powellite,biehlite,1.0
powellite,sardignaite,2.0
powellite,iseite,1.0
powellite,sedovite,1.0
powellite,bamfordite,1.0
powellite,obradovicite-kcu,1.0
powellite,obradovicite-nana,1.0
molybdite,schlegelite,1.0
molybdite,cousinite,1.0
molybdite,mendozavilite-nafe,1.0
molybdite,paramendozavilite,1.0
molybdite,koechlinite,6.0
molybdite,ilsemannite,11.0
molybdite,calcurmolite,1.0
molybdite,deloryite,1.0
molybdite,gelosaite,1.0
molybdite,tugarinovite,3.0
molybdite,ferrimolybdite,25.0
molybdite,iriginite,2.0
molybdite,betpakdalite-caca,2.0
molybdite,wulfenite,19.0
molybdite,umohoite,3.0
molybdite,betpakdalite-fefe,1.0
molybdite,jordisite,6.0
molybdite,sidwillite,2.0
kaskasite,manganokaskasite,1.0
mambertiite,suseinargiuite,1.0
mambertiite,tancaite-(ce),2.0
mambertiite,koechlinite,1.0
mambertiite,nuragheite,1.0
mambertiite,gelosaite,1.0
mambertiite,ferrimolybdite,1.0
mambertiite,melkovite,1.0
mambertiite,ichnusaite,1.0
mambertiite,wulfenite,1.0
mambertiite,sardignaite,1.0
schlegelite,koechlinite,1.0
schlegelite,wulfenite,2.0
cousinite,iriginite,1.0
cousinite,wulfenite,1.0
cousinite,umohoite,1.0
mendozavilite-nafe,paramendozavilite,2.0
mendozavilite-nafe,mendozavilite-nacu,1.0
mendozavilite-nafe,ferrimolybdite,1.0
mendozavilite-nafe,betpakdalite-caca,1.0
suseinargiuite,tancaite-(ce),1.0
suseinargiuite,koechlinite,1.0
suseinargiuite,nuragheite,1.0
suseinargiuite,gelosaite,1.0
suseinargiuite,ferrimolybdite,1.0
suseinargiuite,melkovite,1.0
suseinargiuite,ichnusaite,1.0
suseinargiuite,wulfenite,1.0
suseinargiuite,sardignaite,1.0
tancaite-(ce),koechlinite,1.0
tancaite-(ce),nuragheite,1.0
tancaite-(ce),gelosaite,1.0
tancaite-(ce),ferrimolybdite,1.0
tancaite-(ce),melkovite,1.0
tancaite-(ce),ichnusaite,1.0
tancaite-(ce),wulfenite,1.0
tancaite-(ce),sardignaite,1.0
paramendozavilite,ferrimolybdite,1.0
paramendozavilite,betpakdalite-caca,1.0
monipite,tugarinovite,1.0
monipite,hexamolybdenum,1.0
monipite,majindeite,1.0
maikainite,betpakdalite-camg,1.0
maikainite,betpakdalite-caca,1.0
maikainite,wulfenite,1.0
maikainite,molybdofornacite,1.0
maikainite,biehlite,1.0
koechlinite,nuragheite,1.0
koechlinite,betpakdalite-camg,1.0
koechlinite,gelosaite,3.0
koechlinite,ferrimolybdite,10.0
koechlinite,melkovite,1.0
koechlinite,ichnusaite,1.0
koechlinite,betpakdalite-caca,3.0
koechlinite,wulfenite,15.0
koechlinite,sardignaite,1.0
koechlinite,chiluite,1.0
ilsemannite,calcurmolite,1.0
ilsemannite,mourite,1.0
ilsemannite,betpakdalite-camg,1.0
ilsemannite,tugarinovite,3.0
ilsemannite,ferrimolybdite,10.0
ilsemannite,iriginite,3.0
ilsemannite,betpakdalite-caca,2.0
ilsemannite,wulfenite,16.0
ilsemannite,tengchongite,1.0
ilsemannite,umohoite,5.0
ilsemannite,jordisite,41.0
ilsemannite,sidwillite,2.0
ilsemannite,bamfordite,1.0
ilsemannite,moluranite,1.0
calcurmolite,mourite,1.0
calcurmolite,deloryite,1.0
calcurmolite,ferrimolybdite,2.0
