from,to,weight
ammonioborite,tschermigite,1.0
ammonioborite,larderellite,1.0
ammoniojarosite,godovikovite,3.0
ammoniojarosite,clairite,4.0
ammoniojarosite,mascagnite,8.0
ammoniojarosite,pyracmonite,2.0
ammoniojarosite,uricite,1.0
ammoniojarosite,katerinopoulosite,1.0
ammoniojarosite,tschermigite,13.0
ammoniojarosite,rouaite,1.0
ammoniojarosite,struvite,1.0
ammoniojarosite,barberiite,1.0
ammoniojarosite,niter,1.0
ammoniojarosite,bararite,1.0
ammoniojarosite,sveite,1.0
ammoniojarosite,cryptohalite,2.0
ammoniojarosite,adranosite,2.0
ammoniojarosite,boussingaultite,4.0
ammoniojarosite,kremersite,2.0
ammoniojarosite,nickelboussingaultite,2.0
ammoniojarosite,kollerite,1.0
ammoniojarosite,mohrite,5.0
ammoniojarosite,salammoniac,9.0
ammoniojarosite,ammoniomagnesiovoltaite,2.0
ammoniojarosite,nitratine,1.0
ammoniojarosite,aluminopyracmonite,2.0
ammoniojarosite,letovicite,5.0
ammoniojarosite,adranosite-(fe),1.0
ammoniojarosite,sabieite,3.0
ammoniojarosite,lonecreekite,2.0
ammoniojarosite,gerhardtite,1.0
ammoniojarosite,thermessaite-(nh4),1.0
ammoniojarosite,buddingtonite,1.0
ammoniojarosite,koktaite,5.0
ammoniojarosite,efremovite,3.0
ammoniojarosite,ammonioalunite,3.0
godovikovite,clairite,3.0
godovikovite,tobelite,1.0
godovikovite,mascagnite,16.0
godovikovite,pyracmonite,4.0
godovikovite,tschermigite,14.0
godovikovite,lucabindiite,2.0
godovikovite,argesite,1.0
godovikovite,barberiite,3.0
godovikovite,larderellite,1.0
godovikovite,bararite,2.0
godovikovite,acmonidesite,1.0
godovikovite,cryptohalite,5.0
godovikovite,adranosite,4.0
godovikovite,therasiaite,1.0
godovikovite,campostriniite,1.0
godovikovite,kladnoite,2.0
godovikovite,boussingaultite,10.0
godovikovite,kremersite,6.0
godovikovite,brontesite,1.0
godovikovite,nickelboussingaultite,1.0
godovikovite,kollerite,1.0
godovikovite,mohrite,4.0
godovikovite,salammoniac,15.0
godovikovite,ammoniomagnesiovoltaite,2.0
godovikovite,aluminopyracmonite,3.0
godovikovite,russoite,1.0
godovikovite,letovicite,8.0
godovikovite,adranosite-(fe),3.0
godovikovite,sabieite,6.0
godovikovite,lonecreekite,1.0
godovikovite,thermessaite-(nh4),2.0
godovikovite,huizingite-(al),1.0
godovikovite,koktaite,1.0
godovikovite,efremovite,11.0
godovikovite,ammonioalunite,5.0
godovikovite,panichiite,1.0
godovikovite,gwihabaite,2.0
clairite,mascagnite,7.0
clairite,pyracmonite,3.0
clairite,uricite,1.0
clairite,tschermigite,8.0
clairite,rouaite,1.0
clairite,carlsonite,1.0
clairite,barberiite,1.0
clairite,bararite,1.0
clairite,cryptohalite,2.0
clairite,adranosite,2.0
clairite,boussingaultite,4.0
clairite,kremersite,3.0
clairite,nickelboussingaultite,1.0
clairite,kollerite,1.0
clairite,mohrite,3.0
clairite,salammoniac,5.0
clairite,ammoniomagnesiovoltaite,3.0
clairite,aluminopyracmonite,2.0
clairite,letovicite,2.0
clairite,adranosite-(fe),4.0
clairite,sabieite,6.0
clairite,lonecreekite,3.0
clairite,gerhardtite,1.0
clairite,thermessaite-(nh4),1.0
clairite,huizingite-(al),1.0
clairite,koktaite,1.0
clairite,efremovite,4.0
clairite,ammonioalunite,3.0
hydrombobomkulite,mbobomkulite,2.0
tobelite,mascagnite,1.0
tobelite,tschermigite,1.0
tobelite,bararite,1.0
tobelite,cryptohalite,1.0
tobelite,boussingaultite,1.0
tobelite,kremersite,1.0
tobelite,mohrite,1.0
tobelite,salammoniac,1.0
tobelite,letovicite,1.0
tobelite,efremovite,1.0
guanine,mascagnite,1.0
guanine,mundrabillaite,1.0
guanine,teschemacherite,2.0
guanine,stercorite,1.0
guanine,salammoniac,1.0
guanine,oxammite,1.0
guanine,biphosphammite,4.0
guanine,hannayite,1.0
beshtauite,boussingaultite,1.0
beshtauite,meitnerite,1.0
beshtauite,greenlizardite,1.0
mascagnite,pyracmonite,5.0
mascagnite,ammineite,1.0
mascagnite,uricite,1.0
mascagnite,siderazot,1.0
mascagnite,tschermigite,31.0
mascagnite,rouaite,1.0
mascagnite,lucabindiite,2.0
mascagnite,argesite,1.0
mascagnite,carlsonite,1.0
mascagnite,barberiite,3.0
mascagnite,larderellite,1.0
mascagnite,bararite,5.0
mascagnite,ferrierite-nh4,1.0
mascagnite,acmonidesite,1.0
mascagnite,cryptohalite,9.0
mascagnite,adranosite,4.0
mascagnite,therasiaite,1.0
mascagnite,campostriniite,1.0
mascagnite,kladnoite,3.0
mascagnite,boussingaultite,18.0
mascagnite,teschemacherite,2.0
mascagnite,kremersite,9.0
mascagnite,stercorite,1.0
mascagnite,brontesite,1.0
mascagnite,nickelboussingaultite,1.0
mascagnite,lecontite,4.0
mascagnite,kollerite,1.0
mascagnite,mohrite,10.0
mascagnite,salammoniac,40.0
mascagnite,ammoniomagnesiovoltaite,3.0
mascagnite,oxammite,1.0
mascagnite,aluminopyracmonite,3.0
mascagnite,biphosphammite,1.0
mascagnite,russoite,1.0
mascagnite,letovicite,13.0
mascagnite,phosphammite,1.0
mascagnite,adranosite-(fe),6.0
mascagnite,sabieite,8.0
mascagnite,lonecreekite,2.0
mascagnite,gerhardtite,1.0
mascagnite,thermessaite-(nh4),2.0
mascagnite,huizingite-(al),2.0
mascagnite,koktaite,7.0
mascagnite,efremovite,12.0
mascagnite,ammonioalunite,5.0
mascagnite,panichiite,1.0
mascagnite,gwihabaite,2.0
pyracmonite,tschermigite,5.0
pyracmonite,lucabindiite,1.0
pyracmonite,argesite,1.0
pyracmonite,carlsonite,1.0
pyracmonite,barberiite,2.0
pyracmonite,larderellite,1.0
pyracmonite,acmonidesite,1.0
pyracmonite,cryptohalite,1.0
pyracmonite,adranosite,3.0
pyracmonite,therasiaite,1.0
pyracmonite,campostriniite,1.0
pyracmonite,boussingaultite,4.0
pyracmonite,kremersite,4.0
pyracmonite,brontesite,1.0
pyracmonite,nickelboussingaultite,1.0
pyracmonite,kollerite,1.0
pyracmonite,mohrite,1.0
pyracmonite,salammoniac,5.0
pyracmonite,ammoniomagnesiovoltaite,3.0
pyracmonite,aluminopyracmonite,3.0
pyracmonite,letovicite,3.0
pyracmonite,adranosite-(fe),3.0
