from,to,weight
betalomonosovite,lovozerite,5.0
betalomonosovite,vinogradovite,1.0
betalomonosovite,eliseevite,1.0
betalomonosovite,umbozerite,1.0
betalomonosovite,manganoneptunite,1.0
betalomonosovite,nontronite,1.0
betalomonosovite,birnessite,1.0
betalomonosovite,tundrite-(nd),1.0
betalomonosovite,cryolite,1.0
betalomonosovite,aegirine,3.0
betalomonosovite,gonnardite,1.0
betalomonosovite,lomonosovite,2.0
betalomonosovite,natrite,1.0
betalomonosovite,polyphite,1.0
betalomonosovite,revdite,1.0
betalomonosovite,nepheline,3.0
betalomonosovite,alluaivite,2.0
betalomonosovite,sobolevite,1.0
betalomonosovite,terskite,1.0
betalomonosovite,delhayelite,1.0
betalomonosovite,ferro-katophorite,1.0
betalomonosovite,neptunite,1.0
betalomonosovite,halite,1.0
betalomonosovite,pectolite,2.0
betalomonosovite,rouvilleite,1.0
betalomonosovite,potassic-ferri-leakeite,1.0
betalomonosovite,gaidonnayite,1.0
betalomonosovite,pirssonite,1.0
betalomonosovite,burpalite,1.0
betalomonosovite,lintisite,1.0
betalomonosovite,intersilite,1.0
betalomonosovite,manganoeudialyte,2.0
betalomonosovite,calciomurmanite,1.0
betalomonosovite,mineevite-(y),1.0
betalomonosovite,selivanovaite,1.0
betalomonosovite,natrolite,1.0
betalomonosovite,natrosilite,1.0
betalomonosovite,dualite,1.0
betalomonosovite,kentbrooksite,1.0
betalomonosovite,nahcolite,2.0
betalomonosovite,nyboite,1.0
betalomonosovite,quadruphite,1.0
betalomonosovite,lamprophyllite,2.0
betalomonosovite,ershovite,1.0
betalomonosovite,niobophyllite,1.0
betalomonosovite,katophorite,1.0
betalomonosovite,eudialyte,2.0
betalomonosovite,georgechaoite,1.0
betalomonosovite,voronkovite,2.0
betalomonosovite,vesuvianite,1.0
betalomonosovite,sodalite,2.0
betalomonosovite,sauconite,1.0
betalomonosovite,elpidite,2.0
betalomonosovite,manganotychite,1.0
betalomonosovite,zakharovite,1.0
betalomonosovite,phosinaite-(ce),1.0
betalomonosovite,dorfmanite,2.0
betalomonosovite,tisinalite,2.0
betalomonosovite,barytolamprophyllite,3.0
betalomonosovite,nacaphite,2.0
betalomonosovite,gobbinsite,1.0
betalomonosovite,cancrinite,1.0
betalomonosovite,fenaksite,1.0
betalomonosovite,megacyclite,1.0
betalomonosovite,shcherbakovite,2.0
betalomonosovite,erdite,1.0
betalomonosovite,nenadkevichite,1.0
betalomonosovite,loparite-(ce),1.0
betalomonosovite,manaksite,1.0
betalomonosovite,shafranovskite,1.0
betalomonosovite,thermonatrite,1.0
betalomonosovite,pyatenkoite-(y),1.0
betalomonosovite,todorokite,1.0
betalomonosovite,villiaumite,2.0
betalomonosovite,clinophosinaite,1.0
betalomonosovite,ephesite,1.0
betalomonosovite,hydroxycancrinite,1.0
betalomonosovite,hainite-(y),1.0
betalomonosovite,natisite,2.0
betalomonosovite,aegirine-augite,1.0
betalomonosovite,searlesite,1.0
betalomonosovite,grumantite,1.0
betalomonosovite,tinaksite,1.0
betalomonosovite,heulandite-k,1.0
betalomonosovite,hastingsite,1.0
betalomonosovite,reedmergnerite,1.0
betalomonosovite,sidorenkite,1.0
betalomonosovite,cancrisilite,1.0
betalomonosovite,kazakovite,2.0
betalomonosovite,zirsinalite,2.0
betalomonosovite,kyanoxalite,1.0
betalomonosovite,malinkoite,1.0
betalomonosovite,elpasolite,1.0
betalomonosovite,montmorillonite,1.0
betalomonosovite,lobanovite,1.0
betalomonosovite,hiortdahlite,1.0
betalomonosovite,ferro-pargasite,1.0
betalomonosovite,manganonordite-(ce),1.0
betalomonosovite,chesnokovite,1.0
betalomonosovite,hilairite,1.0
lisetite,aegirine,1.0
lisetite,barroisite,1.0
lisetite,nyboite,1.0
lisetite,preiswerkite,1.0
lisetite,paragonite,1.0
lisetite,taramite,1.0
lisetite,ferro-taramite,1.0
lisetite,aegirine-augite,1.0
lisetite,davidsmithite,1.0
mejillonesite,bakhchisaraitsevite,1.0
mejillonesite,clinoptilolite-na,1.0
mejillonesite,tamarugite,1.0
mejillonesite,euchlorine,1.0
mejillonesite,cryolite,1.0
mejillonesite,girvasite,1.0
mejillonesite,hedegaardite,1.0
mejillonesite,halite,1.0
mejillonesite,blodite,1.0
mejillonesite,loweite,1.0
mejillonesite,mirabilite,1.0
mejillonesite,vanthoffite,1.0
mejillonesite,thenardite,1.0
mejillonesite,malladrite,1.0
lovozerite,catapleiite,4.0
lovozerite,vinogradovite,5.0
lovozerite,hauyne,1.0
lovozerite,makatite,2.0
lovozerite,eliseevite,1.0
lovozerite,heulandite-ca,2.0
lovozerite,crawfordite,1.0
lovozerite,laverovite,1.0
lovozerite,shigaite,1.0
lovozerite,adamsite-(y),1.0
lovozerite,hogarthite,1.0
lovozerite,clinoptilolite-na,1.0
lovozerite,chabazite-na,2.0
lovozerite,labyrinthite,1.0
lovozerite,perraultite,1.0
lovozerite,nahpoite,1.0
lovozerite,sazhinite-(ce),1.0
lovozerite,hydroxynatropyrochlore,1.0
lovozerite,steenstrupine-(ce),3.0
lovozerite,turkestanite,1.0
lovozerite,umbozerite,2.0
lovozerite,heyerdahlite,1.0
lovozerite,ivanyukite-na,1.0
lovozerite,richterite,1.0
lovozerite,magnesio-fluoro-arfvedsonite,1.0
lovozerite,nastrophite,1.0
lovozerite,tuperssuatsiaite,2.0
lovozerite,lemoynite,2.0
lovozerite,manganoneptunite,2.0
lovozerite,nontronite,2.0
lovozerite,thomasclarkite-(y),1.0
lovozerite,birnessite,1.0
lovozerite,ferri-kaersutite,1.0
lovozerite,carbobystrite,1.0
lovozerite,mazzite-na,1.0
lovozerite,bobtraillite,1.0
lovozerite,magadiite,1.0
lovozerite,lemmleinite-k,2.0
lovozerite,perlialite,1.0
lovozerite,gmelinite-na,2.0
lovozerite,cryolite,2.0
lovozerite,aegirine,11.0
lovozerite,gonnardite,4.0
lovozerite,lomonosovite,3.0
lovozerite,pargasite,1.0
lovozerite,natrite,4.0
lovozerite,polyphite,1.0
lovozerite,natrolemoynite,1.0
lovozerite,revdite,2.0
lovozerite,tundrite-(ce),1.0
lovozerite,nepheline,10.0
lovozerite,petersenite-(ce),2.0
lovozerite,alluaivite,2.0
lovozerite,trona,1.0
lovozerite,arisite-(ce),1.0
lovozerite,sobolevite,1.0
lovozerite,peatite-(y),1.0
lovozerite,terskite,1.0
lovozerite,epididymite,3.0
lovozerite,delhayelite,1.0
lovozerite,reederite-(y),1.0
lovozerite,monteregianite-(y),1.0
lovozerite,bradleyite,2.0
lovozerite,raite,1.0
lovozerite,neptunite,4.0
lovozerite,sheldrickite,1.0
lovozerite,carbocernaite,1.0
lovozerite,chabazite-k,2.0
lovozerite,halite,1.0
lovozerite,sitinakite,1.0
lovozerite,lueshite,1.0
lovozerite,potassic-richterite,3.0
lovozerite,potassic-fluoro-richterite,1.0
lovozerite,pectolite,6.0
lovozerite,rouvilleite,2.0
lovozerite,chkalovite,3.0
lovozerite,potassic-ferri-leakeite,1.0
lovozerite,gaidonnayite,4.0
lovozerite,ashcroftine-(y),1.0
lovozerite,beryllonite,1.0
lovozerite,sazykinaite-(y),2.0
lovozerite,pirssonite,2.0
lovozerite,ramikite-(y),1.0
lovozerite,dravite,1.0
lovozerite,lavenite,3.0
lovozerite,niveolanite,1.0
lovozerite,parakeldyshite,2.0
lovozerite,leucophanite,3.0
lovozerite,burbankite,1.0
lovozerite,saponite,2.0
lovozerite,laurentianite,1.0
lovozerite,lintisite,2.0
lovozerite,tumchaite,1.0
lovozerite,ussingite,3.0
lovozerite,albite,5.0
lovozerite,intersilite,1.0
lovozerite,manganoeudialyte,3.0
lovozerite,gjerdingenite-na,1.0
lovozerite,niobokupletskite,1.0
lovozerite,calciomurmanite,2.0
lovozerite,mineevite-(y),1.0
lovozerite,faujasite-na,1.0
lovozerite,sazhinite-(la),1.0
lovozerite,nafertisite,1.0
lovozerite,selivanovaite,1.0
lovozerite,lemmleinite-ba,1.0
lovozerite,natrolite,9.0
lovozerite,natrosilite,1.0
lovozerite,shortite,1.0
lovozerite,dualite,1.0
lovozerite,kentbrooksite,3.0
lovozerite,vlasovite,2.0
lovozerite,chalconatronite,1.0
lovozerite,nahcolite,2.0
lovozerite,eudidymite,2.0
lovozerite,magnesio-hastingsite,1.0
lovozerite,quadruphite,1.0
lovozerite,lamprophyllite,6.0
lovozerite,natron,2.0
lovozerite,ershovite,2.0
lovozerite,eirikite,1.0
lovozerite,landauite,1.0
lovozerite,weloganite,1.0
lovozerite,katophorite,1.0
lovozerite,ferrokentbrooksite,3.0
lovozerite,bussyite-(y),1.0
lovozerite,arctite,1.0
lovozerite,arfvedsonite,6.0
lovozerite,nefedovite,1.0
lovozerite,paranatisite,1.0
lovozerite,eudialyte,10.0
lovozerite,oneillite,1.0
lovozerite,georgechaoite,2.0
lovozerite,thomsonite-ca,3.0
lovozerite,fluoro-richterite,1.0
lovozerite,neighborite,2.0
lovozerite,penkvilksite,1.0
lovozerite,voronkovite,1.0
lovozerite,ganophyllite,1.0
lovozerite,amicite,1.0
lovozerite,aenigmatite,4.0
lovozerite,deloneite,1.0
lovozerite,schorl,1.0
lovozerite,vesuvianite,2.0
lovozerite,sodalite,8.0
lovozerite,poudretteite,1.0
lovozerite,normandite,1.0
lovozerite,zirsilite-(ce),1.0
lovozerite,nolzeite,1.0
lovozerite,korobitsynite,1.0
lovozerite,phillipsite-na,1.0
lovozerite,elpidite,4.0
lovozerite,sugilite,1.0
lovozerite,hydroterskite,1.0
lovozerite,manganotychite,2.0
lovozerite,belovite-(ce),1.0
lovozerite,ewaldite,1.0
lovozerite,sabinaite,1.0
lovozerite,mordenite,1.0
lovozerite,zakharovite,4.0
lovozerite,nordite-(ce),1.0
lovozerite,leifite,2.0
lovozerite,bussyite-(ce),1.0
lovozerite,garronite-na,1.0
lovozerite,steacyite,2.0
lovozerite,phosinaite-(ce),3.0
lovozerite,schairerite,1.0
lovozerite,astrophyllite,4.0
lovozerite,dorfmanite,5.0
lovozerite,ferro-ferri-katophorite,1.0
lovozerite,tisinalite,3.0
lovozerite,rinkite-(ce),3.0
lovozerite,natrophosphate,2.0
lovozerite,martinite,1.0
lovozerite,magnesio-arfvedsonite,2.0
lovozerite,barytolamprophyllite,5.0
lovozerite,nacaphite,3.0
lovozerite,gobbinsite,2.0
lovozerite,nabaphite,1.0
