from,to,weight
hydroxylbastnasite-(nd),mendeleevite-(nd),1.0
hydroxylbastnasite-(nd),bastnasite-(nd),1.0
rhabdophane-(nd),bastnasite-(nd),1.0
rhabdophane-(nd),florencite-(nd),1.0
rhabdophane-(nd),agardite-(nd),1.0
rhabdophane-(nd),synchysite-(nd),1.0
schuilingite-(nd),shabaite-(nd),1.0
schuilingite-(nd),francoisite-(nd),1.0
schuilingite-(nd),gysinite-(nd),1.0
shabaite-(nd),francoisite-(nd),1.0
lanthanite-(nd),kozoite-(nd),2.0
monazite-(nd),bastnasite-(nd),1.0
monazite-(nd),florencite-(nd),2.0
calcioancylite-(nd),bastnasite-(nd),1.0
calcioancylite-(nd),kozoite-(nd),1.0
bastnasite-(nd),kozoite-(nd),1.0
florencite-(nd),synchysite-(nd),1.0
allanite-(nd),askagenite-(nd),1.0
mendeleevite-(nd),hydroxylbastnasite-(nd),1.0
bastnasite-(nd),hydroxylbastnasite-(nd),1.0
bastnasite-(nd),rhabdophane-(nd),1.0
florencite-(nd),rhabdophane-(nd),1.0
agardite-(nd),rhabdophane-(nd),1.0
synchysite-(nd),rhabdophane-(nd),1.0
shabaite-(nd),schuilingite-(nd),1.0
francoisite-(nd),schuilingite-(nd),1.0
gysinite-(nd),schuilingite-(nd),1.0
francoisite-(nd),shabaite-(nd),1.0
kozoite-(nd),lanthanite-(nd),2.0
bastnasite-(nd),monazite-(nd),1.0
florencite-(nd),monazite-(nd),2.0
bastnasite-(nd),calcioancylite-(nd),1.0
kozoite-(nd),calcioancylite-(nd),1.0
kozoite-(nd),bastnasite-(nd),1.0
synchysite-(nd),florencite-(nd),1.0
askagenite-(nd),allanite-(nd),1.0
