from,to,weight
xanthiosite,nickelaustinite,1.0
xanthiosite,annabergite,2.0
xanthiosite,petewilliamsite,1.0
xanthiosite,millerite,2.0
xanthiosite,nepouite,1.0
xanthiosite,nickellotharmeyerite,1.0
xanthiosite,rammelsbergite,2.0
xanthiosite,nickeline,2.0
xanthiosite,gersdorffite-pa3,2.0
xanthiosite,bunsenite,1.0
xanthiosite,willemseite,1.0
xanthiosite,violarite,1.0
xanthiosite,nickeltsumcorite,1.0
xanthiosite,vaesite,1.0
xanthiosite,pecoraite,1.0
xanthiosite,ullmannite,1.0
xanthiosite,siegenite,1.0
xanthiosite,omsite,1.0
xanthiosite,paganoite,1.0
xanthiosite,polydymite,1.0
xanthiosite,aerugite,1.0
xanthiosite,gaspeite,1.0
xanthiosite,maucherite,1.0
argentopentlandite,bottinoite,1.0
argentopentlandite,melonite,9.0
argentopentlandite,annabergite,3.0
argentopentlandite,smythite,4.0
argentopentlandite,menshikovite,2.0
argentopentlandite,vysotskite,3.0
argentopentlandite,millerite,14.0
argentopentlandite,djerfisherite,1.0
argentopentlandite,nickelskutterudite,1.0
argentopentlandite,kharaelakhite,1.0
argentopentlandite,majakite,2.0
argentopentlandite,parkerite,12.0
argentopentlandite,godlevskite,1.0
argentopentlandite,hauchecornite,4.0
argentopentlandite,morenosite,2.0
argentopentlandite,asbolane,1.0
argentopentlandite,rammelsbergite,2.0
argentopentlandite,nickeline,15.0
argentopentlandite,gersdorffite-pa3,23.0
argentopentlandite,tellurohauchecornite,1.0
argentopentlandite,heazlewoodite,3.0
argentopentlandite,violarite,27.0
argentopentlandite,glaukosphaerite,1.0
argentopentlandite,honzaite,1.0
argentopentlandite,breithauptite,13.0
argentopentlandite,thalfenisite,1.0
argentopentlandite,pararammelsbergite,1.0
argentopentlandite,akaganeite,1.0
argentopentlandite,ullmannite,6.0
argentopentlandite,krutovite,1.0
argentopentlandite,nickelzippeite,1.0
argentopentlandite,orcelite,1.0
argentopentlandite,siegenite,4.0
argentopentlandite,retgersite,1.0
argentopentlandite,owensite,1.0
argentopentlandite,bismutohauchecornite,1.0
argentopentlandite,polydymite,3.0
argentopentlandite,pentlandite,45.0
argentopentlandite,mackinawite,16.0
argentopentlandite,maucherite,11.0
trevorite,proxidecagonite,1.0
trevorite,oregonite,1.0
trevorite,millerite,4.0
trevorite,nickelphosphide,2.0
trevorite,tetrataenite,2.0
trevorite,nickel,3.0
trevorite,nepouite,2.0
trevorite,haxonite,1.0
trevorite,roaldite,1.0
trevorite,godlevskite,1.0
trevorite,tredouxite,1.0
trevorite,gersdorffite-pa3,1.0
trevorite,bunsenite,2.0
trevorite,willemseite,2.0
trevorite,bonaccordite,1.0
trevorite,heazlewoodite,2.0
trevorite,awaruite,3.0
trevorite,violarite,3.0
trevorite,reevesite,2.0
trevorite,barringerite,2.0
trevorite,liebenbergite,3.0
trevorite,breithauptite,1.0
trevorite,decagonite,1.0
trevorite,schreibersite,3.0
trevorite,orcelite,2.0
trevorite,nimite,1.0
trevorite,taenite,4.0
trevorite,polydymite,3.0
trevorite,pentlandite,7.0
trevorite,mackinawite,1.0
trevorite,gaspeite,1.0
trevorite,maucherite,1.0
bottinoite,jamborite,1.0
bottinoite,annabergite,7.0
bottinoite,tucekite,3.0
bottinoite,millerite,10.0
bottinoite,nickelskutterudite,2.0
bottinoite,hauchecornite,3.0
bottinoite,morenosite,2.0
bottinoite,rammelsbergite,1.0
bottinoite,nickeline,1.0
bottinoite,gersdorffite-pa3,3.0
bottinoite,glaukosphaerite,2.0
bottinoite,breithauptite,1.0
bottinoite,ullmannite,14.0
bottinoite,siegenite,1.0
bottinoite,omsite,1.0
bottinoite,retgersite,1.0
