from,to,weight
hexaferrum,osmium,1.0
hexaferrum,rutheniridosmine,1.0
hexamolybdenum,osmium,1.0
hexamolybdenum,erlichmanite,1.0
osmium,omeiite,1.0
osmium,osarsite,4.0
osmium,rutheniridosmine,27.0
osmium,erlichmanite,52.0
omeiite,osarsite,3.0
omeiite,rutheniridosmine,1.0
omeiite,erlichmanite,3.0
osarsite,rutheniridosmine,2.0
osarsite,erlichmanite,8.0
rutheniridosmine,erlichmanite,8.0
osmium,hexaferrum,1.0
rutheniridosmine,hexaferrum,1.0
osmium,hexamolybdenum,1.0
erlichmanite,hexamolybdenum,1.0
omeiite,osmium,1.0
osarsite,osmium,4.0
rutheniridosmine,osmium,27.0
erlichmanite,osmium,52.0
osarsite,omeiite,3.0
rutheniridosmine,omeiite,1.0
erlichmanite,omeiite,3.0
rutheniridosmine,osarsite,2.0
erlichmanite,osarsite,8.0
erlichmanite,rutheniridosmine,8.0
