from,to,weight
janchevite,lead,1.0
janchevite,mottramite,1.0
janchevite,duftite,1.0
janchevite,kentrolite,1.0
janchevite,asisite,1.0
janchevite,wulfenite,1.0
janchevite,leadhillite,1.0
janchevite,hedyphane,1.0
janchevite,anglesite,1.0
janchevite,pyromorphite,1.0
janchevite,pyrobelonite,1.0
janchevite,sahlinite,1.0
janchevite,grootfonteinite,1.0
janchevite,hereroite,1.0
janchevite,roymillerite,1.0
janchevite,erikjonssonite,1.0
janchevite,crocoite,1.0
janchevite,betekhtinite,1.0
janchevite,cerussite,1.0
janchevite,molybdophyllite,1.0
janchevite,kombatite,1.0
janchevite,yangite,1.0
janchevite,bayldonite,1.0
janchevite,galena,1.0
janchevite,mimetite,1.0
janchevite,vladkrivovichevite,1.0
janchevite,coronadite,1.0
janchevite,barysilite,1.0
janchevite,melanotekite,1.0
janchevite,britvinite,1.0
paulmooreite,perite,2.0
paulmooreite,lead,1.0
paulmooreite,phosgenite,1.0
paulmooreite,blixite,1.0
paulmooreite,fiedlerite,1.0
paulmooreite,wiklundite,1.0
paulmooreite,linarite,1.0
paulmooreite,ecdemite,2.0
paulmooreite,matlockite,1.0
paulmooreite,sundiusite,1.0
paulmooreite,hydrocerussite,2.0
paulmooreite,georgiadesite,1.0
paulmooreite,cotunnite,1.0
paulmooreite,litharge,1.0
paulmooreite,lanarkite,2.0
paulmooreite,hancockite,1.0
paulmooreite,mendipite,2.0
paulmooreite,barstowite,1.0
paulmooreite,monimolite,1.0
paulmooreite,laurionite,1.0
paulmooreite,stolzite,1.0
paulmooreite,oxyplumboromeite,1.0
paulmooreite,joesmithite,1.0
paulmooreite,hydroxylhedyphane,1.0
paulmooreite,anglesite,1.0
paulmooreite,gabrielsonite,1.0
paulmooreite,vanadinite,1.0
paulmooreite,plumbonacrite,1.0
paulmooreite,hyalotekite,1.0
paulmooreite,zenzenite,1.0
paulmooreite,nasonite,1.0
paulmooreite,freieslebenite,1.0
paulmooreite,trigonite,1.0
paulmooreite,freedite,1.0
paulmooreite,sahlinite,1.0
paulmooreite,rouseite,1.0
paulmooreite,betekhtinite,1.0
paulmooreite,cerussite,2.0
paulmooreite,alamosite,1.0
paulmooreite,molybdophyllite,1.0
paulmooreite,philolithite,1.0
paulmooreite,nealite,1.0
paulmooreite,pseudoboleite,1.0
paulmooreite,aikinite,1.0
paulmooreite,boleite,1.0
paulmooreite,paralaurionite,1.0
paulmooreite,plattnerite,1.0
paulmooreite,beudantite,1.0
paulmooreite,massicot,2.0
paulmooreite,roeblingite,1.0
paulmooreite,diaboleite,1.0
paulmooreite,altaite,1.0
paulmooreite,ganomalite,1.0
paulmooreite,thorikosite,1.0
paulmooreite,penfieldite,1.0
paulmooreite,minium,2.0
paulmooreite,galena,2.0
paulmooreite,bindheimite,1.0
paulmooreite,susannite,1.0
paulmooreite,macedonite,1.0
paulmooreite,finnemanite,1.0
paulmooreite,hyttsjoite,1.0
paulmooreite,senaite,1.0
paulmooreite,mimetite,1.0
paulmooreite,barysilite,1.0
paulmooreite,nadorite,1.0
paulmooreite,langbanshyttanite,1.0
paulmooreite,jagoite,1.0
paulmooreite,britvinite,1.0
creaseyite,perite,6.0
creaseyite,raygrantite,1.0
creaseyite,phoenicochroite,5.0
creaseyite,corkite,2.0
creaseyite,mottramite,9.0
creaseyite,phosgenite,1.0
creaseyite,descloizite,4.0
creaseyite,arsentsumebite,1.0
creaseyite,linarite,9.0
creaseyite,duftite,3.0
creaseyite,kamitugaite,1.0
creaseyite,gysinite-(nd),1.0
creaseyite,hydrocerussite,4.0
creaseyite,ottoite,2.0
creaseyite,cotunnite,1.0
creaseyite,litharge,2.0
creaseyite,hemihedrite,1.0
creaseyite,lanarkite,4.0
creaseyite,georgerobinsonite,1.0
creaseyite,thorneite,2.0
creaseyite,wulfenite,16.0
creaseyite,stolzite,2.0
creaseyite,leadhillite,7.0
creaseyite,bournonite,1.0
creaseyite,bairdite,1.0
creaseyite,anglesite,14.0
creaseyite,vanadinite,8.0
creaseyite,bobmeyerite,1.0
creaseyite,murdochite,7.0
creaseyite,pyromorphite,9.0
creaseyite,housleyite,2.0
creaseyite,plumbojarosite,4.0
creaseyite,calderonite,2.0
creaseyite,surite,2.0
creaseyite,arsendescloizite,1.0
creaseyite,kuranakhite,1.0
creaseyite,phosphohedyphane,11.0
creaseyite,ferrisurite,1.0
creaseyite,mammothite,1.0
creaseyite,markcooperite,1.0
creaseyite,plumbogummite,1.0
creaseyite,plumbotsumite,3.0
creaseyite,embreyite,1.0
creaseyite,fluorphosphohedyphane,1.0
creaseyite,crocoite,2.0
creaseyite,fornacite,10.0
creaseyite,paratimroseite,1.0
creaseyite,cerussite,17.0
creaseyite,alamosite,3.0
creaseyite,kuksite,2.0
creaseyite,pinalite,1.0
creaseyite,dugganite,2.0
creaseyite,telluroperite,3.0
creaseyite,pseudoboleite,2.0
creaseyite,boleite,3.0
creaseyite,munakataite,5.0
creaseyite,iranite,2.0
creaseyite,paralaurionite,2.0
creaseyite,ashburtonite,1.0
creaseyite,burckhardtite,1.0
creaseyite,plumbophyllite,1.0
creaseyite,plattnerite,4.0
creaseyite,rongibbsite,1.0
creaseyite,beudantite,2.0
creaseyite,macquartite,1.0
creaseyite,caledonite,7.0
creaseyite,massicot,4.0
creaseyite,wickenburgite,3.0
creaseyite,tsumebite,4.0
creaseyite,quetzalcoatlite,1.0
creaseyite,shannonite,1.0
creaseyite,cumengeite,1.0
creaseyite,diaboleite,6.0
creaseyite,agaite,1.0
creaseyite,khinite,6.0
creaseyite,mattheddleite,3.0
creaseyite,fuettererite,2.0
creaseyite,schmiederite,1.0
creaseyite,minium,4.0
creaseyite,galena,17.0
creaseyite,andychristyite,1.0
creaseyite,bindheimite,4.0
creaseyite,wherryite,3.0
creaseyite,bideauxite,1.0
creaseyite,mimetite,18.0
creaseyite,vauquelinite,8.0
creaseyite,scotlandite,2.0
creaseyite,queitite,1.0
creaseyite,yedlinite,1.0
creaseyite,eckhardite,2.0
creaseyite,coronadite,1.0
creaseyite,timroseite,5.0
creaseyite,reynoldsite,1.0
creaseyite,molybdofornacite,1.0
creaseyite,melanotekite,3.0
creaseyite,beaverite-(cu),3.0
borodaevite,ramdohrite,1.0
borodaevite,anglesite,1.0
borodaevite,gustavite,1.0
borodaevite,galena,1.0
borodaevite,owyheeite,1.0
esperite,lead,2.0
esperite,watkinsonite,1.0
esperite,linarite,1.0
esperite,molybdomenite,1.0
esperite,hancockite,3.0
esperite,larsenite,1.0
esperite,anglesite,1.0
esperite,nasonite,2.0
esperite,petrovicite,1.0
esperite,pyrobelonite,1.0
esperite,margarosanite,3.0
esperite,cerussite,1.0
esperite,roeblingite,2.0
esperite,quijarroite,1.0
esperite,schmiederite,1.0
esperite,cerromojonite,1.0
esperite,galena,1.0
esperite,clausthalite,1.0
esperite,olsacherite,1.0
esperite,coronadite,1.0
esperite,barysilite,1.0
esperite,favreauite,1.0
esperite,hansblockite,1.0
macphersonite,phoenicochroite,1.0
macphersonite,corkite,2.0
macphersonite,mottramite,4.0
macphersonite,phosgenite,3.0
macphersonite,descloizite,4.0
macphersonite,feinglosite,1.0
macphersonite,arsentsumebite,1.0
macphersonite,seligmannite,1.0
macphersonite,linarite,9.0
macphersonite,duftite,3.0
macphersonite,fuloppite,1.0
macphersonite,hydrocerussite,6.0
macphersonite,fassinaite,1.0
macphersonite,cotunnite,1.0
macphersonite,litharge,1.0
macphersonite,hemihedrite,1.0
macphersonite,lanarkite,6.0
macphersonite,dundasite,3.0
macphersonite,larsenite,1.0
macphersonite,wulfenite,6.0
macphersonite,ludlockite,1.0
macphersonite,stolzite,2.0
macphersonite,leadhillite,9.0
macphersonite,kasolite,1.0
macphersonite,hedyphane,2.0
macphersonite,bournonite,2.0
macphersonite,anglesite,9.0
macphersonite,krupkaite,1.0
macphersonite,philipsbornite,1.0
macphersonite,vanadinite,3.0
macphersonite,tsumcorite,1.0
macphersonite,pyromorphite,8.0
macphersonite,plumbojarosite,2.0
macphersonite,semseyite,1.0
macphersonite,furutobeite,1.0
macphersonite,hinsdalite,1.0
macphersonite,gartrellite,1.0
macphersonite,surite,1.0
macphersonite,arsendescloizite,1.0
macphersonite,damaraite,1.0
macphersonite,arsenbrackebuschite,1.0
macphersonite,schultenite,2.0
macphersonite,gallobeudantite,1.0
macphersonite,vanackerite,1.0
macphersonite,fleischerite,1.0
macphersonite,plumboselite,1.0
macphersonite,elyite,5.0
macphersonite,mathewrogersite,1.0
macphersonite,otjisumeite,1.0
macphersonite,plumbogummite,2.0
macphersonite,thometzekite,1.0
macphersonite,zincgartrellite,1.0
macphersonite,kegelite,1.0
macphersonite,plumbotsumite,1.0
macphersonite,crocoite,1.0
macphersonite,betekhtinite,1.0
macphersonite,fornacite,2.0
macphersonite,galloplumbogummite,1.0
macphersonite,maricopaite,1.0
macphersonite,jamesite,1.0
macphersonite,cerussite,10.0
macphersonite,alamosite,1.0
macphersonite,helmutwinklerite,1.0
macphersonite,itoite,1.0
macphersonite,aikinite,1.0
macphersonite,zinkenite,1.0
macphersonite,plattnerite,3.0
macphersonite,bartelkeite,1.0
macphersonite,cosalite,1.0
macphersonite,beudantite,3.0
macphersonite,caledonite,10.0
macphersonite,massicot,4.0
macphersonite,wickenburgite,1.0
macphersonite,tsumebite,2.0
macphersonite,jamesonite,2.0
macphersonite,bayldonite,2.0
macphersonite,mattheddleite,4.0
macphersonite,carminite,2.0
macphersonite,minium,5.0
macphersonite,galena,10.0
macphersonite,bindheimite,3.0
macphersonite,gebhardite,1.0
macphersonite,gratonite,1.0
macphersonite,susannite,6.0
macphersonite,hidalgoite,1.0
macphersonite,mimetite,6.0
macphersonite,vauquelinite,1.0
macphersonite,scotlandite,5.0
macphersonite,queitite,3.0
macphersonite,mawbyite,1.0
macphersonite,boulangerite,1.0
macphersonite,coronadite,2.0
macphersonite,nadorite,1.0
macphersonite,steverustite,1.0
macphersonite,sidpietersite,1.0
macphersonite,segnitite,1.0
macphersonite,molybdofornacite,2.0
macphersonite,melanotekite,1.0
macphersonite,beaverite-(cu),2.0
macphersonite,chenite,3.0
perite,corkite,2.0
perite,lead,2.0
perite,mottramite,9.0
perite,phosgenite,3.0
perite,descloizite,2.0
perite,blixite,1.0
perite,arsentsumebite,1.0
perite,fiedlerite,2.0
perite,wiklundite,1.0
perite,linarite,10.0
perite,ecdemite,3.0
perite,matlockite,2.0
perite,duftite,4.0
perite,sundiusite,1.0
perite,gysinite-(nd),1.0
perite,hydrocerussite,6.0
perite,ottoite,2.0
perite,georgiadesite,2.0
perite,cotunnite,2.0
perite,litharge,5.0
perite,lanarkite,4.0
perite,dundasite,3.0
perite,hancockite,1.0
perite,mendipite,3.0
perite,barstowite,2.0
perite,thorneite,3.0
perite,wulfenite,13.0
perite,monimolite,1.0
perite,laurionite,4.0
perite,beaverite-(zn),1.0
perite,stolzite,2.0
perite,oxyplumboromeite,1.0
perite,lautenthalite,1.0
perite,joesmithite,1.0
perite,mallestigite,1.0
perite,leadhillite,7.0
perite,hedyphane,2.0
perite,bournonite,1.0
perite,hydroxylhedyphane,1.0
perite,bairdite,1.0
perite,anglesite,14.0
perite,krupkaite,1.0
perite,eztlite,1.0
perite,gabrielsonite,1.0
perite,vanadinite,10.0
perite,plumbonacrite,1.0
perite,hyalotekite,1.0
perite,murdochite,2.0
perite,pyromorphite,6.0
perite,zenzenite,1.0
perite,chromschieffelinite,1.0
perite,housleyite,2.0
perite,plumbojarosite,7.0
perite,nasonite,1.0
perite,freieslebenite,1.0
perite,trigonite,1.0
perite,schultenite,1.0
perite,phosphohedyphane,9.0
perite,ferrisurite,1.0
perite,mammothite,1.0
perite,freedite,1.0
perite,markcooperite,2.0
perite,elyite,2.0
perite,sahlinite,1.0
perite,plumbogummite,3.0
perite,rouseite,1.0
perite,plumbotsumite,2.0
perite,fluorphosphohedyphane,1.0
perite,crocoite,1.0
perite,betekhtinite,1.0
perite,fornacite,8.0
perite,paratimroseite,2.0
perite,cerussite,21.0
perite,alamosite,1.0
perite,molybdophyllite,1.0
perite,kuksite,1.0
perite,philolithite,1.0
perite,nealite,3.0
perite,dugganite,2.0
perite,telluroperite,3.0
perite,pseudoboleite,3.0
perite,aikinite,3.0
perite,boleite,6.0
perite,munakataite,4.0
perite,galenobismutite,1.0
perite,paralaurionite,3.0
perite,burckhardtite,2.0
perite,plumbophyllite,1.0
perite,plattnerite,3.0
perite,cosalite,1.0
perite,beudantite,8.0
perite,caledonite,9.0
perite,massicot,6.0
perite,tsumebite,2.0
perite,quetzalcoatlite,2.0
perite,roeblingite,1.0
perite,cumengeite,2.0
perite,diaboleite,6.0
perite,agaite,2.0
perite,khinite,7.0
perite,mattheddleite,2.0
perite,fuettererite,2.0
perite,altaite,1.0
perite,ganomalite,1.0
perite,thorikosite,2.0
perite,schmiederite,1.0
perite,carminite,1.0
perite,penfieldite,2.0
perite,minium,3.0
perite,galena,20.0
perite,andychristyite,1.0
perite,bindheimite,3.0
perite,susannite,5.0
perite,macedonite,1.0
perite,finnemanite,1.0
perite,hyttsjoite,1.0
perite,senaite,1.0
perite,mimetite,15.0
perite,vauquelinite,6.0
perite,choloalite,1.0
perite,eckhardite,3.0
perite,barysilite,1.0
perite,nadorite,1.0
perite,timroseite,6.0
perite,langbanshyttanite,1.0
perite,reynoldsite,1.0
perite,jagoite,1.0
perite,beaverite-(cu),3.0
perite,chenite,2.0
perite,britvinite,1.0
soucekite,mottramite,1.0
soucekite,watkinsonite,1.0
soucekite,poubaite,2.0
soucekite,raspite,1.0
soucekite,weibullite,1.0
soucekite,kasolite,1.0
soucekite,bournonite,1.0
soucekite,anglesite,1.0
soucekite,krupkaite,2.0
soucekite,treasurite,1.0
soucekite,gustavite,3.0
soucekite,gladite,1.0
soucekite,pyrobelonite,1.0
