from,to,weight
urvantsevite,sobolevskite,3.0
urvantsevite,palladoarsenide,1.0
urvantsevite,plumbopalladinite,2.0
urvantsevite,naldrettite,1.0
urvantsevite,norilskite,1.0
urvantsevite,kotulskite,2.0
urvantsevite,cabriite,2.0
urvantsevite,merenskyite,2.0
urvantsevite,paolovite,2.0
urvantsevite,majakite,2.0
urvantsevite,stibiopalladinite,2.0
urvantsevite,vincentite,1.0
urvantsevite,froodite,3.0
urvantsevite,mertieite-ii,1.0
urvantsevite,stannopalladinite,2.0
urvantsevite,zvyagintsevite,2.0
urvantsevite,atokite,2.0
urvantsevite,palarstanide,1.0
urvantsevite,michenerite,2.0
urvantsevite,taimyrite-i,2.0
urvantsevite,polarite,3.0
urvantsevite,temagamite,1.0
kalungaite,isomertieite,1.0
kalungaite,stibiopalladinite,1.0
kalungaite,mertieite-ii,1.0
kalungaite,padmaite,1.0
chrisstanleyite,tischendorfite,1.0
chrisstanleyite,isomertieite,2.0
chrisstanleyite,potarite,1.0
chrisstanleyite,merenskyite,1.0
chrisstanleyite,stibiopalladinite,1.0
chrisstanleyite,mertieite-ii,2.0
chrisstanleyite,telargpalite,1.0
chrisstanleyite,jagueite,2.0
chrisstanleyite,palladium,1.0
chrisstanleyite,oosterboschite,1.0
chrisstanleyite,verbeekite,1.0
chrisstanleyite,milotaite,1.0
stillwaterite,sobolevskite,10.0
stillwaterite,kravtsovite,1.0
stillwaterite,palladoarsenide,14.0
stillwaterite,arsenopalladinite,10.0
stillwaterite,plumbopalladinite,5.0
stillwaterite,naldrettite,2.0
stillwaterite,marathonite,1.0
stillwaterite,vasilite,2.0
stillwaterite,oulankaite,1.0
stillwaterite,skaergaardite,4.0
stillwaterite,menshikovite,8.0
stillwaterite,vysotskite,15.0
stillwaterite,laflammeite,3.0
stillwaterite,isomertieite,10.0
stillwaterite,palladinite,2.0
stillwaterite,keithconnite,7.0
stillwaterite,miessiite,1.0
stillwaterite,palladobismutharsenide,5.0
stillwaterite,palladogermanide,1.0
stillwaterite,atheneite,2.0
stillwaterite,potarite,2.0
stillwaterite,kotulskite,18.0
stillwaterite,telluropalladinite,3.0
stillwaterite,merenskyite,11.0
stillwaterite,paolovite,7.0
stillwaterite,majakite,5.0
stillwaterite,stibiopalladinite,10.0
stillwaterite,vincentite,7.0
stillwaterite,froodite,9.0
stillwaterite,mertieite-ii,8.0
stillwaterite,stannopalladinite,2.0
stillwaterite,zvyagintsevite,7.0
stillwaterite,atokite,9.0
stillwaterite,mertieite-i,2.0
stillwaterite,palarstanide,2.0
stillwaterite,michenerite,11.0
stillwaterite,sopcheite,4.0
stillwaterite,palladseite,1.0
stillwaterite,taimyrite-i,1.0
stillwaterite,telargpalite,4.0
stillwaterite,tornroosite,4.0
stillwaterite,sudburyite,3.0
stillwaterite,coldwellite,2.0
stillwaterite,temagamite,1.0
stillwaterite,palladium,4.0
stillwaterite,lukkulaisvaaraite,2.0
stillwaterite,palladodymite,1.0
sobolevskite,kravtsovite,2.0
sobolevskite,palladoarsenide,11.0
sobolevskite,arsenopalladinite,4.0
sobolevskite,thalhammerite,1.0
sobolevskite,plumbopalladinite,6.0
sobolevskite,naldrettite,6.0
sobolevskite,ungavaite,1.0
sobolevskite,marathonite,1.0
sobolevskite,vasilite,2.0
sobolevskite,oulankaite,2.0
sobolevskite,skaergaardite,3.0
sobolevskite,norilskite,2.0
sobolevskite,tatyanaite,1.0
sobolevskite,menshikovite,7.0
sobolevskite,vysotskite,11.0
sobolevskite,laflammeite,2.0
sobolevskite,isomertieite,4.0
sobolevskite,palladinite,1.0
sobolevskite,keithconnite,7.0
sobolevskite,palladobismutharsenide,4.0
sobolevskite,palladogermanide,1.0
sobolevskite,atheneite,2.0
sobolevskite,potarite,1.0
sobolevskite,kotulskite,32.0
sobolevskite,telluropalladinite,3.0
sobolevskite,cabriite,6.0
sobolevskite,merenskyite,25.0
sobolevskite,paolovite,15.0
sobolevskite,majakite,6.0
sobolevskite,stibiopalladinite,16.0
sobolevskite,vincentite,9.0
sobolevskite,froodite,18.0
sobolevskite,mertieite-ii,14.0
sobolevskite,stannopalladinite,6.0
sobolevskite,zvyagintsevite,9.0
sobolevskite,padmaite,1.0
sobolevskite,atokite,11.0
sobolevskite,mertieite-i,4.0
sobolevskite,palarstanide,5.0
sobolevskite,michenerite,23.0
sobolevskite,sopcheite,5.0
sobolevskite,taimyrite-i,3.0
sobolevskite,telargpalite,6.0
sobolevskite,tornroosite,1.0
sobolevskite,vymazalovaite,1.0
sobolevskite,sudburyite,6.0
sobolevskite,polarite,5.0
sobolevskite,coldwellite,1.0
sobolevskite,palladosilicide,1.0
sobolevskite,palladium,4.0
sobolevskite,lukkulaisvaaraite,1.0
sobolevskite,malyshevite,4.0
sobolevskite,palladodymite,1.0
bortnikovite,arsenopalladinite,1.0
bortnikovite,skaergaardite,1.0
bortnikovite,tatyanaite,1.0
bortnikovite,laflammeite,1.0
bortnikovite,isomertieite,1.0
bortnikovite,telluropalladinite,1.0
bortnikovite,froodite,1.0
bortnikovite,zvyagintsevite,1.0
bortnikovite,atokite,1.0
bortnikovite,taimyrite-i,1.0
bortnikovite,sudburyite,1.0
bortnikovite,palladium,1.0
kravtsovite,palladoarsenide,2.0
kravtsovite,arsenopalladinite,1.0
kravtsovite,thalhammerite,1.0
