from,to,weight
isoferroplatinum,ferronickelplatinum,4.0
isoferroplatinum,malanite,14.0
isoferroplatinum,tetraferroplatinum,42.0
isoferroplatinum,platinum,47.0
isoferroplatinum,ferhodsite,1.0
isoferroplatinum,niggliite,4.0
isoferroplatinum,kitagohaite,1.0
isoferroplatinum,cooperite,56.0
isoferroplatinum,rustenburgite,14.0
isoferroplatinum,moncheite,20.0
isoferroplatinum,tulameenite,26.0
isoferroplatinum,tatyanaite,1.0
isoferroplatinum,taimyrite-i,3.0
isoferroplatinum,braggite,33.0
isoferroplatinum,maslovite,6.0
isoferroplatinum,sperrylite,59.0
isoferroplatinum,stumpflite,2.0
isoferroplatinum,sudovikovite,1.0
isoferroplatinum,genkinite,7.0
isoferroplatinum,insizwaite,4.0
isoferroplatinum,hongshiite,15.0
isoferroplatinum,luberoite,1.0
isoferroplatinum,platarsite,16.0
isoferroplatinum,geversite,16.0
ferronickelplatinum,malanite,3.0
ferronickelplatinum,tetraferroplatinum,8.0
ferronickelplatinum,platinum,4.0
ferronickelplatinum,niggliite,1.0
ferronickelplatinum,cooperite,6.0
ferronickelplatinum,tulameenite,5.0
ferronickelplatinum,braggite,2.0
ferronickelplatinum,sperrylite,8.0
ferronickelplatinum,genkinite,1.0
ferronickelplatinum,insizwaite,1.0
malanite,tetraferroplatinum,13.0
malanite,platinum,14.0
malanite,ferhodsite,1.0
malanite,niggliite,1.0
malanite,lisiguangite,1.0
malanite,yixunite,2.0
malanite,cooperite,23.0
malanite,rustenburgite,2.0
malanite,moncheite,12.0
malanite,tulameenite,8.0
malanite,tatyanaite,1.0
malanite,taimyrite-i,1.0
malanite,braggite,12.0
malanite,sperrylite,22.0
malanite,stumpflite,1.0
malanite,genkinite,2.0
malanite,insizwaite,1.0
malanite,daomanite,2.0
malanite,hongshiite,3.0
malanite,platarsite,7.0
malanite,geversite,7.0
malanite,damiaoite,2.0
tetraferroplatinum,platinum,27.0
tetraferroplatinum,ferhodsite,1.0
tetraferroplatinum,niggliite,4.0
tetraferroplatinum,cooperite,26.0
tetraferroplatinum,rustenburgite,12.0
tetraferroplatinum,moncheite,13.0
tetraferroplatinum,tulameenite,22.0
tetraferroplatinum,tatyanaite,1.0
tetraferroplatinum,taimyrite-i,3.0
tetraferroplatinum,braggite,14.0
tetraferroplatinum,maslovite,3.0
tetraferroplatinum,sperrylite,39.0
tetraferroplatinum,stumpflite,3.0
tetraferroplatinum,genkinite,6.0
tetraferroplatinum,insizwaite,4.0
tetraferroplatinum,hongshiite,3.0
tetraferroplatinum,platarsite,8.0
tetraferroplatinum,geversite,12.0
platinum,niggliite,6.0
platinum,jacutingaite,1.0
platinum,lisiguangite,1.0
platinum,yixunite,1.0
platinum,cooperite,48.0
platinum,rustenburgite,11.0
platinum,moncheite,27.0
platinum,tulameenite,20.0
platinum,tatyanaite,1.0
platinum,taimyrite-i,2.0
platinum,braggite,29.0
