from,to,weight
rhodium,cherepanovite,1.0
rhodium,polkanovite,1.0
rhodium,hollingworthite,3.0
rhodium,bowieite,1.0
rhodium,rhodarsenide,1.0
rhodium,miassite,1.0
cherepanovite,polkanovite,1.0
cherepanovite,hollingworthite,9.0
cherepanovite,kingstonite,1.0
cherepanovite,cuprorhodsite,3.0
cherepanovite,bowieite,1.0
cherepanovite,rhodarsenide,3.0
cherepanovite,konderite,1.0
cherepanovite,miassite,1.0
cherepanovite,oberthurite,1.0
polkanovite,hollingworthite,1.0
polkanovite,cuprorhodsite,1.0
polkanovite,rhodarsenide,1.0
polkanovite,konderite,1.0
hollingworthite,kingstonite,1.0
hollingworthite,cuprorhodsite,12.0
hollingworthite,bowieite,13.0
hollingworthite,zaccariniite,1.0
hollingworthite,rhodarsenide,7.0
hollingworthite,konderite,1.0
hollingworthite,miassite,4.0
hollingworthite,oberthurite,1.0
kingstonite,cuprorhodsite,2.0
kingstonite,bowieite,2.0
kingstonite,rhodarsenide,2.0
kingstonite,miassite,1.0
ferhodsite,cuprorhodsite,1.0
ferhodsite,konderite,1.0
cuprorhodsite,bowieite,14.0
cuprorhodsite,rhodarsenide,2.0
cuprorhodsite,konderite,2.0
cuprorhodsite,miassite,1.0
bowieite,rhodarsenide,3.0
bowieite,miassite,8.0
rhodarsenide,konderite,1.0
rhodarsenide,miassite,2.0
rhodarsenide,oberthurite,1.0
cherepanovite,rhodium,1.0
polkanovite,rhodium,1.0
hollingworthite,rhodium,3.0
bowieite,rhodium,1.0
rhodarsenide,rhodium,1.0
miassite,rhodium,1.0
polkanovite,cherepanovite,1.0
hollingworthite,cherepanovite,9.0
kingstonite,cherepanovite,1.0
cuprorhodsite,cherepanovite,3.0
bowieite,cherepanovite,1.0
rhodarsenide,cherepanovite,3.0
konderite,cherepanovite,1.0
miassite,cherepanovite,1.0
oberthurite,cherepanovite,1.0
hollingworthite,polkanovite,1.0
cuprorhodsite,polkanovite,1.0
rhodarsenide,polkanovite,1.0
konderite,polkanovite,1.0
kingstonite,hollingworthite,1.0
cuprorhodsite,hollingworthite,12.0
bowieite,hollingworthite,13.0
zaccariniite,hollingworthite,1.0
rhodarsenide,hollingworthite,7.0
konderite,hollingworthite,1.0
miassite,hollingworthite,4.0
oberthurite,hollingworthite,1.0
cuprorhodsite,kingstonite,2.0
bowieite,kingstonite,2.0
rhodarsenide,kingstonite,2.0
miassite,kingstonite,1.0
cuprorhodsite,ferhodsite,1.0
konderite,ferhodsite,1.0
bowieite,cuprorhodsite,14.0
rhodarsenide,cuprorhodsite,2.0
konderite,cuprorhodsite,2.0
miassite,cuprorhodsite,1.0
rhodarsenide,bowieite,3.0
miassite,bowieite,8.0
konderite,rhodarsenide,1.0
miassite,rhodarsenide,2.0
oberthurite,rhodarsenide,1.0
