from,to,weight
hexaferrum,ruthenium,1.0
hexaferrum,laurite,2.0
hexaferrum,rutheniridosmine,1.0
ruthenarsenite,ruarsite,1.0
ruthenarsenite,ruthenium,3.0
ruthenarsenite,laurite,8.0
ruthenarsenite,rutheniridosmine,3.0
ruthenarsenite,anduoite,1.0
hexamolybdenum,laurite,1.0
ruarsite,ruthenium,7.0
ruarsite,laurite,20.0
ruarsite,rutheniridosmine,2.0
ruarsite,anduoite,6.0
ruthenium,laurite,30.0
ruthenium,rutheniridosmine,14.0
laurite,rutheniridosmine,22.0
laurite,anduoite,6.0
rutheniridosmine,anduoite,3.0
ruthenium,hexaferrum,1.0
laurite,hexaferrum,2.0
rutheniridosmine,hexaferrum,1.0
ruarsite,ruthenarsenite,1.0
ruthenium,ruthenarsenite,3.0
laurite,ruthenarsenite,8.0
rutheniridosmine,ruthenarsenite,3.0
anduoite,ruthenarsenite,1.0
laurite,hexamolybdenum,1.0
ruthenium,ruarsite,7.0
laurite,ruarsite,20.0
rutheniridosmine,ruarsite,2.0
anduoite,ruarsite,6.0
laurite,ruthenium,30.0
rutheniridosmine,ruthenium,14.0
rutheniridosmine,laurite,22.0
anduoite,laurite,6.0
anduoite,rutheniridosmine,3.0
