from,to,weight
penzhinite,aguilarite,1.0
penzhinite,chalcopyrite,1.0
penzhinite,galena,1.0
borodaevite,ramdohrite,1.0
borodaevite,sphalerite,1.0
borodaevite,natrojarosite,1.0
borodaevite,pyrite,1.0
borodaevite,anglesite,1.0
borodaevite,gustavite,1.0
borodaevite,molybdenite,1.0
borodaevite,pavonite,1.0
borodaevite,gypsum,1.0
borodaevite,arangasite,1.0
borodaevite,chalcopyrite,1.0
borodaevite,owyheeite,1.0
borodaevite,benjaminite,1.0
borodaevite,arsenopyrite,1.0
borodaevite,matildite,1.0
borodaevite,jarosite,1.0
borodaevite,aramayoite,1.0
borodaevite,galena,1.0
tochilinite,chalcocite,10.0
tochilinite,cyanotrichite,1.0
tochilinite,bornite,5.0
tochilinite,dekatriasartorite,1.0
tochilinite,enneasartorite,1.0
tochilinite,seligmannite,1.0
tochilinite,argentoliveingite,1.0
tochilinite,ralphcannonite,1.0
tochilinite,millerite,4.0
tochilinite,sicherite,1.0
tochilinite,anhydrite,4.0
tochilinite,incomsartorite,1.0
tochilinite,greigite,2.0
tochilinite,sphalerite,21.0
tochilinite,oldhamite,1.0
tochilinite,pyrite,22.0
tochilinite,godlevskite,3.0
tochilinite,valleriite,9.0
tochilinite,morenosite,1.0
tochilinite,pararealgar,1.0
tochilinite,debattistiite,1.0
tochilinite,argentodufrenoysite,1.0
tochilinite,copiapite,1.0
tochilinite,bournonite,1.0
tochilinite,anglesite,2.0
tochilinite,imhofite,1.0
tochilinite,picotpaulite,1.0
tochilinite,bassanite,1.0
tochilinite,langite,2.0
tochilinite,jentschite,1.0
tochilinite,mountkeithite,2.0
tochilinite,botryogen,1.0
tochilinite,ferrostalderite,1.0
tochilinite,molybdenite,6.0
tochilinite,ullmannite,1.0
tochilinite,orpiment,1.0
tochilinite,bismuthinite,1.0
tochilinite,acanthite,3.0
tochilinite,bianchite,1.0
tochilinite,dalnegroite,1.0
tochilinite,tennantite-(fe),1.0
tochilinite,hendekasartorite,1.0
tochilinite,aguilarite,1.0
tochilinite,rathite,1.0
tochilinite,murchisite,1.0
tochilinite,melanterite,2.0
tochilinite,laflammeite,1.0
tochilinite,alabandite,1.0
tochilinite,hexahydrite,3.0
tochilinite,cosalite,1.0
tochilinite,parapierrotite,1.0
tochilinite,starkeyite,4.0
tochilinite,baumhauerite ii,1.0
tochilinite,chabourneite,1.0
tochilinite,kalininite,1.0
tochilinite,celestine,4.0
tochilinite,gypsum,15.0
tochilinite,polybasite,1.0
tochilinite,blodite,1.0
tochilinite,aphthitalite,1.0
tochilinite,cobaltite,3.0
tochilinite,gratonite,1.0
tochilinite,chalcopyrite,19.0
tochilinite,epsomite,2.0
tochilinite,canfieldite,1.0
tochilinite,fangite,1.0
tochilinite,mohrite,1.0
tochilinite,boulangerite,1.0
tochilinite,isocubanite,1.0
tochilinite,philrothite,1.0
tochilinite,polydymite,2.0
tochilinite,chalcanthite,1.0
tochilinite,thalcusite,1.0
tochilinite,realgar,1.0
tochilinite,lorandite,1.0
tochilinite,argentopentlandite,1.0
tochilinite,quadratite,1.0
tochilinite,ternesite,1.0
tochilinite,burkeite,1.0
tochilinite,rasvumite,1.0
tochilinite,sinnerite,1.0
tochilinite,greenockite,1.0
tochilinite,smythite,2.0
tochilinite,rozenite,1.0
