from,to,weight
pillaite,marrucciite,1.0
pillaite,chapmanite,1.0
pillaite,zinkenite,1.0
pillaite,rouxelite,1.0
pillaite,scainiite,1.0
pillaite,versiliaite,1.0
pillaite,tetrahedrite-(zn),1.0
pillaite,stibivanite,1.0
pillaite,robinsonite,1.0
pillaite,pellouxite,1.0
pillaite,bournonite,1.0
pillaite,stibiconite,1.0
pillaite,dadsonite,1.0
pillaite,schafarzikite,1.0
pillaite,valentinite,1.0
pillaite,derbylite,1.0
pillaite,stibnite,1.0
pillaite,boulangerite,1.0
pillaite,ullmannite,1.0
pillaite,chalcostibite,1.0
pillaite,oxycalcioromeite,1.0
pillaite,senarmontite,1.0
pillaite,tintinaite,1.0
pillaite,apuanite,1.0
braithwaiteite,famatinite,1.0
braithwaiteite,tetrahedrite-(zn),1.0
braithwaiteite,miargyrite,1.0
braithwaiteite,polybasite,1.0
braithwaiteite,bournonite,1.0
braithwaiteite,pyrargyrite,1.0
braithwaiteite,stephanite,1.0
braithwaiteite,chalcostibite,1.0
borodaevite,ramdohrite,1.0
borodaevite,aramayoite,1.0
borodaevite,stibiconite,1.0
borodaevite,valentinite,1.0
borodaevite,owyheeite,1.0
bottinoite,brandholzite,1.0
bottinoite,meneghinite,2.0
bottinoite,hydroxyferroromeite,1.0
bottinoite,tucekite,3.0
bottinoite,fuloppite,1.0
bottinoite,zinkenite,1.0
bottinoite,tetrahedrite-(zn),6.0
bottinoite,plagionite,1.0
bottinoite,jamesonite,2.0
bottinoite,hauchecornite,3.0
bottinoite,miargyrite,2.0
bottinoite,bournonite,6.0
bottinoite,stibiconite,3.0
bottinoite,geocronite,1.0
bottinoite,bindheimite,9.0
bottinoite,jaskolskiite,1.0
bottinoite,semseyite,4.0
bottinoite,breithauptite,1.0
bottinoite,valentinite,6.0
bottinoite,kermesite,1.0
bottinoite,stibnite,6.0
bottinoite,boulangerite,5.0
bottinoite,pyrargyrite,3.0
bottinoite,stephanite,1.0
bottinoite,ullmannite,14.0
bottinoite,omsite,1.0
bottinoite,senarmontite,2.0
bottinoite,pyrostilpnite,1.0
bottinoite,kobellite,1.0
seinajokite,famatinite,1.0
seinajokite,cuprostibite,1.0
seinajokite,paakkonenite,1.0
seinajokite,zinkenite,1.0
seinajokite,nisbite,1.0
seinajokite,tetrahedrite-(zn),2.0
seinajokite,berthierite,2.0
seinajokite,gudmundite,3.0
seinajokite,zlatogorite,1.0
seinajokite,aurostibite,2.0
seinajokite,vrbaite,1.0
seinajokite,polybasite,1.0
seinajokite,paradocrasite,1.0
seinajokite,stibarsen,1.0
seinajokite,breithauptite,2.0
seinajokite,valentinite,1.0
seinajokite,kermesite,1.0
seinajokite,stibnite,2.0
seinajokite,antimony,3.0
seinajokite,boulangerite,1.0
seinajokite,ullmannite,3.0
seinajokite,chalcostibite,1.0
seinajokite,senarmontite,2.0
pinakiolite,blatterite,1.0
pinakiolite,cuprostibite,1.0
pinakiolite,nisbite,1.0
pinakiolite,filipstadite,1.0
pinakiolite,welshite,1.0
pinakiolite,katoptrite,1.0
pinakiolite,ingersonite,1.0
pinakiolite,tetrahedrite-(zn),1.0
pinakiolite,swedenborgite,1.0
pinakiolite,monimolite,1.0
pinakiolite,manganostibite,1.0
pinakiolite,oxyplumboromeite,1.0
pinakiolite,tegengrenite,1.0
pinakiolite,parwelite,1.0
pinakiolite,stenhuggarite,1.0
pinakiolite,fluorcalcioromeite,1.0
pinakiolite,bindheimite,1.0
pinakiolite,hydroxycalcioromeite,1.0
pinakiolite,stibarsen,1.0
pinakiolite,freieslebenite,1.0
pinakiolite,valentinite,1.0
pinakiolite,stibnite,1.0
pinakiolite,antimony,1.0
pinakiolite,oxycalcioromeite,1.0
pinakiolite,nadorite,1.0
pinakiolite,senarmontite,1.0
pinakiolite,hiarneite,1.0
pierrotite,klebelsbergite,1.0
pierrotite,zinkenite,2.0
pierrotite,ecrinsite,1.0
pierrotite,tsygankoite,1.0
pierrotite,parapierrotite,3.0
pierrotite,tetrahedrite-(zn),1.0
pierrotite,plagionite,1.0
pierrotite,benavidesite,1.0
pierrotite,jasrouxite,1.0
pierrotite,jamesonite,1.0
