from,to,weight
heftetjernite,bazzite,1.0
heftetjernite,cascandite,1.0
heftetjernite,scandiobabingtonite,1.0
heftetjernite,kristiansenite,1.0
heftetjernite,oftedalite,1.0
heftetjernite,thortveitite,1.0
juonniite,kampelite,1.0
bazzite,cascandite,3.0
bazzite,scandiobabingtonite,2.0
bazzite,jervisite,2.0
bazzite,kristiansenite,3.0
bazzite,oftedalite,1.0
bazzite,thortveitite,9.0
cascandite,scandiobabingtonite,3.0
cascandite,jervisite,4.0
cascandite,kristiansenite,4.0
cascandite,oftedalite,1.0
cascandite,thortveitite,4.0
scandiobabingtonite,jervisite,1.0
scandiobabingtonite,kristiansenite,3.0
scandiobabingtonite,oftedalite,1.0
scandiobabingtonite,thortveitite,3.0
jervisite,kristiansenite,2.0
jervisite,thortveitite,3.0
warkite,davisite,1.0
warkite,panguite,1.0
allendeite,davisite,1.0
allendeite,panguite,1.0
allendeite,eringaite,1.0
allendeite,kangite,1.0
kolbeckite,thortveitite,1.0
kristiansenite,oftedalite,1.0
kristiansenite,thortveitite,5.0
oftedalite,thortveitite,1.0
davisite,panguite,2.0
davisite,eringaite,1.0
davisite,kangite,1.0
panguite,eringaite,1.0
panguite,kangite,1.0
thortveitite,bonacinaite,1.0
eringaite,kangite,1.0
bazzite,heftetjernite,1.0
cascandite,heftetjernite,1.0
scandiobabingtonite,heftetjernite,1.0
kristiansenite,heftetjernite,1.0
oftedalite,heftetjernite,1.0
thortveitite,heftetjernite,1.0
kampelite,juonniite,1.0
cascandite,bazzite,3.0
scandiobabingtonite,bazzite,2.0
jervisite,bazzite,2.0
kristiansenite,bazzite,3.0
oftedalite,bazzite,1.0
thortveitite,bazzite,9.0
scandiobabingtonite,cascandite,3.0
jervisite,cascandite,4.0
kristiansenite,cascandite,4.0
oftedalite,cascandite,1.0
thortveitite,cascandite,4.0
jervisite,scandiobabingtonite,1.0
kristiansenite,scandiobabingtonite,3.0
oftedalite,scandiobabingtonite,1.0
thortveitite,scandiobabingtonite,3.0
kristiansenite,jervisite,2.0
thortveitite,jervisite,3.0
davisite,warkite,1.0
panguite,warkite,1.0
davisite,allendeite,1.0
panguite,allendeite,1.0
eringaite,allendeite,1.0
kangite,allendeite,1.0
thortveitite,kolbeckite,1.0
oftedalite,kristiansenite,1.0
thortveitite,kristiansenite,5.0
thortveitite,oftedalite,1.0
panguite,davisite,2.0
eringaite,davisite,1.0
kangite,davisite,1.0
eringaite,panguite,1.0
kangite,panguite,1.0
bonacinaite,thortveitite,1.0
kangite,eringaite,1.0
