from,to,weight
penzhinite,aguilarite,1.0
schmiederite,alfredopetrovite,1.0
schmiederite,cerromojonite,1.0
schmiederite,trogtalite,2.0
schmiederite,eucairite,1.0
schmiederite,piretite,1.0
schmiederite,umangite,4.0
schmiederite,francisite,1.0
schmiederite,watkinsonite,2.0
schmiederite,bellidoite,1.0
schmiederite,grundmannite,1.0
schmiederite,berzelianite,2.0
schmiederite,naumannite,2.0
schmiederite,krutaite,2.0
schmiederite,penroseite,1.0
schmiederite,klockmannite,3.0
schmiederite,petricekite,1.0
schmiederite,athabascaite,2.0
schmiederite,eldragonite,1.0
schmiederite,tiemannite,2.0
schmiederite,litochlebite,1.0
schmiederite,munakataite,1.0
schmiederite,derriksite,1.0
schmiederite,clausthalite,5.0
schmiederite,mandarinoite,2.0
schmiederite,cadmoselite,1.0
schmiederite,laitakarite,1.0
schmiederite,ferroselite,1.0
schmiederite,petrovicite,1.0
schmiederite,chalcomenite,5.0
schmiederite,molybdomenite,3.0
schmiederite,sarrabusite,1.0
schmiederite,ahlfeldite,1.0
schmiederite,olsacherite,3.0
schmiederite,tyrrellite,1.0
schmiederite,crookesite,1.0
schmiederite,favreauite,1.0
schmiederite,orlandiite,1.0
schmiederite,hakite-(hg),1.0
schmiederite,bohdanowiczite,1.0
schmiederite,eskebornite,2.0
schmiederite,chameanite,1.0
schmiederite,brodtkorbite,1.0
schmiederite,hansblockite,1.0
schmiederite,bukovite,1.0
schmiederite,nickeltyrrellite,1.0
schmiederite,selenium,2.0
schmiederite,demesmaekerite,1.0
schmiederite,quijarroite,1.0
kalungaite,krutaite,1.0
kalungaite,clausthalite,1.0
kalungaite,ferroselite,1.0
kalungaite,guanajuatite,1.0
kalungaite,padmaite,1.0
kalungaite,paraguanajuatite,1.0
kalungaite,bohdanowiczite,1.0
laphamite,downeyite,1.0
laphamite,selenium,1.0
makinenite,wilkmanite,1.0
makinenite,penroseite,1.0
makinenite,kullerudite,1.0
makinenite,clausthalite,1.0
makinenite,ferroselite,1.0
makinenite,sederholmite,1.0
makinenite,trustedtite,1.0
makinenite,paraguanajuatite,1.0
makinenite,kitkaite,1.0
makinenite,selenium,1.0
alfredopetrovite,cerromojonite,1.0
alfredopetrovite,trogtalite,1.0
alfredopetrovite,umangite,1.0
alfredopetrovite,watkinsonite,1.0
alfredopetrovite,grundmannite,1.0
alfredopetrovite,krutaite,1.0
alfredopetrovite,penroseite,1.0
alfredopetrovite,klockmannite,1.0
alfredopetrovite,petricekite,1.0
alfredopetrovite,athabascaite,1.0
alfredopetrovite,eldragonite,1.0
alfredopetrovite,tiemannite,1.0
alfredopetrovite,clausthalite,1.0
alfredopetrovite,mandarinoite,1.0
alfredopetrovite,petrovicite,1.0
alfredopetrovite,chalcomenite,1.0
alfredopetrovite,molybdomenite,1.0
alfredopetrovite,ahlfeldite,1.0
alfredopetrovite,olsacherite,1.0
alfredopetrovite,favreauite,1.0
alfredopetrovite,eskebornite,1.0
alfredopetrovite,hansblockite,1.0
alfredopetrovite,nickeltyrrellite,1.0
alfredopetrovite,selenium,1.0
alfredopetrovite,quijarroite,1.0
chrisstanleyite,trogtalite,1.0
chrisstanleyite,eucairite,3.0
chrisstanleyite,umangite,4.0
chrisstanleyite,tischendorfite,1.0
chrisstanleyite,berzelianite,3.0
chrisstanleyite,naumannite,4.0
chrisstanleyite,krutaite,1.0
chrisstanleyite,penroseite,1.0
chrisstanleyite,klockmannite,3.0
chrisstanleyite,petricekite,1.0
chrisstanleyite,athabascaite,1.0
chrisstanleyite,tiemannite,5.0
chrisstanleyite,clausthalite,4.0
chrisstanleyite,ferroselite,1.0
chrisstanleyite,chalcomenite,2.0
chrisstanleyite,giraudite-(zn),1.0
chrisstanleyite,molybdomenite,1.0
chrisstanleyite,trustedtite,1.0
chrisstanleyite,olsacherite,1.0
chrisstanleyite,fischesserite,2.0
chrisstanleyite,tyrrellite,2.0
chrisstanleyite,hakite-(hg),1.0
chrisstanleyite,jagueite,2.0
chrisstanleyite,jolliffeite,1.0
chrisstanleyite,oosterboschite,1.0
chrisstanleyite,eskebornite,2.0
chrisstanleyite,chameanite,1.0
chrisstanleyite,verbeekite,1.0
chrisstanleyite,aguilarite,2.0
chrisstanleyite,permingeatite,1.0
chrisstanleyite,bukovite,1.0
chrisstanleyite,milotaite,1.0
nevskite,naumannite,2.0
nevskite,mgriite,1.0
nevskite,clausthalite,3.0
nevskite,laitakarite,3.0
nevskite,nordstromite,1.0
nevskite,junoite,2.0
nevskite,wittite,2.0
nevskite,petrovicite,1.0
nevskite,guanajuatite,1.0
nevskite,babkinite,1.0
nevskite,kawazulite,1.0
nevskite,bohdanowiczite,1.0
nevskite,weibullite,2.0
nevskite,bukovite,1.0
allochalcoselite,parageorgbokiite,1.0
allochalcoselite,nicksobolevite,1.0
allochalcoselite,georgbokiite,1.0
allochalcoselite,ilinskite,1.0
allochalcoselite,burnsite,1.0
parageorgbokiite,nicksobolevite,1.0
parageorgbokiite,georgbokiite,1.0
parageorgbokiite,ilinskite,1.0
parageorgbokiite,burnsite,1.0
cerromojonite,trogtalite,1.0
cerromojonite,umangite,1.0
cerromojonite,watkinsonite,1.0
cerromojonite,grundmannite,1.0
cerromojonite,krutaite,1.0
cerromojonite,penroseite,1.0
cerromojonite,klockmannite,1.0
cerromojonite,petricekite,1.0
cerromojonite,athabascaite,1.0
cerromojonite,eldragonite,1.0
cerromojonite,tiemannite,1.0
cerromojonite,clausthalite,1.0
cerromojonite,mandarinoite,1.0
cerromojonite,petrovicite,1.0
cerromojonite,chalcomenite,1.0
cerromojonite,molybdomenite,1.0
cerromojonite,ahlfeldite,1.0
cerromojonite,olsacherite,1.0
cerromojonite,favreauite,1.0
cerromojonite,eskebornite,1.0
cerromojonite,hansblockite,1.0
cerromojonite,nickeltyrrellite,1.0
cerromojonite,selenium,1.0
cerromojonite,quijarroite,1.0
trogtalite,stilleite,3.0
trogtalite,eucairite,5.0
trogtalite,piretite,1.0
trogtalite,umangite,7.0
trogtalite,watkinsonite,1.0
trogtalite,bellidoite,1.0
trogtalite,grundmannite,1.0
trogtalite,berzelianite,7.0
trogtalite,naumannite,4.0
trogtalite,krutaite,4.0
trogtalite,penroseite,4.0
trogtalite,klockmannite,7.0
trogtalite,petricekite,2.0
trogtalite,athabascaite,4.0
trogtalite,eldragonite,1.0
trogtalite,tiemannite,6.0
trogtalite,guilleminite,2.0
trogtalite,derriksite,1.0
trogtalite,clausthalite,6.0
trogtalite,mandarinoite,1.0
trogtalite,cadmoselite,1.0
trogtalite,ferroselite,5.0
trogtalite,bornhardtite,2.0
trogtalite,petrovicite,1.0
trogtalite,chalcomenite,4.0
trogtalite,giraudite-(zn),1.0
trogtalite,marthozite,1.0
trogtalite,molybdomenite,2.0
trogtalite,trustedtite,1.0
trogtalite,ahlfeldite,1.0
trogtalite,olsacherite,1.0
trogtalite,fischesserite,2.0
trogtalite,tyrrellite,5.0
trogtalite,crookesite,1.0
trogtalite,palladseite,1.0
trogtalite,favreauite,1.0
trogtalite,geffroyite,1.0
trogtalite,hakite-(hg),2.0
trogtalite,jagueite,1.0
trogtalite,jolliffeite,1.0
trogtalite,oosterboschite,1.0
trogtalite,eskebornite,5.0
trogtalite,chameanite,2.0
trogtalite,verbeekite,1.0
trogtalite,cobaltomenite,1.0
trogtalite,brodtkorbite,1.0
trogtalite,aguilarite,1.0
trogtalite,hansblockite,1.0
trogtalite,permingeatite,1.0
trogtalite,freboldite,2.0
trogtalite,bukovite,2.0
trogtalite,nickeltyrrellite,1.0
trogtalite,selenium,4.0
trogtalite,milotaite,1.0
trogtalite,demesmaekerite,1.0
trogtalite,quijarroite,1.0
telluronevskite,babkinite,1.0
telluronevskite,vihorlatite,1.0
stilleite,eucairite,4.0
stilleite,piretite,1.0
stilleite,umangite,4.0
stilleite,berzelianite,5.0
stilleite,naumannite,4.0
stilleite,krutaite,1.0
stilleite,penroseite,2.0
stilleite,klockmannite,5.0
stilleite,athabascaite,2.0
stilleite,tiemannite,3.0
stilleite,guilleminite,1.0
stilleite,clausthalite,3.0
stilleite,ferroselite,3.0
stilleite,bornhardtite,1.0
stilleite,guanajuatite,1.0
stilleite,trustedtite,1.0
stilleite,fischesserite,2.0
stilleite,tyrrellite,1.0
stilleite,geffroyite,1.0
stilleite,bohdanowiczite,1.0
stilleite,eskebornite,1.0
stilleite,freboldite,1.0
stilleite,selenium,3.0
soucekite,eucairite,1.0
soucekite,watkinsonite,1.0
soucekite,skippenite,1.0
soucekite,poubaite,2.0
soucekite,clausthalite,4.0
soucekite,laitakarite,1.0
soucekite,kawazulite,1.0
soucekite,weibullite,1.0
ramaccioniite,llantenesite,1.0
eucairite,umangite,33.0
eucairite,francisite,1.0
eucairite,watkinsonite,1.0
eucairite,bellidoite,3.0
eucairite,berzelianite,26.0
eucairite,naumannite,32.0
eucairite,krutaite,6.0
eucairite,penroseite,3.0
eucairite,sabatierite,4.0
eucairite,klockmannite,31.0
eucairite,petricekite,2.0
eucairite,athabascaite,10.0
eucairite,selenojalpaite,1.0
eucairite,tiemannite,19.0
eucairite,munakataite,1.0
eucairite,clausthalite,40.0
eucairite,cadmoselite,3.0
eucairite,laitakarite,1.0
eucairite,junoite,1.0
eucairite,ferroselite,13.0
eucairite,bornhardtite,3.0
eucairite,petrovicite,2.0
eucairite,chalcomenite,9.0
eucairite,giraudite-(zn),2.0
eucairite,guanajuatite,2.0
eucairite,schlemaite,1.0
eucairite,molybdomenite,5.0
eucairite,trustedtite,2.0
eucairite,olsacherite,2.0
eucairite,fischesserite,11.0
eucairite,achavalite,1.0
eucairite,tyrrellite,10.0
eucairite,kawazulite,2.0
eucairite,crookesite,7.0
eucairite,geffroyite,3.0
eucairite,hakite-(hg),5.0
eucairite,jagueite,1.0
eucairite,bohdanowiczite,7.0
eucairite,jolliffeite,1.0
eucairite,eskebornite,14.0
eucairite,chameanite,3.0
eucairite,verbeekite,1.0
eucairite,cobaltomenite,1.0
eucairite,brodtkorbite,2.0
eucairite,aguilarite,6.0
eucairite,permingeatite,3.0
eucairite,freboldite,2.0
eucairite,bukovite,9.0
eucairite,selenium,9.0
eucairite,milotaite,1.0
piretite,umangite,2.0
piretite,watkinsonite,1.0
piretite,berzelianite,2.0
piretite,naumannite,1.0
piretite,penroseite,1.0
piretite,klockmannite,2.0
piretite,athabascaite,1.0
piretite,guilleminite,1.0
piretite,litochlebite,1.0
piretite,derriksite,1.0
piretite,clausthalite,2.0
piretite,laitakarite,1.0
piretite,chalcomenite,1.0
piretite,molybdomenite,1.0
piretite,bohdanowiczite,1.0
piretite,selenium,1.0
piretite,demesmaekerite,1.0
pauladamsite,naumannite,2.0
pauladamsite,krutaite,1.0
pauladamsite,munakataite,1.0
pauladamsite,clausthalite,1.0
pauladamsite,chalcomenite,2.0
pauladamsite,olsacherite,1.0
pauladamsite,geffroyite,1.0
pauladamsite,bohdanowiczite,1.0
pauladamsite,aguilarite,1.0
pauladamsite,selenium,1.0
umangite,francisite,1.0
umangite,watkinsonite,4.0
umangite,selenopolybasite,1.0
umangite,bellidoite,6.0
umangite,grundmannite,2.0
umangite,berzelianite,41.0
umangite,naumannite,27.0
umangite,krutaite,6.0
umangite,penroseite,6.0
umangite,sabatierite,4.0
umangite,klockmannite,40.0
umangite,petricekite,3.0
umangite,athabascaite,12.0
umangite,eldragonite,1.0
umangite,selenojalpaite,1.0
umangite,tiemannite,25.0
umangite,guilleminite,1.0
umangite,litochlebite,1.0
umangite,munakataite,1.0
umangite,derriksite,1.0
umangite,clausthalite,51.0
umangite,mandarinoite,1.0
umangite,cadmoselite,1.0
umangite,laitakarite,1.0
umangite,ferroselite,13.0
umangite,bornhardtite,4.0
umangite,petrovicite,4.0
umangite,chalcomenite,15.0
