from,to,weight
cernyite,herzenbergite,2.0
cernyite,mawsonite,2.0
cernyite,wickmanite,1.0
cernyite,ferrokesterite,1.0
cernyite,mohite,1.0
cernyite,kesterite,6.0
cernyite,stannite,6.0
cernyite,varlamoffite,1.0
cernyite,cassiterite,7.0
cernyite,hocartite,1.0
cernyite,petrukite,1.0
cernyite,stannoidite,2.0
cernyite,wodginite,2.0
cernyite,chatkalite,1.0
cernyite,malayaite,1.0
cernyite,mushistonite,1.0
cernyite,ottemannite,1.0
teallite,herzenbergite,8.0
teallite,toyohaite,2.0
teallite,ferrokesterite,1.0
teallite,sakuraiite,5.0
teallite,berndtite,4.0
teallite,cylindrite,5.0
teallite,franckeite,10.0
teallite,kesterite,6.0
teallite,canfieldite,6.0
teallite,stannite,21.0
teallite,varlamoffite,1.0
teallite,cassiterite,23.0
teallite,pirquitasite,1.0
teallite,hocartite,4.0
teallite,petrukite,4.0
teallite,stannoidite,3.0
teallite,rhodostannite,3.0
pabstite,franckeite,1.0
pabstite,stannite,1.0
pabstite,cassiterite,2.0
pabstite,aleksandrovite,1.0
pabstite,brannockite,1.0
pabstite,vistepite,1.0
niggliite,tin,1.0
niggliite,rustenburgite,7.0
niggliite,cabriite,1.0
niggliite,stannite,2.0
niggliite,paolovite,8.0
niggliite,cassiterite,2.0
niggliite,stannopalladinite,4.0
niggliite,atokite,5.0
niggliite,palarstanide,4.0
herzenbergite,mawsonite,1.0
herzenbergite,wickmanite,1.0
herzenbergite,toyohaite,1.0
herzenbergite,tin,1.0
herzenbergite,sakuraiite,1.0
herzenbergite,berndtite,4.0
herzenbergite,mohite,1.0
herzenbergite,franckeite,5.0
herzenbergite,kesterite,3.0
herzenbergite,canfieldite,1.0
herzenbergite,abhurite,1.0
herzenbergite,stannite,14.0
herzenbergite,varlamoffite,4.0
herzenbergite,cassiterite,23.0
herzenbergite,pirquitasite,1.0
herzenbergite,natanite,1.0
herzenbergite,hocartite,3.0
herzenbergite,stannoidite,1.0
herzenbergite,stokesite,1.0
herzenbergite,wodginite,2.0
herzenbergite,malayaite,1.0
herzenbergite,rhodostannite,2.0
herzenbergite,romarchite,2.0
herzenbergite,mushistonite,1.0
herzenbergite,sorosite,1.0
herzenbergite,ottemannite,4.0
herzenbergite,hydroromarchite,1.0
herzenbergite,stistaite,1.0
mawsonite,stibiocolusite,3.0
mawsonite,ferrokesterite,3.0
mawsonite,tin,2.0
mawsonite,sakuraiite,1.0
mawsonite,vinciennite,9.0
mawsonite,mohite,3.0
mawsonite,cylindrite,1.0
mawsonite,yuanjiangite,1.0
mawsonite,franckeite,1.0
mawsonite,kiddcreekite,4.0
mawsonite,kesterite,14.0
mawsonite,canfieldite,7.0
mawsonite,stannite,32.0
mawsonite,paolovite,1.0
mawsonite,nekrasovite,6.0
mawsonite,varlamoffite,4.0
mawsonite,cassiterite,34.0
mawsonite,kuramite,5.0
mawsonite,natanite,2.0
mawsonite,hocartite,1.0
mawsonite,petrukite,2.0
mawsonite,stannoidite,49.0
mawsonite,chatkalite,3.0
mawsonite,malayaite,2.0
mawsonite,hemusite,4.0
mawsonite,velikite,1.0
mawsonite,rhodostannite,2.0
mawsonite,jeanbandyite,2.0
tusionite,tetrawickmanite,1.0
tusionite,cassiterite,2.0
stibiocolusite,tin,1.0
stibiocolusite,kesterite,2.0
stibiocolusite,stannite,2.0
stibiocolusite,nekrasovite,2.0
stibiocolusite,cassiterite,1.0
stibiocolusite,stannoidite,3.0
stibiocolusite,hemusite,2.0
sverigeite,wickmanite,1.0
sverigeite,tetrawickmanite,1.0
sverigeite,cassiterite,1.0
sverigeite,stannoidite,1.0
magnesionigerite-2n1s,magnesionigerite-6n6s,1.0
ferronigerite-6n6s,zinconigerite-2n1s,1.0
ferronigerite-6n6s,cassiterite,4.0
