from,to,weight
strontiojoaquinite,fluorstrophite,2.0
niigataite,itoigawaite,1.0
arsenogoyazite,benauite,1.0
arsenogoyazite,kemmlitzite,1.0
arsenogoyazite,goyazite,2.0
arsenogoyazite,strontianite,2.0
arsenogoyazite,svanbergite,2.0
arsenogoyazite,strontiomelane,1.0
arsenogoyazite,todorokite,3.0
arsenogoyazite,celestine,3.0
polezhaevaite-(ce),ancylite-(la),1.0
polezhaevaite-(ce),deloneite,1.0
polezhaevaite-(ce),crawfordite,1.0
polezhaevaite-(ce),lamprophyllite,2.0
polezhaevaite-(ce),belovite-(ce),1.0
polezhaevaite-(ce),stronadelphite,1.0
polezhaevaite-(ce),labyrinthite,1.0
polezhaevaite-(ce),burbankite,1.0
polezhaevaite-(ce),andrianovite,1.0
polezhaevaite-(ce),ancylite-(ce),1.0
polezhaevaite-(ce),strontiofluorite,1.0
polezhaevaite-(ce),fluorcaphite,1.0
polezhaevaite-(ce),calcioancylite-(ce),1.0
strontiowhitlockite,olekminskite,1.0
strontiowhitlockite,nastrophite,1.0
strontiowhitlockite,karchevskyite,1.0
strontiowhitlockite,burbankite,1.0
strontiowhitlockite,strontianite,1.0
lindsleyite,mathiasite,6.0
lindsleyite,crichtonite,2.0
lindsleyite,celestine,1.0
lindsleyite,dessauite-(y),1.0
ancylite-(la),carbocernaite,2.0
ancylite-(la),lamprophyllite,2.0
ancylite-(la),yuksporite,1.0
ancylite-(la),taseqite,1.0
ancylite-(la),weloganite,1.0
ancylite-(la),nordite-(la),1.0
ancylite-(la),stronadelphite,1.0
ancylite-(la),khanneshite,1.0
ancylite-(la),cordylite-(la),1.0
ancylite-(la),daqingshanite-(ce),1.0
ancylite-(la),burbankite,2.0
ancylite-(la),loparite-(ce),2.0
ancylite-(la),donnayite-(y),2.0
ancylite-(la),ancylite-(ce),8.0
ancylite-(la),strontianite,7.0
ancylite-(la),belovite-(la),1.0
ancylite-(la),todorokite,1.0
ancylite-(la),celestine,1.0
ancylite-(la),calcioancylite-(ce),3.0
olekminskite,carbocernaite,1.0
olekminskite,fluorstrophite,1.0
olekminskite,taseqite,1.0
olekminskite,belovite-(ce),1.0
olekminskite,bellbergite,1.0
olekminskite,stronalsite,1.0
olekminskite,daqingshanite-(ce),1.0
olekminskite,burbankite,2.0
olekminskite,calcioburbankite,1.0
olekminskite,loparite-(ce),1.0
olekminskite,goyazite,1.0
olekminskite,donnayite-(y),2.0
olekminskite,ancylite-(ce),4.0
olekminskite,strontianite,3.0
olekminskite,celestine,2.0
nastrophite,karchevskyite,1.0
nastrophite,lamprophyllite,2.0
nastrophite,belovite-(ce),1.0
nastrophite,olgite,2.0
nastrophite,loparite-(ce),1.0
nastrophite,goyazite,1.0
nastrophite,tsepinite-na,1.0
nastrophite,fluorcaphite,1.0
nastrophite,ferronordite-(ce),1.0
nastrophite,umbozerite,1.0
nastrophite,calcioancylite-(ce),1.0
taikanite,meieranite,1.0
taikanite,tweddillite,1.0
taikanite,piemontite-(sr),1.0
taikanite,hennomartinite,1.0
taikanite,strontianite,1.0
taikanite,cairncrossite,1.0
taikanite,celestine,1.0
taikanite,wesselsite,1.0
deloneite,crawfordite,1.0
deloneite,lamprophyllite,1.0
deloneite,belovite-(ce),1.0
deloneite,labyrinthite,1.0
deloneite,andrianovite,1.0
deloneite,strontiofluorite,1.0
deloneite,fluorcaphite,1.0
lulzacite,goyazite,1.0
goedkenite,goyazite,3.0
goedkenite,palermoite,1.0
goedkenite,todorokite,1.0
goedkenite,natropalermoite,1.0
carbocernaite,lamprophyllite,2.0
