from,to,weight
vigezzite,ferrowodginite,2.0
vigezzite,tapiolite-(fe),2.0
vigezzite,ixiolite-(mn2+),1.0
vigezzite,tantalite-(mn),2.0
vigezzite,fersmite,5.0
vigezzite,euxenite-(y),2.0
vigezzite,tantalite-(fe),1.0
heftetjernite,ixiolite-(mn2+),1.0
heftetjernite,rynersonite,1.0
heftetjernite,tantalite-(fe),1.0
jedwabite,tantalcarbide,1.0
tantalowodginite,wodginite,1.0
tantalowodginite,tantalite-(mn),1.0
ferrotitanowodginite,ferrowodginite,4.0
ferrotitanowodginite,tapiolite-(fe),4.0
ferrotitanowodginite,wodginite,3.0
ferrotitanowodginite,tantalite-(mn),2.0
ferrotitanowodginite,titanowodginite,3.0
ferrotitanowodginite,tantalite-(fe),2.0
lithiotantite,lithiowodginite,2.0
lithiotantite,cesplumtantite,1.0
lithiotantite,irtyshite,2.0
lithiotantite,rankamaite,3.0
lithiotantite,alumotantite,2.0
lithiotantite,calciotantite,2.0
lithiotantite,ixiolite-(mn2+),3.0
lithiotantite,wodginite,3.0
lithiotantite,tantalite-(mn),2.0
lithiotantite,thoreaulite,3.0
lithiotantite,fersmite,1.0
lithiotantite,hydroxycalciomicrolite,1.0
lithiotantite,simpsonite,2.0
lithiowodginite,cesplumtantite,1.0
lithiowodginite,irtyshite,1.0
lithiowodginite,rankamaite,2.0
lithiowodginite,tapiolite-(fe),1.0
lithiowodginite,alumotantite,1.0
lithiowodginite,calciotantite,1.0
lithiowodginite,ixiolite-(mn2+),4.0
lithiowodginite,wodginite,4.0
lithiowodginite,tantalite-(mn),2.0
lithiowodginite,hydroxykenomicrolite,1.0
lithiowodginite,thoreaulite,2.0
lithiowodginite,titanowodginite,1.0
lithiowodginite,fersmite,1.0
lithiowodginite,hydroxycalciomicrolite,1.0
lithiowodginite,simpsonite,4.0
ferrowodginite,zabinskiite,1.0
ferrowodginite,tapiolite-(fe),9.0
ferrowodginite,oxystannomicrolite,1.0
ferrowodginite,formanite-(y),1.0
ferrowodginite,ixiolite-(mn2+),4.0
ferrowodginite,wodginite,7.0
ferrowodginite,yttrotantalite-(y),1.0
ferrowodginite,tantalite-(mn),7.0
ferrowodginite,calciosamarskite,1.0
ferrowodginite,titanowodginite,3.0
ferrowodginite,fersmite,3.0
ferrowodginite,euxenite-(y),3.0
ferrowodginite,fluorcalciomicrolite,1.0
ferrowodginite,tantalite-(fe),5.0
holtite,tantite,1.0
holtite,tapiolite-(fe),1.0
holtite,alumotantite,1.0
holtite,calciotantite,1.0
holtite,ixiolite-(mn2+),1.0
holtite,wodginite,3.0
holtite,tantalite-(mn),5.0
holtite,sosedkoite,1.0
holtite,natrotantite,1.0
holtite,hydroxykenomicrolite,1.0
holtite,rynersonite,1.0
holtite,fersmite,1.0
holtite,simpsonite,2.0
holtite,stibiotantalite,4.0
tantite,alumotantite,1.0
tantite,calciotantite,1.0
tantite,ixiolite-(mn2+),1.0
tantite,behierite,1.0
tantite,wodginite,2.0
