from,to,weight
saryarkite-(y),thorite,1.0
saryarkite-(y),brockite,1.0
yttrocrasite-(y),cheralite,1.0
yttrocrasite-(y),thorite,2.0
okanoganite-(y),ekanite,1.0
okanoganite-(y),turkestanite,1.0
okanoganite-(y),euxenite-(y),2.0
okanoganite-(y),thorianite,1.0
okanoganite-(y),huttonite,1.0
okanoganite-(y),thorite,1.0
aeschynite-(ce),cheralite,1.0
aeschynite-(ce),aeschynite-(y),8.0
aeschynite-(ce),smirnovskite,1.0
aeschynite-(ce),turkestanite,1.0
aeschynite-(ce),hydroxymanganopyrochlore,1.0
aeschynite-(ce),nioboaeschynite-(y),1.0
aeschynite-(ce),euxenite-(y),5.0
aeschynite-(ce),thorianite,7.0
aeschynite-(ce),huttonite,6.0
aeschynite-(ce),ekebergite,1.0
aeschynite-(ce),thorutite,1.0
aeschynite-(ce),thorite,13.0
aeschynite-(ce),brockite,1.0
ichnusaite,cabvinite,1.0
ichnusaite,aeschynite-(y),1.0
ichnusaite,nuragheite,1.0
ichnusaite,thorite,1.0
ichnusaite,thorbastnasite,1.0
cheralite,aeschynite-(y),1.0
cheralite,grayite,2.0
cheralite,smirnovskite,1.0
cheralite,loparite-(ce),1.0
cheralite,euxenite-(y),6.0
cheralite,thorianite,6.0
cheralite,huttonite,2.0
cheralite,thorutite,1.0
cheralite,thorite,10.0
cheralite,thorbastnasite,1.0
cheralite,brockite,3.0
vicanite-(ce),ciprianiite,1.0
vicanite-(ce),thorianite,3.0
vicanite-(ce),thorite,3.0
ekanite,turkestanite,2.0
ekanite,euxenite-(y),1.0
ekanite,thorianite,1.0
ekanite,huttonite,1.0
ekanite,thorite,4.0
cabvinite,aeschynite-(y),1.0
cabvinite,nuragheite,1.0
cabvinite,thorite,1.0
cabvinite,thorbastnasite,1.0
aeschynite-(y),loparite-(ce),1.0
aeschynite-(y),nioboaeschynite-(y),2.0
aeschynite-(y),nuragheite,1.0
aeschynite-(y),euxenite-(y),30.0
aeschynite-(y),thorianite,2.0
aeschynite-(y),huttonite,2.0
aeschynite-(y),thorutite,1.0
aeschynite-(y),thorite,36.0
aeschynite-(y),thorbastnasite,1.0
grayite,thorianite,1.0
grayite,huttonite,1.0
grayite,thorite,5.0
grayite,brockite,4.0
