from,to,weight
pseudobrookite,penkvilksite,1.0
pseudobrookite,manaevite-(ce),1.0
pseudobrookite,jonesite,1.0
pseudobrookite,euxenite-(y),1.0
pseudobrookite,achyrophanite,1.0
pseudobrookite,lileyite,3.0
pseudobrookite,astrophyllite,1.0
pseudobrookite,noggerathite-(ce),1.0
pseudobrookite,christofschaferite-(ce),1.0
pseudobrookite,schorlomite,3.0
pseudobrookite,armalcolite,6.0
pseudobrookite,priderite,4.0
pseudobrookite,hejtmanite,1.0
pseudobrookite,ferri-kaersutite,3.0
pseudobrookite,titanite,52.0
pseudobrookite,perrierite-(la),1.0
pseudobrookite,katiarsite,1.0
pseudobrookite,calzirtite,1.0
pseudobrookite,gotzenite,8.0
pseudobrookite,loparite-(ce),1.0
pseudobrookite,emmerichite,2.0
pseudobrookite,oxyphlogopite,3.0
pseudobrookite,lehmannite,1.0
pseudobrookite,shulamitite,2.0
pseudobrookite,qandilite,1.0
pseudobrookite,hydroxymanganopyrochlore,1.0
pseudobrookite,fersmite,4.0
pseudobrookite,batiferrite,3.0
pseudobrookite,fluorcalciopyrochlore,1.0
pseudobrookite,vigezzite,1.0
pseudobrookite,ulvospinel,7.0
pseudobrookite,stefanweissite,1.0
pseudobrookite,kaersutite,10.0
pseudobrookite,aeschynite-(ce),4.0
pseudobrookite,bafertisite,1.0
pseudobrookite,holfertite,3.0
pseudobrookite,brookite,2.0
pseudobrookite,warwickite,3.0
pseudobrookite,pyrophanite,5.0
pseudobrookite,pseudorutile,2.0
pseudobrookite,lavenite,4.0
pseudobrookite,loveringite,3.0
pseudobrookite,chevkinite-(ce),4.0
pseudobrookite,zirkelite,1.0
pseudobrookite,hydroxycalciopyrochlore,1.0
pseudobrookite,fresnoite,3.0
pseudobrookite,geikielite,1.0
pseudobrookite,freudenbergite,2.0
pseudobrookite,magnesiohogbomite-2n3s,1.0
pseudobrookite,perrierite-(ce),5.0
pseudobrookite,zirconolite,8.0
pseudobrookite,ferri-obertiite,2.0
pseudobrookite,davanite,1.0
pseudobrookite,laachite,1.0
pseudobrookite,anatase,6.0
pseudobrookite,lamprophyllite,1.0
pseudobrookite,rhonite,14.0
pseudobrookite,narsarsukite,1.0
pseudobrookite,noonkanbahite,1.0
pseudobrookite,landauite,1.0
pseudobrookite,fersmanite,1.0
pseudobrookite,perovskite,17.0
pseudobrookite,batisite,3.0
pseudobrookite,schullerite,4.0
pseudobrookite,mangani-obertiite,1.0
pseudobrookite,rutile,47.0
pseudobrookite,wohlerite,6.0
pseudobrookite,nioboaeschynite-(ce),4.0
pseudobrookite,lorenzenite,3.0
pseudobrookite,arsenatrotitanite,1.0
pseudobrookite,ilmenite,53.0
pseudobrookite,sharyginite,2.0
fetiasite,aeschynite-(y),1.0
fetiasite,cervandonite-(ce),2.0
fetiasite,graeserite,1.0
fetiasite,gramaccioliite-(y),2.0
fetiasite,titanite,2.0
fetiasite,crichtonite,2.0
fetiasite,brookite,2.0
fetiasite,asbecasite,2.0
fetiasite,cafarsite,2.0
fetiasite,anatase,2.0
fetiasite,senaite,2.0
fetiasite,rutile,2.0
fetiasite,ilmenite,3.0
traskite,titantaramellite,3.0
traskite,brannerite,1.0
traskite,muirite,2.0
traskite,benitoite,2.0
