from,to,weight
lorandite,thalcusite,1.0
lorandite,lafossaite,1.0
lorandite,raberite,1.0
lorandite,weissbergite,2.0
lorandite,hatchite,1.0
lorandite,imhofite,2.0
lorandite,incomsartorite,1.0
lorandite,ellisite,1.0
lorandite,wallisite,1.0
lorandite,edenharterite,1.0
lorandite,carlinite,1.0
lorandite,parapierrotite,1.0
lorandite,picotpaulite,1.0
lorandite,hutchinsonite,3.0
lorandite,gillulyite,1.0
lorandite,heptasartorite,1.0
lorandite,erniggliite,1.0
lorandite,stalderite,1.0
lorandite,dalnegroite,1.0
lorandite,jentschite,1.0
lorandite,dekatriasartorite,1.0
lorandite,christite,3.0
lorandite,enneasartorite,1.0
lorandite,philrothite,1.0
lorandite,vrbaite,1.0
lorandite,avicennite,2.0
lorandite,hendekasartorite,1.0
lorandite,ralphcannonite,1.0
lorandite,chabourneite,1.0
lorandite,fangite,1.0
lorandite,lanmuchangite,1.0
lorandite,sicherite,1.0
lorandite,routhierite,1.0
lorandite,bernardite,1.0
lorandite,spaltiite,1.0
lorandite,rathite,1.0
lorandite,gabrielite,1.0
lorandite,ferrostalderite,1.0
lorandite,richardsollyite,1.0
lorandite,raguinite,3.0
lorandite,simonite,1.0
thalcusite,lafossaite,1.0
thalcusite,raberite,1.0
thalcusite,weissbergite,1.0
thalcusite,hatchite,1.0
thalcusite,imhofite,1.0
thalcusite,incomsartorite,1.0
thalcusite,wallisite,1.0
thalcusite,edenharterite,1.0
thalcusite,parapierrotite,1.0
thalcusite,picotpaulite,1.0
thalcusite,hutchinsonite,1.0
thalcusite,heptasartorite,1.0
thalcusite,erniggliite,1.0
thalcusite,stalderite,1.0
thalcusite,dalnegroite,1.0
thalcusite,jentschite,1.0
thalcusite,dekatriasartorite,1.0
thalcusite,chalcothallite,3.0
thalcusite,enneasartorite,1.0
thalcusite,philrothite,1.0
thalcusite,cuprostibite,2.0
thalcusite,avicennite,1.0
thalcusite,hendekasartorite,1.0
thalcusite,ralphcannonite,1.0
thalcusite,chabourneite,1.0
thalcusite,fangite,1.0
thalcusite,sicherite,1.0
thalcusite,routhierite,1.0
thalcusite,rayite,1.0
thalcusite,bernardite,1.0
thalcusite,spaltiite,1.0
thalcusite,rathite,1.0
thalcusite,gabrielite,1.0
thalcusite,ferrostalderite,1.0
thalcusite,richardsollyite,1.0
thalcusite,raguinite,1.0
lafossaite,weissbergite,1.0
lafossaite,steropesite,1.0
lafossaite,hephaistosite,1.0
lafossaite,hutchinsonite,1.0
lafossaite,christite,1.0
lafossaite,chalcothallite,1.0
lafossaite,rebulite,1.0
lafossaite,cuprostibite,1.0
lafossaite,avicennite,2.0
lafossaite,lanmuchangite,1.0
lafossaite,routhierite,1.0
lafossaite,simonite,1.0
raberite,weissbergite,1.0
raberite,hatchite,1.0
raberite,imhofite,1.0
raberite,incomsartorite,1.0
raberite,wallisite,1.0
raberite,edenharterite,1.0
raberite,parapierrotite,1.0
raberite,picotpaulite,1.0
raberite,hutchinsonite,1.0
raberite,heptasartorite,1.0
raberite,erniggliite,1.0
raberite,stalderite,1.0
raberite,dalnegroite,1.0
raberite,jentschite,1.0
raberite,dekatriasartorite,1.0
raberite,enneasartorite,1.0
raberite,philrothite,1.0
raberite,hendekasartorite,1.0
raberite,ralphcannonite,1.0
raberite,chabourneite,1.0
raberite,fangite,1.0
raberite,sicherite,1.0
raberite,routhierite,1.0
raberite,bernardite,1.0
raberite,spaltiite,1.0
raberite,rathite,1.0
raberite,gabrielite,1.0
raberite,ferrostalderite,1.0
raberite,richardsollyite,1.0
raberite,raguinite,1.0
weissbergite,hatchite,1.0
weissbergite,imhofite,1.0
weissbergite,incomsartorite,1.0
weissbergite,ellisite,1.0
weissbergite,wallisite,1.0
weissbergite,pierrotite,1.0
weissbergite,edenharterite,1.0
weissbergite,carlinite,1.0
weissbergite,parapierrotite,2.0
weissbergite,picotpaulite,1.0
weissbergite,hutchinsonite,1.0
weissbergite,heptasartorite,1.0
weissbergite,erniggliite,1.0
weissbergite,stalderite,1.0
weissbergite,dalnegroite,1.0
weissbergite,jentschite,1.0
weissbergite,dekatriasartorite,1.0
weissbergite,christite,2.0
weissbergite,enneasartorite,1.0
weissbergite,rebulite,1.0
weissbergite,philrothite,1.0
weissbergite,vrbaite,1.0
weissbergite,avicennite,2.0
weissbergite,hendekasartorite,1.0
weissbergite,ralphcannonite,1.0
weissbergite,chabourneite,1.0
weissbergite,fangite,1.0
weissbergite,lanmuchangite,1.0
weissbergite,sicherite,1.0
weissbergite,routhierite,2.0
weissbergite,bernardite,1.0
weissbergite,spaltiite,1.0
weissbergite,rathite,1.0
weissbergite,gabrielite,1.0
weissbergite,ferrostalderite,1.0
weissbergite,richardsollyite,1.0
weissbergite,raguinite,1.0
weissbergite,simonite,1.0
hatchite,imhofite,1.0
hatchite,incomsartorite,1.0
hatchite,wallisite,1.0
hatchite,edenharterite,1.0
hatchite,parapierrotite,1.0
hatchite,picotpaulite,1.0
hatchite,hutchinsonite,1.0
hatchite,heptasartorite,1.0
hatchite,erniggliite,1.0
hatchite,stalderite,1.0
hatchite,dalnegroite,1.0
hatchite,jentschite,1.0
hatchite,dekatriasartorite,1.0
hatchite,enneasartorite,1.0
hatchite,philrothite,1.0
hatchite,hendekasartorite,1.0
hatchite,ralphcannonite,1.0
hatchite,chabourneite,1.0
hatchite,fangite,1.0
hatchite,sicherite,1.0
hatchite,routhierite,1.0
hatchite,bernardite,1.0
hatchite,spaltiite,1.0
hatchite,rathite,1.0
hatchite,gabrielite,1.0
hatchite,ferrostalderite,1.0
hatchite,richardsollyite,1.0
hatchite,raguinite,1.0
imhofite,incomsartorite,1.0
imhofite,wallisite,1.0
imhofite,edenharterite,1.0
imhofite,parapierrotite,1.0
imhofite,picotpaulite,1.0
imhofite,hutchinsonite,1.0
imhofite,heptasartorite,1.0
imhofite,erniggliite,1.0
imhofite,stalderite,1.0
imhofite,dalnegroite,1.0
imhofite,jentschite,1.0
imhofite,dekatriasartorite,1.0
imhofite,christite,1.0
imhofite,enneasartorite,1.0
imhofite,philrothite,1.0
imhofite,hendekasartorite,1.0
imhofite,ralphcannonite,1.0
imhofite,chabourneite,1.0
