from,to,weight
carnotite,uranosphaerite,2.0
carnotite,metatorbernite,34.0
carnotite,uranophane-beta,19.0
carnotite,seelite,1.0
carnotite,metakahlerite,1.0
carnotite,masuyite,2.0
carnotite,metavanuralite,2.0
carnotite,zinczippeite,1.0
carnotite,uranospathite,2.0
carnotite,yingjiangite,3.0
carnotite,cejkaite,1.0
carnotite,coffinite,75.0
carnotite,umohoite,1.0
carnotite,arsenuranylite,2.0
carnotite,meta-autunite,28.0
carnotite,saleeite,6.0
carnotite,vyacheslavite,2.0
carnotite,euxenite-(y),1.0
carnotite,jachymovite,1.0
carnotite,natrouranospinite,3.0
carnotite,soddyite,7.0
carnotite,threadgoldite,3.0
carnotite,autunite,87.0
carnotite,metatyuyamunite,48.0
carnotite,studtite,1.0
carnotite,hugelite,2.0
carnotite,mianningite,1.0
carnotite,nollmotzite,1.0
carnotite,mourite,1.0
carnotite,uvanite,5.0
carnotite,ningyoite,4.0
carnotite,becquerelite,18.0
carnotite,vandendriesscheite,6.0
carnotite,meta-ankoleite,3.0
carnotite,cleusonite,1.0
carnotite,vandermeerscheite,1.0
carnotite,boltwoodite,15.0
carnotite,rameauite,1.0
carnotite,finchite,2.0
carnotite,clarkeite,1.0
carnotite,parsonsite,3.0
carnotite,dewindtite,7.0
carnotite,margaritasite,2.0
carnotite,ianthinite,3.0
carnotite,metazeunerite,10.0
carnotite,zeunerite,9.0
carnotite,metaschoepite,3.0
carnotite,heisenbergite,1.0
carnotite,metasaleeite,1.0
carnotite,magnesiozippeite,1.0
carnotite,dumontite,3.0
carnotite,kasolite,13.0
carnotite,uranospinite,4.0
carnotite,rutherfordine,4.0
carnotite,bassetite,5.0
carnotite,vorlanite,2.0
carnotite,phosphuranylite,19.0
carnotite,orthobrannerite,1.0
carnotite,wolsendorfite,2.0
carnotite,protasite,1.0
carnotite,schrockingerite,30.0
carnotite,compreignacite,5.0
carnotite,paraschoepite,1.0
carnotite,haiweeite,4.0
carnotite,sengierite,4.0
carnotite,chernikovite,1.0
carnotite,sklodowskite,6.0
carnotite,uranopilite,9.0
carnotite,fourmarierite,6.0
carnotite,thorutite,1.0
carnotite,heinrichite,3.0
carnotite,abernathyite,2.0
carnotite,rabejacite,1.0
carnotite,rabbittite,2.0
carnotite,liebigite,16.0
carnotite,schoepite,14.0
carnotite,uranotungstite,2.0
carnotite,metahaiweeite,1.0
carnotite,curienite,2.0
carnotite,novacekite-i,4.0
carnotite,trogerite,1.0
carnotite,zellerite,2.0
carnotite,strelkinite,1.0
carnotite,metauranospinite,2.0
carnotite,weeksite,12.0
carnotite,metaheinrichite,3.0
carnotite,bergenite,2.0
carnotite,rauvite,20.0
carnotite,andersonite,8.0
carnotite,cuprosklodowskite,5.0
carnotite,asselbornite,1.0
carnotite,davidite-(la),1.0
carnotite,tyuyamunite,326.0
carnotite,francevillite,14.0
carnotite,voglite,1.0
carnotite,metazellerite,1.0
carnotite,nickelzippeite,1.0
carnotite,torbernite,52.0
carnotite,billietite,4.0
carnotite,novacekite-ii,1.0
carnotite,pseudojohannite,1.0
carnotite,swartzite,3.0
carnotite,curite,2.0
carnotite,sabugalite,6.0
carnotite,coconinoite,2.0
carnotite,brannerite,6.0
carnotite,walpurgite,4.0
carnotite,johannite,11.0
carnotite,bayleyite,14.0
carnotite,metanovacekite,3.0
carnotite,vanuralite,1.0
carnotite,metastudtite,1.0
carnotite,iriginite,2.0
carnotite,uranophane-alpha,111.0
carnotite,cobaltzippeite,1.0
carnotite,zippeite,29.0
carnotite,uraninite,215.0
carnotite,uranocircite-ii,5.0
carnotite,natrozippeite,7.0
uranosphaerite,metatorbernite,6.0
uranosphaerite,uranophane-beta,2.0
uranosphaerite,lehnerite,1.0
uranosphaerite,seelite,1.0
uranosphaerite,masuyite,2.0
uranosphaerite,uranospathite,1.0
uranosphaerite,yingjiangite,2.0
uranosphaerite,coffinite,4.0
uranosphaerite,kahlerite,1.0
uranosphaerite,meta-autunite,5.0
uranosphaerite,saleeite,5.0
uranosphaerite,vyacheslavite,1.0
uranosphaerite,metavanmeersscheite,1.0
uranosphaerite,soddyite,3.0
uranosphaerite,metalodevite,1.0
uranosphaerite,autunite,7.0
uranosphaerite,metatyuyamunite,3.0
uranosphaerite,studtite,2.0
uranosphaerite,nollmotzite,1.0
uranosphaerite,ningyoite,2.0
uranosphaerite,becquerelite,2.0
uranosphaerite,vandendriesscheite,2.0
uranosphaerite,boltwoodite,1.0
uranosphaerite,petscheckite,1.0
uranosphaerite,vochtenite,2.0
uranosphaerite,clarkeite,1.0
uranosphaerite,kamotoite-(y),1.0
uranosphaerite,dewindtite,6.0
uranosphaerite,ianthinite,1.0
uranosphaerite,metazeunerite,2.0
uranosphaerite,zeunerite,6.0
uranosphaerite,heisenbergite,1.0
uranosphaerite,kasolite,5.0
uranosphaerite,uranospinite,2.0
uranosphaerite,albrechtschraufite,1.0
uranosphaerite,bassetite,4.0
uranosphaerite,phosphuranylite,8.0
uranosphaerite,wolsendorfite,3.0
uranosphaerite,protasite,1.0
uranosphaerite,schrockingerite,2.0
uranosphaerite,compreignacite,1.0
uranosphaerite,calciouranoite,1.0
uranosphaerite,sengierite,1.0
uranosphaerite,chernikovite,1.0
uranosphaerite,sklodowskite,4.0
uranosphaerite,widenmannite,1.0
uranosphaerite,uranopilite,2.0
uranosphaerite,fourmarierite,2.0
uranosphaerite,liebigite,3.0
uranosphaerite,schoepite,1.0
uranosphaerite,uranotungstite,2.0
uranosphaerite,curienite,1.0
uranosphaerite,sreinite,1.0
uranosphaerite,novacekite-i,4.0
uranosphaerite,trogerite,3.0
uranosphaerite,metauranospinite,1.0
uranosphaerite,weeksite,2.0
uranosphaerite,metaheinrichite,1.0
uranosphaerite,bergenite,1.0
uranosphaerite,urancalcarite,1.0
uranosphaerite,cuprosklodowskite,1.0
uranosphaerite,asselbornite,2.0
uranosphaerite,tyuyamunite,2.0
uranosphaerite,francevillite,1.0
uranosphaerite,phosphowalpurgite,1.0
uranosphaerite,nickelzippeite,1.0
uranosphaerite,torbernite,7.0
uranosphaerite,billietite,1.0
uranosphaerite,novacekite-ii,1.0
uranosphaerite,curite,2.0
uranosphaerite,sabugalite,1.0
uranosphaerite,brannerite,2.0
uranosphaerite,walpurgite,4.0
uranosphaerite,richetite,1.0
uranosphaerite,johannite,1.0
uranosphaerite,metanovacekite,2.0
uranosphaerite,arsenuranospathite,1.0
uranosphaerite,uranophane-alpha,8.0
uranosphaerite,zippeite,3.0
uranosphaerite,uraninite,10.0
uranosphaerite,metauranopilite,1.0
uranosphaerite,uranocircite-ii,5.0
yttrocrasite-(y),metatorbernite,1.0
yttrocrasite-(y),autunite,1.0
yttrocrasite-(y),uraninite,2.0
metatorbernite,uranophane-beta,42.0
metatorbernite,sayrite,1.0
metatorbernite,lehnerite,1.0
metatorbernite,roubaultite,3.0
metatorbernite,cousinite,1.0
metatorbernite,seelite,1.0
metatorbernite,metakahlerite,3.0
metatorbernite,piretite,2.0
metatorbernite,bijvoetite-(y),1.0
metatorbernite,cliffordite,1.0
metatorbernite,masuyite,10.0
metatorbernite,vanmeersscheite,3.0
metatorbernite,metavanuralite,1.0
metatorbernite,zinczippeite,2.0
metatorbernite,uranospathite,7.0
metatorbernite,phurcalite,10.0
metatorbernite,renardite,4.0
metatorbernite,yingjiangite,4.0
metatorbernite,cejkaite,1.0
metatorbernite,lermontovite,1.0
metatorbernite,joliotite,1.0
metatorbernite,coffinite,47.0
metatorbernite,umohoite,5.0
metatorbernite,kahlerite,1.0
metatorbernite,arsenuranylite,3.0
metatorbernite,meta-autunite,148.0
metatorbernite,saleeite,38.0
metatorbernite,guilleminite,2.0
metatorbernite,vyacheslavite,2.0
metatorbernite,chistyakovaite,1.0
metatorbernite,euxenite-(y),4.0
metatorbernite,metavanmeersscheite,2.0
metatorbernite,jachymovite,2.0
metatorbernite,bobcookite,1.0
metatorbernite,metarauchite,1.0
metatorbernite,agricolaite,1.0
metatorbernite,natrouranospinite,4.0
metatorbernite,soddyite,19.0
metatorbernite,threadgoldite,4.0
metatorbernite,spriggite,1.0
metatorbernite,metalodevite,4.0
metatorbernite,paulscherrerite,3.0
metatorbernite,autunite,179.0
metatorbernite,metatyuyamunite,17.0
metatorbernite,deliensite,3.0
metatorbernite,leydetite,1.0
metatorbernite,studtite,13.0
metatorbernite,vandenbrandeite,5.0
metatorbernite,hugelite,2.0
metatorbernite,nollmotzite,1.0
metatorbernite,uvanite,4.0
metatorbernite,ningyoite,1.0
metatorbernite,becquerelite,23.0
metatorbernite,vandendriesscheite,14.0
metatorbernite,meta-ankoleite,2.0
metatorbernite,metavandendriesscheite,1.0
metatorbernite,cleusonite,1.0
metatorbernite,metauranocircite-i,12.0
metatorbernite,boltwoodite,6.0
metatorbernite,petscheckite,1.0
metatorbernite,rameauite,1.0
metatorbernite,alwilkinsite-(y),1.0
metatorbernite,vochtenite,2.0
metatorbernite,ishikawaite,1.0
metatorbernite,kamotoite-(y),2.0
metatorbernite,parsonsite,21.0
metatorbernite,dewindtite,30.0
metatorbernite,ianthinite,11.0
metatorbernite,metazeunerite,51.0
metatorbernite,swamboite-(nd),1.0
metatorbernite,zeunerite,39.0
metatorbernite,lepersonnite-(gd),1.0
metatorbernite,metaschoepite,3.0
metatorbernite,heisenbergite,2.0
metatorbernite,metasaleeite,5.0
metatorbernite,magnesiozippeite,3.0
metatorbernite,dumontite,7.0
metatorbernite,kasolite,40.0
metatorbernite,uranospinite,10.0
metatorbernite,demesmaekerite,2.0
metatorbernite,rutherfordine,22.0
metatorbernite,bassetite,18.0
metatorbernite,phosphuranylite,64.0
metatorbernite,gauthierite,1.0
metatorbernite,wolsendorfite,10.0
metatorbernite,protasite,2.0
metatorbernite,schrockingerite,13.0
metatorbernite,compreignacite,8.0
metatorbernite,paraschoepite,2.0
metatorbernite,calciouranoite,1.0
metatorbernite,haiweeite,4.0
metatorbernite,sengierite,4.0
metatorbernite,chernikovite,11.0
metatorbernite,sharpite,2.0
metatorbernite,strassmannite,1.0
metatorbernite,sklodowskite,18.0
metatorbernite,widenmannite,1.0
metatorbernite,calcurmolite,1.0
metatorbernite,uranopilite,27.0
metatorbernite,fourmarierite,17.0
metatorbernite,thorutite,1.0
metatorbernite,wyartite,2.0
metatorbernite,liandratite,1.0
metatorbernite,heinrichite,3.0
metatorbernite,uranosilite,1.0
metatorbernite,abernathyite,2.0
metatorbernite,rabejacite,6.0
metatorbernite,liebigite,15.0
metatorbernite,schoepite,31.0
metatorbernite,arsenovanmeersscheite,1.0
metatorbernite,senaite,4.0
metatorbernite,uranotungstite,4.0
metatorbernite,metahaiweeite,1.0
metatorbernite,metanatroautunite,2.0
metatorbernite,curienite,3.0
metatorbernite,sreinite,1.0
metatorbernite,novacekite-i,15.0
metatorbernite,trogerite,5.0
metatorbernite,zellerite,4.0
metatorbernite,strelkinite,2.0
metatorbernite,metauranospinite,2.0
metatorbernite,weeksite,7.0
metatorbernite,nielsbohrite,1.0
metatorbernite,derriksite,2.0
metatorbernite,metaheinrichite,3.0
metatorbernite,bergenite,4.0
metatorbernite,rauvite,7.0
metatorbernite,urancalcarite,1.0
metatorbernite,andersonite,5.0
metatorbernite,francoisite-(ce),2.0
metatorbernite,cuprosklodowskite,14.0
metatorbernite,davidite-(la),2.0
metatorbernite,tyuyamunite,34.0
metatorbernite,marthozite,2.0
metatorbernite,shinkolobweite,1.0
metatorbernite,grimselite,1.0
metatorbernite,francevillite,6.0
metatorbernite,phosphowalpurgite,1.0
metatorbernite,uramarsite,1.0
metatorbernite,voglite,1.0
metatorbernite,oursinite,2.0
metatorbernite,metazellerite,2.0
metatorbernite,ammoniozippeite,1.0
metatorbernite,torbernite,238.0
