from,to,weight
hendersonite,carnotite,2.0
hendersonite,barnesite,1.0
hendersonite,metarossite,3.0
hendersonite,pascoite,2.0
hendersonite,paramontroseite,1.0
hendersonite,metatyuyamunite,2.0
hendersonite,rossite,3.0
hendersonite,calciodelrioite,1.0
hendersonite,corvusite,3.0
hendersonite,kokinosite,1.0
hendersonite,nashite,1.0
hendersonite,rakovanite,1.0
hendersonite,sherwoodite,2.0
hendersonite,wernerbaurite,1.0
hendersonite,hewettite,3.0
hendersonite,simplotite,1.0
hendersonite,metahewettite,2.0
hendersonite,rauvite,1.0
hendersonite,tyuyamunite,2.0
hendersonite,huemulite,1.0
hendersonite,schindlerite,1.0
hendersonite,melanovanadite,1.0
hendersonite,doloresite,1.0
hendersonite,montroseite,2.0
hendersonite,hughesite,1.0
lumsdenite,carnotite,1.0
lumsdenite,dickthomssenite,1.0
lumsdenite,martyite,1.0
lumsdenite,navajoite,1.0
lumsdenite,metarossite,1.0
lumsdenite,pascoite,1.0
lumsdenite,kegginite,1.0
lumsdenite,munirite,1.0
lumsdenite,ansermetite,1.0
lumsdenite,morrisonite,1.0
lumsdenite,rossite,1.0
lumsdenite,lasalite,1.0
lumsdenite,vanarsite,1.0
lumsdenite,sherwoodite,1.0
lumsdenite,hewettite,1.0
lumsdenite,packratite,1.0
lumsdenite,postite,1.0
lumsdenite,mesaite,1.0
lumsdenite,tyuyamunite,1.0
lumsdenite,hummerite,1.0
lumsdenite,magnesiopascoite,1.0
lumsdenite,hydropascoite,1.0
lumsdenite,gatewayite,1.0
carnotite,hechtsbergite,1.0
carnotite,fernandinite,4.0
carnotite,barnesite,6.0
carnotite,metamunirite,5.0
carnotite,haggite,4.0
carnotite,pucherite,2.0
carnotite,mounanaite,1.0
carnotite,duttonite,3.0
carnotite,schubnelite,2.0
carnotite,pandoraite-ba,1.0
carnotite,mottramite,6.0
carnotite,dickthomssenite,5.0
carnotite,metavanuralite,2.0
carnotite,martyite,2.0
carnotite,navajoite,5.0
carnotite,vesignieite,5.0
carnotite,descloizite,2.0
carnotite,clinobisvanite,1.0
carnotite,metarossite,18.0
carnotite,chernykhite,1.0
carnotite,pintadoite,5.0
carnotite,vanoxite,16.0
carnotite,pascoite,46.0
carnotite,schaferite,1.0
carnotite,ankinovichite,2.0
carnotite,rankachite,1.0
carnotite,kurumsakite,1.0
carnotite,okieite,1.0
carnotite,brackebuschite,1.0
carnotite,schreyerite,1.0
carnotite,paramontroseite,16.0
carnotite,kegginite,1.0
carnotite,metatyuyamunite,48.0
carnotite,chervetite,1.0
carnotite,munirite,1.0
carnotite,khorixasite,1.0
carnotite,ansermetite,4.0
carnotite,morrisonite,1.0
carnotite,rossite,12.0
carnotite,alvanite,1.0
carnotite,uvanite,5.0
carnotite,rusakovite,1.0
carnotite,nolanite,5.0
carnotite,vandermeerscheite,1.0
carnotite,finchite,2.0
carnotite,schumacherite,2.0
carnotite,calciodelrioite,1.0
carnotite,bokite,2.0
carnotite,margaritasite,2.0
carnotite,wakefieldite-(ce),1.0
carnotite,fervanite,3.0
carnotite,satpaevite,1.0
carnotite,corvusite,42.0
carnotite,lasalite,4.0
carnotite,vanarsite,1.0
carnotite,pandoraite-ca,1.0
carnotite,nashite,1.0
carnotite,lenoblite,2.0
carnotite,tangeite,11.0
carnotite,sengierite,4.0
carnotite,volborthite,22.0
carnotite,rakovanite,2.0
carnotite,kolovratite,1.0
carnotite,vanadinite,4.0
carnotite,kazakhstanite,1.0
carnotite,sulvanite,1.0
carnotite,sherwoodite,9.0
carnotite,hewettite,29.0
carnotite,vanalite,1.0
carnotite,simplotite,6.0
carnotite,curienite,2.0
carnotite,packratite,1.0
carnotite,steigerite,3.0
carnotite,straczekite,2.0
carnotite,strelkinite,1.0
carnotite,postite,3.0
carnotite,mesaite,1.0
carnotite,metahewettite,20.0
carnotite,rauvite,20.0
carnotite,bariandite,4.0
carnotite,davidite-(la),1.0
carnotite,tyuyamunite,326.0
carnotite,coulsonite,1.0
carnotite,nevadaite,1.0
carnotite,francevillite,14.0
carnotite,hummerite,7.0
carnotite,huemulite,4.0
carnotite,karelianite,2.0
carnotite,magnesiopascoite,4.0
carnotite,grantsite,3.0
carnotite,santafeite,2.0
carnotite,sincosite,1.0
carnotite,vanuralite,1.0
carnotite,melanovanadite,11.0
carnotite,karpenkoite,1.0
carnotite,doloresite,14.0
carnotite,dreyerite,2.0
carnotite,hydropascoite,1.0
carnotite,roscoelite,111.0
carnotite,montroseite,76.0
carnotite,gatewayite,1.0
carnotite,namibite,1.0
carnotite,wakefieldite-(la),1.0
carnotite,natalyite,1.0
janchevite,mottramite,1.0
janchevite,kombatite,1.0
janchevite,colusite,1.0
janchevite,pyrobelonite,1.0
janchevite,hereroite,1.0
janchevite,erikjonssonite,1.0
mukhinite,colusite,1.0
mukhinite,goldmanite,3.0
mukhinite,merelaniite,1.0
mukhinite,germanocolusite,1.0
mukhinite,coulsonite,1.0
mukhinite,karelianite,2.0
hechtsbergite,pucherite,4.0
hechtsbergite,mottramite,1.0
hechtsbergite,vesignieite,1.0
hechtsbergite,descloizite,1.0
hechtsbergite,clinobisvanite,2.0
hechtsbergite,rankachite,1.0
hechtsbergite,metatyuyamunite,1.0
hechtsbergite,schumacherite,3.0
hechtsbergite,wakefieldite-(ce),1.0
hechtsbergite,lenoblite,1.0
hechtsbergite,sengierite,1.0
hechtsbergite,volborthite,1.0
hechtsbergite,tyuyamunite,1.0
hechtsbergite,francevillite,1.0
hechtsbergite,dreyerite,1.0
hechtsbergite,roscoelite,1.0
hechtsbergite,namibite,4.0
fernandinite,barnesite,1.0
fernandinite,metamunirite,2.0
fernandinite,schubnelite,1.0
fernandinite,minasragrite,1.0
fernandinite,navajoite,1.0
fernandinite,vesignieite,1.0
fernandinite,metarossite,3.0
fernandinite,pintadoite,2.0
fernandinite,vanoxite,1.0
fernandinite,pascoite,4.0
fernandinite,paramontroseite,3.0
fernandinite,metatyuyamunite,2.0
fernandinite,rossite,2.0
fernandinite,uvanite,1.0
fernandinite,bokite,1.0
fernandinite,fervanite,1.0
fernandinite,corvusite,3.0
fernandinite,volborthite,1.0
fernandinite,rakovanite,1.0
fernandinite,sherwoodite,2.0
fernandinite,hewettite,3.0
fernandinite,patronite,1.0
fernandinite,steigerite,2.0
fernandinite,straczekite,1.0
fernandinite,metahewettite,3.0
fernandinite,rauvite,2.0
fernandinite,bariandite,2.0
fernandinite,tyuyamunite,3.0
fernandinite,hummerite,1.0
fernandinite,stanleyite,1.0
fernandinite,melanovanadite,2.0
fernandinite,doloresite,1.0
fernandinite,roscoelite,5.0
fernandinite,montroseite,4.0
barnesite,metamunirite,2.0
barnesite,haggite,2.0
barnesite,duttonite,2.0
barnesite,gamagarite,1.0
barnesite,dickthomssenite,1.0
barnesite,metarossite,2.0
barnesite,chernykhite,2.0
barnesite,pintadoite,2.0
barnesite,vanoxite,2.0
barnesite,pascoite,4.0
barnesite,schaferite,1.0
barnesite,ankinovichite,1.0
barnesite,kurumsakite,1.0
barnesite,vanadiocarpholite,1.0
barnesite,paramontroseite,5.0
barnesite,metatyuyamunite,5.0
barnesite,ansermetite,2.0
barnesite,rossite,2.0
barnesite,alvanite,2.0
barnesite,bannermanite,1.0
barnesite,rusakovite,2.0
barnesite,medaite,1.0
barnesite,nolanite,1.0
barnesite,delrioite,1.0
barnesite,bokite,4.0
barnesite,fervanite,1.0
barnesite,metadelrioite,1.0
barnesite,satpaevite,2.0
barnesite,corvusite,5.0
barnesite,lasalite,1.0
barnesite,lenoblite,1.0
barnesite,tangeite,1.0
barnesite,sengierite,1.0
barnesite,volborthite,3.0
barnesite,rakovanite,1.0
barnesite,paseroite,1.0
barnesite,kazakhstanite,2.0
barnesite,sulvanite,1.0
barnesite,oxyvanite,1.0
barnesite,cortesognoite,1.0
barnesite,sherwoodite,3.0
barnesite,molinelloite,1.0
barnesite,hewettite,8.0
barnesite,vanalite,1.0
barnesite,senaite,1.0
barnesite,simplotite,3.0
barnesite,palenzonaite,1.0
barnesite,steigerite,4.0
barnesite,postite,1.0
barnesite,metahewettite,5.0
barnesite,rauvite,3.0
barnesite,bariandite,1.0
barnesite,saneroite,1.0
barnesite,tyuyamunite,6.0
barnesite,pyrobelonite,1.0
barnesite,hummerite,2.0
barnesite,huemulite,3.0
barnesite,magnesiopascoite,1.0
barnesite,grantsite,2.0
barnesite,santafeite,2.0
barnesite,melanovanadite,4.0
barnesite,doloresite,3.0
barnesite,roscoelite,4.0
barnesite,bassoite,1.0
barnesite,montroseite,4.0
davidite-(ce),nolanite,1.0
davidite-(ce),kyzylkumite,1.0
davidite-(ce),byrudite,1.0
davidite-(ce),tivanite,1.0
davidite-(ce),senaite,1.0
davidite-(ce),davidite-(la),2.0
davidite-(ce),coulsonite,1.0
davidite-(ce),crichtonite,1.0
metamunirite,martyite,1.0
metamunirite,navajoite,1.0
metamunirite,burroite,1.0
metamunirite,metarossite,4.0
metamunirite,pintadoite,1.0
metamunirite,vanoxite,2.0
metamunirite,pascoite,7.0
metamunirite,schaferite,1.0
metamunirite,bluestreakite,1.0
metamunirite,okieite,1.0
metamunirite,paramontroseite,2.0
metamunirite,metatyuyamunite,3.0
metamunirite,munirite,1.0
metamunirite,rossite,4.0
metamunirite,bannermanite,1.0
metamunirite,nolanite,1.0
metamunirite,delrioite,1.0
metamunirite,calciodelrioite,1.0
metamunirite,goldmanite,1.0
metamunirite,ammoniolasalite,1.0
metamunirite,corvusite,5.0
metamunirite,sengierite,1.0
metamunirite,volborthite,2.0
metamunirite,rakovanite,1.0
metamunirite,hewettite,2.0
metamunirite,simplotite,1.0
metamunirite,steigerite,2.0
metamunirite,metahewettite,1.0
metamunirite,rauvite,1.0
metamunirite,bariandite,1.0
metamunirite,tyuyamunite,4.0
metamunirite,hummerite,1.0
metamunirite,huemulite,3.0
metamunirite,magnesiopascoite,1.0
metamunirite,grantsite,1.0
metamunirite,ammoniomathesiusite,1.0
metamunirite,doloresite,1.0
metamunirite,roscoelite,5.0
metamunirite,montroseite,6.0
metamunirite,hughesite,1.0
cechite,mottramite,4.0
cechite,vesignieite,2.0
cechite,descloizite,2.0
cechite,chervetite,2.0
cechite,volborthite,2.0
cechite,vanadinite,4.0
cechite,calderonite,3.0
cechite,ferribushmakinite,1.0
cechite,roscoelite,1.0
phosphovanadylite-ba,sincosite,1.0
haggite,schubnelite,2.0
haggite,gamagarite,1.0
haggite,vesignieite,2.0
haggite,descloizite,2.0
haggite,metarossite,3.0
haggite,pintadoite,1.0
haggite,tokyoite,1.0
haggite,vanoxite,2.0
haggite,pascoite,4.0
haggite,poppiite,1.0
haggite,scheuchzerite,1.0
haggite,haradaite,1.0
haggite,vanadiocarpholite,1.0
haggite,schreyerite,1.0
haggite,paramontroseite,8.0
haggite,heyite,2.0
haggite,metatyuyamunite,6.0
haggite,colusite,1.0
haggite,ansermetite,1.0
haggite,rossite,2.0
haggite,medaite,1.0
haggite,nolanite,2.0
haggite,delrioite,1.0
haggite,nabiasite,1.0
haggite,goldmanite,1.0
haggite,fervanite,2.0
haggite,metadelrioite,1.0
haggite,corvusite,1.0
haggite,turanite,1.0
haggite,reppiaite,1.0
haggite,tangeite,1.0
haggite,volborthite,4.0
haggite,vanadinite,2.0
haggite,kazakhstanite,2.0
haggite,vanadomalayaite,1.0
haggite,sherwoodite,1.0
haggite,hewettite,4.0
haggite,palenzonaite,1.0
haggite,calderonite,1.0
haggite,metahewettite,1.0
haggite,saneroite,1.0
haggite,tyuyamunite,10.0
haggite,nevadaite,1.0
haggite,francevillite,2.0
haggite,pyrobelonite,1.0
haggite,hummerite,3.0
haggite,karelianite,2.0
haggite,grantsite,3.0
haggite,sincosite,2.0
