from,to,weight
hydrokenoelsmoreite,cuprotungstite,6.0
hydrokenoelsmoreite,mpororoite,4.0
hydrokenoelsmoreite,pittongite,1.0
hydrokenoelsmoreite,hydrotungstite,2.0
hydrokenoelsmoreite,koragoite,1.0
hydrokenoelsmoreite,meymacite,5.0
hydrokenoelsmoreite,ferberite,33.0
hydrokenoelsmoreite,scheelite,31.0
hydrokenoelsmoreite,tungstibite,2.0
hydrokenoelsmoreite,yttrotungstite-(ce),4.0
hydrokenoelsmoreite,uranotungstite,1.0
hydrokenoelsmoreite,raspite,5.0
hydrokenoelsmoreite,tungstenite,1.0
hydrokenoelsmoreite,tungstite,7.0
hydrokenoelsmoreite,stolzite,7.0
hydrokenoelsmoreite,russellite,12.0
hydrokenoelsmoreite,rankachite,1.0
hydrokenoelsmoreite,anthoinite,7.0
hydrokenoelsmoreite,hubnerite,7.0
hydrokenoelsmoreite,phyllotungstite,1.0
hydrokenoelsmoreite,tungsten,1.0
cuprotungstite,hydroplumboelsmoreite,1.0
cuprotungstite,hydrotungstite,1.0
cuprotungstite,meymacite,1.0
cuprotungstite,ferberite,11.0
cuprotungstite,scheelite,52.0
cuprotungstite,tungstibite,1.0
cuprotungstite,uranotungstite,1.0
cuprotungstite,raspite,2.0
cuprotungstite,tungstite,10.0
cuprotungstite,stolzite,7.0
cuprotungstite,russellite,4.0
cuprotungstite,rankachite,1.0
cuprotungstite,hubnerite,7.0
cuprotungstite,phyllotungstite,1.0
hydroplumboelsmoreite,scheelite,3.0
hydroplumboelsmoreite,tungstite,1.0
hydroplumboelsmoreite,stolzite,2.0
hydroplumboelsmoreite,hubnerite,1.0
catamarcaite,hubnerite,1.0
paraniite-(y),scheelite,1.0
mpororoite,ferberite,3.0
mpororoite,scheelite,5.0
mpororoite,raspite,1.0
mpororoite,stolzite,2.0
mpororoite,russellite,2.0
mpororoite,anthoinite,3.0
mpororoite,hubnerite,1.0
pittongite,ferberite,1.0
pittongite,scheelite,1.0
pittongite,russellite,1.0
hydrotungstite,koragoite,1.0
hydrotungstite,meymacite,2.0
hydrotungstite,ferberite,7.0
hydrotungstite,sanmartinite,1.0
hydrotungstite,huanzalaite,2.0
hydrotungstite,scheelite,9.0
hydrotungstite,tungstibite,1.0
hydrotungstite,uranotungstite,1.0
hydrotungstite,raspite,3.0
hydrotungstite,tungstenite,1.0
hydrotungstite,tungstite,4.0
hydrotungstite,stolzite,2.0
hydrotungstite,russellite,2.0
hydrotungstite,rankachite,1.0
hydrotungstite,hubnerite,3.0
hydrotungstite,phyllotungstite,1.0
manganokhomyakovite,johnsenite-(ce),1.0
manganokhomyakovite,scheelite,1.0
manganokhomyakovite,khomyakovite,1.0
natrowalentaite,scheelite,1.0
koragoite,meymacite,1.0
koragoite,ferberite,1.0
koragoite,scheelite,1.0
koragoite,raspite,1.0
koragoite,russellite,1.0
koragoite,hubnerite,1.0
rhabdoborite-(w),rhabdoborite-(v),1.0
meymacite,ferberite,5.0
meymacite,scheelite,9.0
meymacite,tungstibite,1.0
meymacite,yttrotungstite-(ce),1.0
meymacite,uranotungstite,1.0
meymacite,raspite,3.0
meymacite,tungstite,2.0
meymacite,stolzite,1.0
meymacite,russellite,2.0
meymacite,rankachite,1.0
meymacite,anthoinite,1.0
meymacite,hubnerite,2.0
meymacite,phyllotungstite,1.0
ovamboite,ferberite,1.0
ovamboite,scheelite,1.0
