from,to,weight
yttrocrasite-(y),gadolinite-(y),3.0
yttrocrasite-(y),tveitite-(y),1.0
yttrocrasite-(y),rowlandite-(y),2.0
yttrocrasite-(y),iimoriite-(y),1.0
yttrocrasite-(y),thalenite-(y),3.0
yttrocrasite-(y),kimuraite-(y),1.0
yttrocrasite-(y),keiviite-(y),1.0
yttrocrasite-(y),allanite-(y),1.0
yttrocrasite-(y),pilawite-(y),1.0
yttrocrasite-(y),fergusonite-(y),3.0
yttrocrasite-(y),samarskite-(y),2.0
yttrocrasite-(y),yttrialite-(y),3.0
yttrocrasite-(y),xenotime-(y),2.0
yttrocrasite-(y),tengerite-(y),2.0
yttrocrasite-(y),chernovite-(y),1.0
paraniite-(y),aeschynite-(y),1.0
paraniite-(y),gadolinite-(y),1.0
paraniite-(y),churchite-(y),1.0
paraniite-(y),hundholmenite-(y),1.0
paraniite-(y),senaite,1.0
paraniite-(y),hingganite-(y),1.0
paraniite-(y),fergusonite-(y)-beta,1.0
paraniite-(y),crichtonite,1.0
paraniite-(y),fergusonite-(y),1.0
paraniite-(y),xenotime-(y),1.0
paraniite-(y),chernovite-(y),2.0
paraniite-(y),gramaccioliite-(y),1.0
monteregianite-(y),cappelenite-(y),1.0
monteregianite-(y),thomasclarkite-(y),1.0
monteregianite-(y),shomiokite-(y),1.0
monteregianite-(y),micheelsenite,1.0
monteregianite-(y),senaite,1.0
monteregianite-(y),hingganite-(y),1.0
monteregianite-(y),landauite,1.0
monteregianite-(y),ewaldite,1.0
monteregianite-(y),bobtraillite,1.0
monteregianite-(y),ashcroftine-(y),1.0
monteregianite-(y),adamsite-(y),1.0
monteregianite-(y),sazykinaite-(y),1.0
monteregianite-(y),bussyite-(y),1.0
monteregianite-(y),ramikite-(y),1.0
monteregianite-(y),donnayite-(y),1.0
monteregianite-(y),lecoqite-(y),1.0
monteregianite-(y),kainosite-(y),1.0
monteregianite-(y),peatite-(y),1.0
monteregianite-(y),xenotime-(y),1.0
monteregianite-(y),miserite,1.0
monteregianite-(y),mckelveyite-(y),1.0
monteregianite-(y),horvathite-(y),1.0
monteregianite-(y),reederite-(y),1.0
caysichite-(y),aeschynite-(y),2.0
caysichite-(y),moydite-(y),1.0
caysichite-(y),kamphaugite-(y),3.0
caysichite-(y),gadolinite-(y),2.0
caysichite-(y),churchite-(y),2.0
caysichite-(y),formanite-(y),1.0
caysichite-(y),iwashiroite-(y),1.0
caysichite-(y),lokkaite-(y),1.0
caysichite-(y),hellandite-(y),2.0
caysichite-(y),rowlandite-(y),1.0
caysichite-(y),hingganite-(y),4.0
caysichite-(y),iimoriite-(y),2.0
caysichite-(y),britholite-(y),1.0
caysichite-(y),euxenite-(y),2.0
caysichite-(y),thalenite-(y),2.0
caysichite-(y),wakefieldite-(y),1.0
caysichite-(y),kuliokite-(y),1.0
caysichite-(y),keiviite-(y),1.0
caysichite-(y),donnayite-(y),1.0
caysichite-(y),allanite-(y),2.0
caysichite-(y),decrespignyite-(y),1.0
caysichite-(y),vyuntspakhkite-(y),1.0
caysichite-(y),kainosite-(y),4.0
caysichite-(y),fergusonite-(y),4.0
caysichite-(y),yttrotantalite-(y),1.0
caysichite-(y),yttrialite-(y),1.0
caysichite-(y),xenotime-(y),7.0
caysichite-(y),synchysite-(y),2.0
caysichite-(y),tengerite-(y),3.0
caysichite-(y),chernovite-(y),1.0
waimirite-(y),gagarinite-(y),1.0
waimirite-(y),euxenite-(y),1.0
waimirite-(y),fergusonite-(y),1.0
waimirite-(y),samarskite-(y),1.0
waimirite-(y),xenotime-(y),1.0
davidite-(ce),aeschynite-(y),2.0
davidite-(ce),tritomite-(y),1.0
davidite-(ce),kamphaugite-(y),1.0
davidite-(ce),gadolinite-(y),2.0
davidite-(ce),senaite,1.0
davidite-(ce),euxenite-(y),3.0
davidite-(ce),davidite-(la),2.0
davidite-(ce),crichtonite,1.0
davidite-(ce),fergusonite-(y),2.0
davidite-(ce),xenotime-(y),2.0
davidite-(ce),tengerite-(y),1.0
kobeite-(y),aeschynite-(y),1.0
kobeite-(y),zirconolite,1.0
kobeite-(y),euxenite-(y),1.0
kobeite-(y),uranopolycrase,1.0
kobeite-(y),fergusonite-(y),1.0
kobeite-(y),xenotime-(y),2.0
aeschynite-(y),magnesiorowlandite-(y),1.0
aeschynite-(y),zirconolite,1.0
aeschynite-(y),kamphaugite-(y),3.0
aeschynite-(y),tanteuxenite-(y),2.0
aeschynite-(y),gadolinite-(y),35.0
aeschynite-(y),churchite-(y),3.0
aeschynite-(y),lusernaite-(y),2.0
aeschynite-(y),hundholmenite-(y),1.0
aeschynite-(y),senaite,7.0
aeschynite-(y),hellandite-(y),4.0
aeschynite-(y),hingganite-(y),11.0
aeschynite-(y),iimoriite-(y),1.0
aeschynite-(y),calciosamarskite,1.0
aeschynite-(y),britholite-(y),1.0
aeschynite-(y),gerenite-(y),1.0
aeschynite-(y),euxenite-(y),30.0
aeschynite-(y),thalenite-(y),1.0
aeschynite-(y),davidite-(la),1.0
aeschynite-(y),fergusonite-(y)-beta,3.0
aeschynite-(y),donnayite-(y),1.0
aeschynite-(y),allanite-(y),1.0
aeschynite-(y),crichtonite,5.0
aeschynite-(y),bastnasite-(y),2.0
aeschynite-(y),nioboaeschynite-(y),2.0
aeschynite-(y),kainosite-(y),13.0
aeschynite-(y),uranopolycrase,2.0
aeschynite-(y),trimounsite-(y),1.0
aeschynite-(y),fergusonite-(y),20.0
aeschynite-(y),yttrotantalite-(y),3.0
aeschynite-(y),samarskite-(y),15.0
aeschynite-(y),yttrialite-(y),1.0
aeschynite-(y),mieite-(y),1.0
aeschynite-(y),ishikawaite,1.0
aeschynite-(y),xenotime-(y),70.0
aeschynite-(y),synchysite-(y),9.0
aeschynite-(y),tengerite-(y),2.0
aeschynite-(y),chernovite-(y),10.0
aeschynite-(y),gramaccioliite-(y),4.0
aeschynite-(y),agardite-(y),8.0
aeschynite-(y),dessauite-(y),2.0
aeschynite-(y),almeidaite,1.0
magnesiorowlandite-(y),gadolinite-(y),1.0
magnesiorowlandite-(y),hundholmenite-(y),1.0
magnesiorowlandite-(y),rowlandite-(y),1.0
magnesiorowlandite-(y),britholite-(y),1.0
magnesiorowlandite-(y),thalenite-(y),1.0
magnesiorowlandite-(y),atelisite-(y),1.0
magnesiorowlandite-(y),cayalsite-(y),1.0
magnesiorowlandite-(y),kuliokite-(y),1.0
magnesiorowlandite-(y),keiviite-(y),1.0
magnesiorowlandite-(y),schluterite-(y),1.0
magnesiorowlandite-(y),allanite-(y),1.0
magnesiorowlandite-(y),vyuntspakhkite-(y),1.0
magnesiorowlandite-(y),kainosite-(y),1.0
magnesiorowlandite-(y),fergusonite-(y),1.0
magnesiorowlandite-(y),yttrialite-(y),1.0
magnesiorowlandite-(y),mieite-(y),1.0
magnesiorowlandite-(y),synchysite-(y),1.0
zirconolite,gadolinite-(y),2.0
zirconolite,micheelsenite,1.0
zirconolite,hingganite-(y),2.0
zirconolite,ewaldite,1.0
zirconolite,euxenite-(y),1.0
zirconolite,okanoganite-(y),1.0
zirconolite,keiviite-(y),1.0
zirconolite,donnayite-(y),1.0
zirconolite,crichtonite,2.0
zirconolite,chiappinoite-(y),1.0
zirconolite,fergusonite-(y),10.0
zirconolite,samarskite-(y),4.0
zirconolite,yttrialite-(y),1.0
zirconolite,xenotime-(y),13.0
zirconolite,mckelveyite-(y),2.0
zirconolite,chernovite-(y),1.0
zirconolite,yttrocolumbite-(y),1.0
tritomite-(y),lokkaite-(y),1.0
tritomite-(y),euxenite-(y),2.0
tritomite-(y),samarskite-(y),2.0
tritomite-(y),xenotime-(y),1.0
tritomite-(y),synchysite-(y),1.0
cappelenite-(y),thomasclarkite-(y),1.0
cappelenite-(y),kamphaugite-(y),1.0
cappelenite-(y),hyalotekite,1.0
cappelenite-(y),gagarinite-(y),1.0
cappelenite-(y),shomiokite-(y),1.0
cappelenite-(y),gadolinite-(y),1.0
cappelenite-(y),micheelsenite,1.0
cappelenite-(y),senaite,1.0
cappelenite-(y),hingganite-(y),1.0
cappelenite-(y),landauite,1.0
cappelenite-(y),ewaldite,1.0
cappelenite-(y),euxenite-(y),1.0
cappelenite-(y),thalenite-(y),1.0
cappelenite-(y),bobtraillite,1.0
cappelenite-(y),ashcroftine-(y),1.0
cappelenite-(y),adamsite-(y),1.0
cappelenite-(y),sazykinaite-(y),1.0
cappelenite-(y),bussyite-(y),1.0
cappelenite-(y),ramikite-(y),1.0
cappelenite-(y),keiviite-(y),1.0
cappelenite-(y),laptevite-(ce),1.0
cappelenite-(y),kapitsaite-(y),1.0
cappelenite-(y),calcybeborosilite-(y),1.0
cappelenite-(y),donnayite-(y),1.0
cappelenite-(y),lecoqite-(y),1.0
cappelenite-(y),byzantievite,1.0
cappelenite-(y),bastnasite-(y),2.0
cappelenite-(y),kainosite-(y),1.0
cappelenite-(y),moskvinite-(y),1.0
cappelenite-(y),fergusonite-(y),2.0
cappelenite-(y),natrotitanite,1.0
cappelenite-(y),peatite-(y),1.0
cappelenite-(y),xenotime-(y),2.0
cappelenite-(y),rinkite-(y),1.0
cappelenite-(y),miserite,2.0
cappelenite-(y),mckelveyite-(y),1.0
cappelenite-(y),chernovite-(y),1.0
cappelenite-(y),horvathite-(y),1.0
cappelenite-(y),reederite-(y),1.0
thomasclarkite-(y),shomiokite-(y),1.0
thomasclarkite-(y),micheelsenite,1.0
thomasclarkite-(y),senaite,1.0
thomasclarkite-(y),hingganite-(y),1.0
thomasclarkite-(y),landauite,1.0
thomasclarkite-(y),ewaldite,1.0
thomasclarkite-(y),bobtraillite,1.0
thomasclarkite-(y),ashcroftine-(y),1.0
thomasclarkite-(y),adamsite-(y),1.0
thomasclarkite-(y),sazykinaite-(y),1.0
thomasclarkite-(y),bussyite-(y),1.0
thomasclarkite-(y),ramikite-(y),1.0
thomasclarkite-(y),donnayite-(y),1.0
thomasclarkite-(y),lecoqite-(y),1.0
thomasclarkite-(y),kainosite-(y),1.0
thomasclarkite-(y),peatite-(y),1.0
thomasclarkite-(y),xenotime-(y),1.0
thomasclarkite-(y),miserite,1.0
thomasclarkite-(y),mckelveyite-(y),1.0
thomasclarkite-(y),horvathite-(y),1.0
thomasclarkite-(y),reederite-(y),1.0
moydite-(y),kamphaugite-(y),1.0
moydite-(y),lokkaite-(y),1.0
moydite-(y),hellandite-(y),1.0
moydite-(y),rowlandite-(y),1.0
moydite-(y),euxenite-(y),1.0
