from,to,weight
hardystonite,esperite,3.0
hardystonite,franklinphilite,1.0
hardystonite,hydrozincite,4.0
hardystonite,chalcophanite,1.0
hardystonite,gordaite,1.0
hardystonite,hetaerolite,1.0
hardystonite,clinohedrite,3.0
hardystonite,ktenasite,2.0
hardystonite,adamite,2.0
hardystonite,goslarite,1.0
hardystonite,scholzite,1.0
hardystonite,simonkolleite,2.0
hardystonite,woodruffite,1.0
hardystonite,hemimorphite,5.0
hardystonite,yeatmanite,1.0
hardystonite,sphalerite,7.0
hardystonite,stranskiite,1.0
hardystonite,genthelvite,1.0
hardystonite,schulenbergite,2.0
hardystonite,glaucocerinite,2.0
hardystonite,brianyoungite,3.0
hardystonite,aurichalcite,2.0
hardystonite,gahnite,5.0
hardystonite,larsenite,1.0
hardystonite,fowlerite,1.0
hardystonite,ordonezite,1.0
hardystonite,zincrosasite,1.0
hardystonite,wurtzite,3.0
hardystonite,claraite,1.0
hardystonite,wulfingite,1.0
hardystonite,willemite,10.0
hardystonite,petedunnite,2.0
hardystonite,parascholzite,1.0
hardystonite,paradamite,1.0
hardystonite,serpierite,5.0
hardystonite,zincite,9.0
hardystonite,hodgkinsonite,1.0
hardystonite,zinc,1.0
hardystonite,zincaluminite,1.0
hardystonite,chlorophoenicite,2.0
hardystonite,smithsonite,5.0
hardystonite,rosasite,1.0
hardystonite,bianchite,1.0
hardystonite,franklinite,6.0
hardystonite,hendricksite,3.0
hardystonite,namuwite,2.0
zvyaginite,sauconite,1.0
esperite,hydrozincite,1.0
esperite,clinohedrite,3.0
esperite,hemimorphite,1.0
esperite,sphalerite,2.0
esperite,brianyoungite,1.0
esperite,aurichalcite,1.0
esperite,gahnite,1.0
esperite,larsenite,1.0
esperite,wurtzite,1.0
esperite,willemite,3.0
esperite,petedunnite,1.0
esperite,zincite,2.0
esperite,hodgkinsonite,1.0
esperite,chlorophoenicite,1.0
esperite,smithsonite,1.0
esperite,franklinite,3.0
esperite,hendricksite,2.0
spencerite,phosphophyllite,1.0
spencerite,parahopeite,3.0
spencerite,hydrozincite,1.0
spencerite,hopeite,2.0
spencerite,descloizite,1.0
spencerite,goslarite,1.0
spencerite,scholzite,1.0
spencerite,hemimorphite,3.0
spencerite,sphalerite,2.0
spencerite,aurichalcite,2.0
spencerite,wurtzite,1.0
spencerite,willemite,1.0
spencerite,veszelyite,1.0
spencerite,tarbuttite,2.0
spencerite,parascholzite,1.0
spencerite,zincite,1.0
spencerite,zincolibethenite,1.0
spencerite,smithsonite,3.0
spencerite,rosasite,2.0
spencerite,renierite,1.0
austinite,ferrilotharmeyerite,3.0
austinite,jamesite,2.0
austinite,katerinopoulosite,1.0
austinite,hydrozincite,14.0
austinite,chalcophanite,17.0
austinite,sauconite,6.0
austinite,gordaite,5.0
austinite,hopeite,1.0
austinite,helmutwinklerite,1.0
austinite,feinglosite,2.0
austinite,descloizite,7.0
austinite,legrandite,3.0
austinite,hetaerolite,10.0
austinite,ogdensburgite,1.0
austinite,junitoite,1.0
austinite,dugganite,4.0
austinite,zincroselite,1.0
austinite,ktenasite,8.0
austinite,adamite,43.0
austinite,natroglaucocerinite,1.0
austinite,osakaite,4.0
austinite,goslarite,3.0
austinite,holdenite,1.0
austinite,scholzite,1.0
austinite,reinerite,2.0
austinite,aldridgeite,1.0
austinite,mapimite,2.0
austinite,lotharmeyerite,1.0
austinite,eurekadumpite,2.0
austinite,cianciulliite,1.0
austinite,woodruffite,2.0
austinite,hemimorphite,29.0
austinite,metalodevite,1.0
austinite,yeatmanite,1.0
austinite,sphalerite,26.0
austinite,ekatite,1.0
austinite,christelite,1.0
austinite,mcgovernite,1.0
austinite,kraisslite,1.0
austinite,stranskiite,2.0
austinite,zinclipscombite,1.0
austinite,schulenbergite,6.0
austinite,samfowlerite,1.0
austinite,tetrahedrite-(zn),12.0
austinite,koritnigite,2.0
austinite,petrukite,1.0
austinite,glaucocerinite,5.0
austinite,brianyoungite,6.0
austinite,quetzalcoatlite,1.0
austinite,aurichalcite,22.0
austinite,gahnite,1.0
austinite,larsenite,2.0
austinite,leiteite,1.0
austinite,kottigite,9.0
austinite,gaitite,3.0
austinite,zincrosasite,4.0
austinite,arsenohopeite,1.0
austinite,keyite,2.0
austinite,lahnsteinite,4.0
austinite,paradsasvarite,2.0
austinite,erikapohlite,1.0
austinite,magnesiochlorophoenicite,2.0
austinite,wurtzite,5.0
austinite,ashoverite,1.0
austinite,sclarite,1.0
austinite,prosperite,1.0
austinite,fraipontite,7.0
austinite,zincolivenite,9.0
austinite,odanielite,1.0
austinite,kolicite,2.0
austinite,willemite,7.0
austinite,minehillite,1.0
austinite,kyrgyzstanite,1.0
austinite,paratacamite,4.0
austinite,philipsburgite,6.0
austinite,gerdtremmelite,1.0
austinite,zincmelanterite,1.0
austinite,warikahnite,1.0
austinite,arakiite,1.0
austinite,tsumcorite,8.0
austinite,paradamite,3.0
austinite,serpierite,12.0
austinite,hodgkinsonite,1.0
austinite,kesterite,1.0
austinite,queitite,1.0
austinite,zincaluminite,2.0
austinite,arsendescloizite,6.0
austinite,franklinfurnaceite,1.0
austinite,arsenbrackebuschite,3.0
austinite,zincowoodwardite,3.0
austinite,zincolibethenite,1.0
austinite,lennilenapeite,1.0
austinite,wilhelmkleinite,1.0
austinite,smithsonite,23.0
austinite,fahleite,1.0
austinite,hauckite,1.0
austinite,rosasite,27.0
austinite,baileychlore,3.0
austinite,renierite,1.0
austinite,ojuelaite,5.0
austinite,skorpionite,1.0
austinite,boyleite,1.0
austinite,minrecordite,2.0
austinite,minohlite,1.0
austinite,bianchite,3.0
austinite,ianbruceite,1.0
austinite,znucalite,1.0
austinite,zincgartrellite,1.0
austinite,theisite,1.0
austinite,lawsonbauerite,1.0
austinite,namuwite,4.0
austinite,changoite,1.0
austinite,zemannite,2.0
austinite,zaccagnaite,2.0
austinite,utahite,2.0
austinite,loseyite,1.0
austinite,davidlloydite,1.0
austinite,gerstmannite,1.0
raygrantite,willemite,1.0
phosphophyllite,parahopeite,4.0
phosphophyllite,hydrozincite,3.0
phosphophyllite,chalcophanite,2.0
phosphophyllite,hopeite,9.0
phosphophyllite,schoonerite,8.0
phosphophyllite,descloizite,1.0
phosphophyllite,manganflurlite,1.0
phosphophyllite,goslarite,2.0
phosphophyllite,flurlite,1.0
phosphophyllite,scholzite,5.0
phosphophyllite,ferronigerite-2n1s,1.0
phosphophyllite,hemimorphite,3.0
phosphophyllite,ecandrewsite,1.0
phosphophyllite,sphalerite,23.0
phosphophyllite,plimerite,3.0
phosphophyllite,schulenbergite,1.0
phosphophyllite,tetrahedrite-(zn),2.0
phosphophyllite,petrukite,1.0
phosphophyllite,glaucocerinite,1.0
phosphophyllite,nizamoffite,2.0
phosphophyllite,aurichalcite,1.0
phosphophyllite,zincostrunzite,2.0
phosphophyllite,gahnite,3.0
phosphophyllite,kottigite,1.0
phosphophyllite,zincoberaunite,1.0
phosphophyllite,ferraioloite,1.0
phosphophyllite,wurtzite,3.0
phosphophyllite,faustite,1.0
phosphophyllite,willemite,1.0
phosphophyllite,jungite,1.0
phosphophyllite,veszelyite,1.0
phosphophyllite,tarbuttite,3.0
phosphophyllite,falsterite,1.0
phosphophyllite,parascholzite,6.0
phosphophyllite,schmidite,1.0
phosphophyllite,sakuraiite,1.0
phosphophyllite,wilhelmgumbelite,1.0
phosphophyllite,serpierite,1.0
phosphophyllite,zincite,1.0
phosphophyllite,steinmetzite,2.0
phosphophyllite,zinc,1.0
phosphophyllite,kesterite,1.0
phosphophyllite,zincolibethenite,1.0
phosphophyllite,smithsonite,3.0
phosphophyllite,rosasite,2.0
phosphophyllite,renierite,1.0
phosphophyllite,reaphookhillite,1.0
phosphophyllite,stannoidite,1.0
phosphophyllite,hillite,1.0
phosphophyllite,wildenauerite,1.0
stilleite,sphalerite,3.0
stilleite,tetrahedrite-(zn),1.0
stilleite,paratacamite,1.0
stilleite,minrecordite,1.0
parahopeite,hydrozincite,4.0
parahopeite,chalcophanite,2.0
parahopeite,hopeite,8.0
parahopeite,schoonerite,2.0
parahopeite,descloizite,1.0
parahopeite,manganflurlite,1.0
parahopeite,ktenasite,2.0
parahopeite,adamite,1.0
parahopeite,goslarite,1.0
parahopeite,flurlite,1.0
parahopeite,scholzite,5.0
parahopeite,simonkolleite,1.0
parahopeite,hemimorphite,7.0
parahopeite,sphalerite,8.0
parahopeite,plimerite,1.0
parahopeite,schulenbergite,2.0
parahopeite,brianyoungite,1.0
parahopeite,aurichalcite,4.0
parahopeite,zincostrunzite,1.0
parahopeite,kottigite,1.0
parahopeite,zincoberaunite,1.0
parahopeite,wurtzite,1.0
parahopeite,zincolivenite,1.0
parahopeite,wulfingite,1.0
parahopeite,willemite,2.0
parahopeite,jungite,1.0
parahopeite,veszelyite,1.0
parahopeite,tarbuttite,5.0
parahopeite,paratacamite,1.0
parahopeite,parascholzite,3.0
parahopeite,schmidite,1.0
parahopeite,wilhelmgumbelite,1.0
parahopeite,serpierite,2.0
parahopeite,zincite,2.0
parahopeite,steinmetzite,1.0
parahopeite,zincolibethenite,1.0
parahopeite,smithsonite,5.0
parahopeite,rosasite,5.0
parahopeite,renierite,1.0
parahopeite,reaphookhillite,1.0
parahopeite,bianchite,1.0
parahopeite,ianbruceite,1.0
parahopeite,hillite,1.0
parahopeite,wildenauerite,1.0
parahopeite,theisite,1.0
parahopeite,namuwite,1.0
franklinphilite,hemimorphite,1.0
franklinphilite,yeatmanite,1.0
franklinphilite,sphalerite,1.0
franklinphilite,genthelvite,1.0
franklinphilite,gahnite,1.0
franklinphilite,fowlerite,1.0
franklinphilite,willemite,1.0
franklinphilite,petedunnite,1.0
franklinphilite,zincite,1.0
franklinphilite,chlorophoenicite,1.0
franklinphilite,smithsonite,1.0
franklinphilite,franklinite,1.0
franklinphilite,hendricksite,1.0
ehrleite,hopeite,1.0
ehrleite,scholzite,1.0
ehrleite,sphalerite,1.0
ehrleite,parascholzite,1.0
ferrilotharmeyerite,jamesite,1.0
ferrilotharmeyerite,hydrozincite,2.0
ferrilotharmeyerite,chalcophanite,2.0
ferrilotharmeyerite,gordaite,1.0
