from,to,weight
sogdianite,calciocatapleiite,1.0
sogdianite,calciohilairite,1.0
sogdianite,kentbrooksite,1.0
sogdianite,zirsilite-(ce),1.0
sogdianite,elpidite,1.0
sogdianite,zircon,2.0
sogdianite,bazirite,1.0
sogdianite,zeravshanite,1.0
sogdianite,eudialyte,1.0
sogdianite,yusupovite,1.0
sogdianite,carbokentbrooksite,1.0
sogdianite,zektzerite,2.0
loudounite,zircon,1.0
voronkovite,lovozerite,1.0
voronkovite,dualite,1.0
voronkovite,elpidite,1.0
voronkovite,gaidonnayite,1.0
voronkovite,zircon,1.0
voronkovite,baddeleyite,1.0
voronkovite,hiortdahlite,1.0
voronkovite,umbite,1.0
voronkovite,burpalite,1.0
voronkovite,manganoeudialyte,1.0
voronkovite,terskite,1.0
voronkovite,hilairite,1.0
calciocatapleiite,calciohilairite,2.0
calciocatapleiite,catapleiite,5.0
calciocatapleiite,zirconolite,1.0
calciocatapleiite,rosenbuschite,1.0
calciocatapleiite,kentbrooksite,1.0
calciocatapleiite,vlasovite,3.0
calciocatapleiite,zirsilite-(ce),1.0
calciocatapleiite,armstrongite,2.0
calciocatapleiite,elpidite,4.0
calciocatapleiite,calzirtite,1.0
calciocatapleiite,gittinsite,3.0
calciocatapleiite,wadeite,1.0
calciocatapleiite,ferrokentbrooksite,1.0
calciocatapleiite,zircon,7.0
calciocatapleiite,lavenite,1.0
calciocatapleiite,baddeleyite,2.0
calciocatapleiite,hiortdahlite,1.0
calciocatapleiite,burpalite,1.0
calciocatapleiite,wohlerite,1.0
calciocatapleiite,seidozerite,1.0
calciocatapleiite,eudialyte,5.0
calciocatapleiite,zektzerite,1.0
calciocatapleiite,hilairite,1.0
calciocatapleiite,dalyite,2.0
calciohilairite,lovozerite,2.0
calciohilairite,catapleiite,6.0
calciohilairite,petarasite,1.0
calciohilairite,rosenbuschite,1.0
calciohilairite,kentbrooksite,1.0
calciohilairite,lemoynite,2.0
calciohilairite,johnsenite-(ce),1.0
calciohilairite,vlasovite,1.0
calciohilairite,normandite,1.0
calciohilairite,zirsilite-(ce),1.0
calciohilairite,armstrongite,1.0
calciohilairite,elpidite,5.0
calciohilairite,laverovite,1.0
