from,to,weight
Actinolite,Actinolite,100.0
Actinolite,Aegirine,13.0
Actinolite,Albite,31.0
Actinolite,Almandine,3.0
Actinolite,Apatite,7.0
Actinolite,Aragonite,16.0
Actinolite,Augite,5.0
Actinolite,Biotite,23.0
Actinolite,Calcite,13.0
Actinolite,Chlorite,25.0
Actinolite,Cordierite,2.0
Actinolite,Diopside,6.0
Actinolite,Dolomite,6.0
Actinolite,Epidote,30.0
Actinolite,Forsterite,2.0
Actinolite,Glaucophane,6.0
Actinolite,Graphite,2.0
Actinolite,Grossular,3.0
Actinolite,Hornblende,19.0
Actinolite,Ilmenite,2.0
Actinolite,Jadeite,3.0
Actinolite,Kyanite,2.0
Actinolite,Magnetite,13.0
Actinolite,Muscovite,11.0
Actinolite,Omphacite,9.0
Actinolite,Orthpyroxene,5.0
Actinolite,Paragonite,6.0
Actinolite,Plagioclase,39.0
Actinolite,Prehnite,13.0
Actinolite,Pumpellyite,10.0
Actinolite,Pyrite,5.0
Actinolite,Pyrope,9.0
Actinolite,Quartz,41.0
Actinolite,Richterite,25.0
Actinolite,Riebeckite,6.0
Actinolite,Rutile,8.0
Actinolite,Serpentine,4.0
Actinolite,Spinel,3.0
Actinolite,Staurolite,4.0
Actinolite,Titanite,5.0
Actinolite,Tridymite,2.0
Actinolite,Zeolite,25.0
Actinolite,Zoisite,1.0
Aegirine,Aegirine,100.0
Aegirine,Albite,13.0
Aegirine,Almandine,38.0
Aegirine,Braunite,14.0
Aegirine,Chlorite,6.0
Aegirine,Diopside,19.0
Aegirine,Epidote,6.0
Aegirine,Glaucophane,13.0
Aegirine,Grossular,6.0
Aegirine,Hedenbergite,6.0
Aegirine,Hematite,6.0
Aegirine,Hornblende,13.0
Aegirine,Lawsonite,9.0
Aegirine,Magnetite,19.0
Aegirine,Muscovite,13.0
Aegirine,Perovskite,7.0
Aegirine,Phlogopite,6.0
Aegirine,Plagioclase,38.0
Aegirine,Pyrite,13.0
Aegirine,Quartz,38.0
Aegirine,Rhodonite,12.0
Aegirine,Riebeckite,6.0
Aegirine,Rutile,6.0
Aegirine,Spessartine,11.0
Aegirine,Titanite,6.0
Aegirine,Tridymite,6.0
Aegirine,Wollastonite,13.0
Aegirine,Zoisite,6.0
Albite,Albite,100.0
Albite,Almandine,22.0
Albite,Andalusite,2.0
Albite,Anthophyllite,7.0
Albite,Apatite,9.0
Albite,Aragonite,33.0
Albite,Augite,3.0
Albite,Biotite,42.0
Albite,Calcite,11.0
Albite,Chlorite,32.0
Albite,Chloritoid,11.0
Albite,Coesite,9.0
Albite,Cordierite,7.0
Albite,Corundum,3.0
Albite,Cristobalite,10.0
Albite,Diamond,10.0
Albite,Diopside,3.0
Albite,Dolomite,6.0
Albite,Epidote,20.0
Albite,Forsterite,2.0
Albite,Glaucophane,7.0
Albite,Graphite,18.0
Albite,Grossular,1.0
Albite,Hematite,4.0
Albite,Hercynite,9.0
Albite,Hornblende,11.0
Albite,Ilmenite,2.0
Albite,Jadeite,12.0
Albite,K-spar,15.0
Albite,Kyanite,2.0
Albite,Lawsonite,19.0
Albite,Magnetite,18.0
Albite,Melilite,1.0
Albite,Mullite,3.0
Albite,Muscovite,35.0
Albite,Omphacite,9.0
Albite,Orthpyroxene,2.0
Albite,Paragonite,6.0
Albite,Periclase,2.0
Albite,Phlogopite,4.0
Albite,Piemontite,14.0
Albite,Plagioclase,22.0
Albite,Prehnite,25.0
Albite,Pumpellyite,50.0
Albite,Pyrite,10.0
Albite,Pyrope,7.0
Albite,Quartz,57.0
Albite,Riebeckite,25.0
Albite,Rutile,9.0
Albite,Sanidine,5.0
Albite,Si-glass,7.0
Albite,Sillimanite,3.0
Albite,Spinel,3.0
Albite,Talc,3.0
