"Mineral Name","Mineral Name (plain)","Mineral Name (HTML)","RRUFF Chemistry (plain)","Chemistry Elements","IMA Number","Country of Type Locality","IMA Status","Structural Groupname","Fleischers Groupname","Space Groups","Valence Elements","IMA Mineral Symbol","Paragenetic Modes"
"Ahrensite","Ahrensite","Ahrensite","SiFe2+2O4","Si Fe O","IMA2013-028","Morocco (meteorite)","Approved","Spinel"," ","Fd-3m|Fd3m","Si Fe^2+ O","Ahr","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Brunogeierite","Brunogeierite","Brunogeierite","Fe2+2Ge4+O4","Fe Ge O","IMA1972-004","Namibia","Approved,Redefined","Spinel","spinel","Fd3m","Fe^2+ Ge^4+ O","Bng","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Chihmingite","Chihmingite","Chihmingite","Ni2+Al2O4","Ni Al O","IMA2022-010","Norway","Approved,Pending publication","Spinel"," ","Fd-3m","Ni^2+ Al O","Cim","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
"Chromite","Chromite","Chromite","Fe2+Cr3+2O4","Fe Cr O","","France","Approved,Grandfathered","Spinel","spinel","Fd3m|Fd-3m","Fe^2+ Cr^3+ O","Chr","Abiotic, Biotic, Primary, Secondary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates, Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Chukochenite","Chukochenite","Chukochenite","(Li0.5Al0.5)Al2O4","Li Al O","IMA2018-132a","China","Approved","Spinel"," ","Imma","Li Al O","Ckc","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Cochromite","Cochromite","Cochromite","Co2+Cr3+2O4","Co Cr O","IMA1978-049","South Africa","Approved","Spinel","spinel","Fd3m","Co^2+ Cr^3+ O","Cchr","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Coulsonite","Coulsonite","Coulsonite","Fe2+V3+2O4","Fe V O","","India","Approved,Redefined","Spinel","spinel","Fd3m","Fe^2+ V^3+ O","Cou","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Cuprospinel","Cuprospinel","Cuprospinel","Cu2+Fe3+2O4","Cu Fe O","IMA1971-020","Canada","Approved","Spinel","spinel","Fd3m|I4_1/amd","Cu^2+ Fe^3+ O","Cspl","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Dellagiustaite","Dellagiustaite","Dellagiustaite","V2+Al2O4","V Al O","IMA2017-101","Argentina","Approved","Spinel"," ","Fd-3m","V^2+ Al O","Dgt","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Deltalumite","Deltalumite","Deltalumite","(Al0.67[box]0.33)Al2O4","Al O","IMA2016-027","Russia","Approved","Spinel"," ","P-4m2","Al O","Dal","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
