from,to,weight
Tegengrenite,Gahnite,7.0
Tegengrenite,Magnesioferrite,7.0
Tegengrenite,Jacobsite,7.0
Tegengrenite,Filipstadite,7.0
Tegengrenite,Manganochromite,1.0
Tegengrenite,Franklinite,4.0
Tegengrenite,Spinel,7.0
Tegengrenite,Chromite,1.0
Tegengrenite,Galaxite,7.0
Tegengrenite,Hercynite,3.0
Tegengrenite,Hausmannite,7.0
Tegengrenite,Vuorelainenite,1.0
Tegengrenite,Maghemite,1.0
Tegengrenite,Magnetite,7.0
Gahnite,Coulsonite,20.0
Gahnite,Ringwoodite,13.0
Gahnite,Titanomaghemite,3.0
Gahnite,Magnesioferrite,49.0
Gahnite,Jacobsite,97.0
Gahnite,Dellagiustaite,2.0
Gahnite,Filipstadite,7.0
Gahnite,Cochromite,3.0
Gahnite,Magnesiochromite,86.0
Gahnite,Manganochromite,17.0
Gahnite,Qandilite,13.0
Gahnite,Franklinite,77.0
Gahnite,Spinel,414.0
Gahnite,Hetaerolite,50.0
Gahnite,Thermaerogenite,7.0
Gahnite,Chromite,287.0
Gahnite,Galaxite,26.0
Gahnite,Magnesiocoulsonite,1.0
Gahnite,Zincochromite,24.0
Gahnite,Hercynite,222.0
Gahnite,Hausmannite,124.0
Gahnite,Trevorite,14.0
Gahnite,Vuorelainenite,16.0
Gahnite,Ahrensite,3.0
Gahnite,Brunogeierite,4.0
Gahnite,Cuprospinel,10.0
Gahnite,Maghemite,99.0
Gahnite,Deltalumite,3.0
Gahnite,Magnetite,827.0
Coulsonite,Ringwoodite,1.0
Coulsonite,Titanomaghemite,1.0
Coulsonite,Magnesioferrite,3.0
Coulsonite,Jacobsite,10.0
Coulsonite,Cochromite,1.0
Coulsonite,Magnesiochromite,16.0
Coulsonite,Manganochromite,4.0
Coulsonite,Qandilite,3.0
Coulsonite,Franklinite,9.0
Coulsonite,Spinel,24.0
Coulsonite,Hetaerolite,9.0
Coulsonite,Thermaerogenite,1.0
Coulsonite,Chromite,43.0
Coulsonite,Galaxite,4.0
Coulsonite,Magnesiocoulsonite,1.0
Coulsonite,Zincochromite,3.0
Coulsonite,Hercynite,21.0
Coulsonite,Hausmannite,13.0
Coulsonite,Trevorite,5.0
Coulsonite,Vuorelainenite,7.0
Coulsonite,Ahrensite,2.0
Coulsonite,Cuprospinel,2.0
Coulsonite,Maghemite,14.0
Coulsonite,Deltalumite,1.0
Coulsonite,Magnetite,47.0
Ringwoodite,Magnesioferrite,10.0
Ringwoodite,Jacobsite,8.0
Ringwoodite,Dellagiustaite,1.0
Ringwoodite,Magnesiochromite,8.0
Ringwoodite,Manganochromite,1.0
Ringwoodite,Qandilite,1.0
Ringwoodite,Franklinite,5.0
Ringwoodite,Spinel,40.0
Ringwoodite,Hetaerolite,3.0
Ringwoodite,Chromite,60.0
Ringwoodite,Galaxite,1.0
Ringwoodite,Zincochromite,2.0
Ringwoodite,Hercynite,22.0
Ringwoodite,Hausmannite,12.0
Ringwoodite,Trevorite,4.0
Ringwoodite,Ahrensite,8.0
Ringwoodite,Cuprospinel,1.0
Ringwoodite,Maghemite,15.0
Ringwoodite,Magnetite,47.0
Titanomaghemite,Magnesioferrite,3.0
Titanomaghemite,Jacobsite,3.0
Titanomaghemite,Cochromite,1.0
Titanomaghemite,Magnesiochromite,3.0
Titanomaghemite,Qandilite,2.0
Titanomaghemite,Franklinite,4.0
Titanomaghemite,Spinel,11.0
Titanomaghemite,Hetaerolite,2.0
Titanomaghemite,Chromite,11.0
Titanomaghemite,Zincochromite,1.0
Titanomaghemite,Hercynite,5.0
Titanomaghemite,Hausmannite,3.0
Titanomaghemite,Trevorite,5.0
Titanomaghemite,Cuprospinel,1.0
Titanomaghemite,Maghemite,12.0
Titanomaghemite,Magnetite,16.0
Magnesioferrite,Jacobsite,47.0
Magnesioferrite,Dellagiustaite,1.0
Magnesioferrite,Filipstadite,7.0
Magnesioferrite,Cochromite,2.0
Magnesioferrite,Magnesiochromite,46.0
Magnesioferrite,Manganochromite,3.0
Magnesioferrite,Qandilite,12.0
Magnesioferrite,Franklinite,26.0
Magnesioferrite,Spinel,206.0
Magnesioferrite,Hetaerolite,13.0
Magnesioferrite,Thermaerogenite,1.0
Magnesioferrite,Chromite,123.0
Magnesioferrite,Galaxite,15.0
Magnesioferrite,Magnesiocoulsonite,2.0
Magnesioferrite,Zincochromite,2.0
Magnesioferrite,Hercynite,91.0
Magnesioferrite,Hausmannite,41.0
Magnesioferrite,Trevorite,11.0
Magnesioferrite,Vuorelainenite,5.0
Magnesioferrite,Ahrensite,2.0
Magnesioferrite,Brunogeierite,1.0
Magnesioferrite,Cuprospinel,2.0
Magnesioferrite,Maghemite,75.0
Magnesioferrite,Deltalumite,1.0
Magnesioferrite,Magnetite,265.0
Jacobsite,Dellagiustaite,1.0
Jacobsite,Filipstadite,7.0
Jacobsite,Cochromite,3.0
Jacobsite,Magnesiochromite,51.0
Jacobsite,Manganochromite,6.0
Jacobsite,Qandilite,8.0
Jacobsite,Franklinite,56.0
Jacobsite,Spinel,146.0
Jacobsite,Hetaerolite,43.0
Jacobsite,Thermaerogenite,2.0
Jacobsite,Chromite,135.0
Jacobsite,Galaxite,91.0
Jacobsite,Magnesiocoulsonite,1.0
Jacobsite,Zincochromite,12.0
Jacobsite,Hercynite,94.0
Jacobsite,Hausmannite,329.0
Jacobsite,Trevorite,10.0
Jacobsite,Vuorelainenite,7.0
Jacobsite,Ahrensite,4.0
