mindat_ID,location name,count,mo_spinel_minerals
14319,Afghanistan,4,"Magnetite,Spinel,Chromite,Magnesioferrite"
5577,"Badakhshan, Afghanistan",2,"Magnetite,Spinel"
310150,"Arghanj Khwa District, Badakhshan, Afghanistan",1,Magnetite
123220,"Furmoragh Fe Deposit (Furmorah; Furmarah; Furmarak; Furmurgh), Arghanj Khwa District, Badakhshan, Afghanistan",1,Magnetite
227610,"Baharak District, Badakhshan, Afghanistan",1,Magnetite
123221,"Syakh Jar Fe Deposit (Syarh Jar; Sia Jar), Baharak District, Badakhshan, Afghanistan",1,Magnetite
218370,"Ishkashim District, Badakhshan, Afghanistan",1,Spinel
0,"Kukh-i-Lal (Kukhilal; Kuhi-lal), Ishkashim District, Badakhshan, Afghanistan",1,Spinel
158071,"Gem Spinel Deposit, Kukh-i-Lal (Kukhilal; Kuhi-lal), Ishkashim District, Badakhshan, Afghanistan",1,Spinel
4391,"Muzeinaya Pegmatite Vein, Gem Spinel Deposit, Kukh-i-Lal (Kukhilal; Kuhi-lal), Ishkashim District, Badakhshan, Afghanistan",1,Spinel
227600,"Jurm District, Badakhshan, Afghanistan",1,Magnetite
227630,"Koksha Valley (Kokscha Valley; Kokcha Valley), Jurm District, Badakhshan, Afghanistan",1,Magnetite
227680,"Unnamed Fe Occurrence, Koksha Valley (Kokscha Valley; Kokcha Valley), Jurm District, Badakhshan, Afghanistan",1,Magnetite
227688,"Unnamed Cu Occurrence, Jurm District, Badakhshan, Afghanistan",1,Magnetite
227601,"Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan",2,"Spinel,Magnetite"
6990,"Koksha Valley (Kokscha Valley; Kokcha Valley), Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan",2,"Spinel,Magnetite"
186001,"Khandjee, Koksha Valley (Kokscha Valley; Kokcha Valley), Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan",1,Spinel
256247,"Purple Spinel Occurrence, Koksha Valley (Kokscha Valley; Kokcha Valley), Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan",1,Spinel
227629,"Sar-e Sang (Sar Sang; Sary Sang), Koksha Valley (Kokscha Valley; Kokcha Valley), Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan",2,"Magnetite,Spinel"
11,"Ladjuar Medam (Lajur Madan; Lapis-lazuli Mine; Lapis-lazuli Deposit), Sar-e Sang (Sar Sang; Sary Sang), Koksha Valley (Kokscha Valley; Kokcha Valley), Khash & Kuran Wa Munjan Districts, Badakhshan, Afghanistan",2,"Magnetite,Spinel"
227637,"Shighnan District, Badakhshan, Afghanistan",1,Magnetite
227642,"Dozah-Dara Fe Occurrence, Shighnan District, Badakhshan, Afghanistan",1,Magnetite
227685,"Unnamed Fe Occurrence (1), Shighnan District, Badakhshan, Afghanistan",1,Magnetite
227686,"Unnamed Fe Occurrence (2), Shighnan District, Badakhshan, Afghanistan",1,Magnetite
227675,"Shuhada District, Badakhshan, Afghanistan",1,Magnetite
227656,"Kalawoch Fe Occurrence, Shuhada District, Badakhshan, Afghanistan",1,Magnetite
227655,"Nakhchir Par Au Occurrence, Shuhada District, Badakhshan, Afghanistan",1,Magnetite
227668,"Unnamed Au-Cu Occurrence (1), Shuhada District, Badakhshan, Afghanistan",1,Magnetite
227683,"Tagab District, Badakhshan, Afghanistan",1,Magnetite
227682,"Unnamed Fe Occurrence (1), Tagab District, Badakhshan, Afghanistan",1,Magnetite
227684,"Unnamed Fe Occurrence (2), Tagab District, Badakhshan, Afghanistan",1,Magnetite
123201,"Badghis, Afghanistan",1,Magnetite
227274,"Jawand District, Badghis, Afghanistan",1,Magnetite
30569,"Ahankashan Au-Cu-Pb-Zn-Mo Deposit, Jawand District, Badghis, Afghanistan",1,Magnetite
30594,"Baghlan, Afghanistan",1,Magnetite
227476,"Tala Wa Barfak District, Baghlan, Afghanistan",1,Magnetite
227470,"Dara Alasang Cu-polymetallic Deposit (Darra Alasang; Darrah Alasang; Darra-i-Alansang), Tala Wa Barfak District, Baghlan, Afghanistan",1,Magnetite
227458,"Unnamed Cu Occurrence (1), Tala Wa Barfak District, Baghlan, Afghanistan",1,Magnetite
30789,"Bamyan, Afghanistan",1,Magnetite
227101,"Shibar District, Bamyan, Afghanistan",1,Magnetite
123217,"Hajigak Fe-Pb-Ag Deposit, Shibar District, Bamyan, Afghanistan",1,Magnetite
226642,"Unnamed Fe Occurrence, Shibar District, Bamyan, Afghanistan",1,Magnetite
226698,"Daykundi, Afghanistan",1,Magnetite
227205,"Gizab District, Daykundi, Afghanistan",1,Magnetite
43459,"Buzghala Au-Cu Occurrence, Gizab District, Daykundi, Afghanistan",1,Magnetite
40482,"Farah, Afghanistan",1,Magnetite
227372,"Anar Dara District, Farah, Afghanistan",1,Magnetite
227388,"Korezak Fe Occurrence (Karezak), Anar Dara District, Farah, Afghanistan",1,Magnetite
48707,"Faryab, Afghanistan",1,Magnetite
227423,"Kohistan District, Faryab, Afghanistan",1,Magnetite
227387,"Kohi Mine, Kohistan District, Faryab, Afghanistan",1,Magnetite
227429,"Seh-Koh Cu-Fe Occurrence (Sekoh), Kohistan District, Faryab, Afghanistan",1,Magnetite
30524,"Ghazni, Afghanistan",1,Magnetite
226932,"Jaghuri District, Ghazni, Afghanistan",1,Magnetite
226569,"Maghn Sn Occurrence, Jaghuri District, Ghazni, Afghanistan",1,Magnetite
226597,"Nayak Fe-B Occurrence (Naylak; Neylak), Jaghuri District, Ghazni, Afghanistan",1,Magnetite
226598,"Saydo Cu Occurrence, Jaghuri District, Ghazni, Afghanistan",1,Magnetite
226934,"Malistan District, Ghazni, Afghanistan",1,Magnetite
226568,"Qole Khushi Fe-Pb-Zn Occurrence (Kwali-Kushi), Malistan District, Ghazni, Afghanistan",1,Magnetite
226935,"Muqur District, Ghazni, Afghanistan",1,Magnetite
226590,"Golakhel Au Occurrence (Gulyakhel), Muqur District, Ghazni, Afghanistan",1,Magnetite
226594,"Larga Sn-Pb-Zn-Cu Occurrence (Largha), Muqur District, Ghazni, Afghanistan",1,Magnetite
30793,"Herat, Afghanistan",1,Magnetite
227366,"Adraskan District, Herat, Afghanistan",1,Magnetite
227279,"Dahana (Dakana), Adraskan District, Herat, Afghanistan",1,Magnetite
30791,"Band-i-Medira Cu-Sn Occurrence, Dahana (Dakana), Adraskan District, Herat, Afghanistan",1,Magnetite
227280,"Dahana Cu-Pb-Zn Occurrence, Dahana (Dakana), Adraskan District, Herat, Afghanistan",1,Magnetite
227311,"Misgaran Mine, Adraskan District, Herat, Afghanistan",1,Magnetite
227370,"Karukh District, Herat, Afghanistan",1,Magnetite
227307,"Kushast Fe Occurrence, Karukh District, Herat, Afghanistan",1,Magnetite
227324,"Rod-i-Karukh Fe Occurrence (Rod-i-Karuh), Karukh District, Herat, Afghanistan",1,Magnetite
227373,"Shindand District, Herat, Afghanistan",1,Magnetite
227397,"Shand Sn-Bi Occurrence, Shindand District, Herat, Afghanistan",1,Magnetite
30596,"Kabul, Afghanistan",3,"Chromite,Magnetite,Spinel"
226903,"Chahar Asyab District, Kabul, Afghanistan",1,Chromite
226392,"Werek Cr Occurrence, Chahar Asyab District, Kabul, Afghanistan",1,Chromite
226444,"Dih Sabz District, Kabul, Afghanistan",1,Magnetite
226443,"Dih Sabz Fe Occurrence (Deh-i-Sabz), Dih Sabz District, Kabul, Afghanistan",1,Magnetite
226475,"Shaykhu Fe Occurrence, Dih Sabz District, Kabul, Afghanistan",1,Magnetite
226902,"Khaki Jabar District (Khaki Jabbar District), Kabul, Afghanistan",1,Magnetite
226501,"Jawhar Cu Deposit (Jawkhar), Khaki Jabar District (Khaki Jabbar District), Kabul, Afghanistan",1,Magnetite
226904,"Paghman District, Kabul, Afghanistan",1,Magnetite
226499,"Kajdara Fe-Cu Occurrence (Khaidarabad), Paghman District, Kabul, Afghanistan",1,Magnetite
226472,"Paghman Fe Deposit, Paghman District, Kabul, Afghanistan",1,Magnetite
43466,"Surobi District (Sorobi District), Kabul, Afghanistan",1,Spinel
2,"Jegdalek Ruby Deposit (Jagdalek; Jagdalak; Jagdalik), Surobi District (Sorobi District), Kabul, Afghanistan",1,Spinel
30597,"Kandahar, Afghanistan",2,"Chromite,Magnetite"
226857,"Kandahar District, Kandahar, Afghanistan",1,Chromite
294644,"Kandahar (Afghanistan) Meteorite, Kandahar District, Kandahar, Afghanistan",1,Chromite
226653,"Khakrez District, Kandahar, Afghanistan",1,Magnetite
226661,"Asad Kalay Fe Deposit (Kalai Assad; Ghala-i-Assad), Khakrez District, Kandahar, Afghanistan",1,Magnetite
226659,"Ghbargay Cu-Bi-Sn Occurrence (Gbarghey; Ghbargei), Khakrez District, Kandahar, Afghanistan",1,Magnetite
226695,"Tambil Fe Occurrence, Khakrez District, Kandahar, Afghanistan",1,Magnetite
226870,"Maywand District, Kandahar, Afghanistan",1,Chromite
226679,"Unnamed Cr Occurrence, Maywand District, Kandahar, Afghanistan",1,Chromite
226863,"Nesh District (Naish District), Kandahar, Afghanistan",1,Magnetite
30616,"Aumiyt Fe Occurrence, Nesh District (Naish District), Kandahar, Afghanistan",1,Magnetite
226662,"Haji Alam Kalay Fe Deposit, Nesh District (Naish District), Kandahar, Afghanistan",1,Magnetite
226861,"Shah Wali Kot District, Kandahar, Afghanistan",2,"Magnetite,Chromite"
226655,"Darra-i-Nur Mine, Shah Wali Kot District, Kandahar, Afghanistan",1,Magnetite
226675,"Shin-Ghar Sn-Cu Deposit, Shah Wali Kot District, Kandahar, Afghanistan",1,Magnetite
226680,"Unnamed Cr Occurrence, Shah Wali Kot District, Kandahar, Afghanistan",1,Chromite
226691,"Zidan No. 1 Sn Occurrence (Ziadan), Shah Wali Kot District, Kandahar, Afghanistan",1,Magnetite
226674,"Zhari District, Kandahar, Afghanistan",1,Magnetite
226667,"Lom Fe Occurrence, Zhari District, Kandahar, Afghanistan",1,Magnetite
30598,"Kapisa, Afghanistan",1,Magnetite
226873,"Koh Band District, Kapisa, Afghanistan",1,Magnetite
226297,"Duzd Dara Fe Deposit (Doz Dara), Koh Band District, Kapisa, Afghanistan",1,Magnetite
227133,"Kohistan District, Kapisa, Afghanistan",1,Magnetite
226318,"Hesar Fe Occurrence (Hazar), Kohistan District, Kapisa, Afghanistan",1,Magnetite
226352,"Khost, Afghanistan",1,Chromite
226874,"Spera District, Khost, Afghanistan",1,Chromite
226527,"Shadal (Shodal), Spera District, Khost, Afghanistan",1,Chromite
30599,"Logar, Afghanistan",2,"Magnetite,Chromite"
9,"Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",2,"Magnetite,Chromite"
30621,"Aynak Cu Deposit (Mes Aynak), Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Magnetite
30622,"Aynak Central Prospect, Aynak Cu Deposit (Mes Aynak), Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Magnetite
226383,"Makhmudgazi Cr Deposit, Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Chromite
226384,"Makhmudgazi No. 1 Occurrence, Makhmudgazi Cr Deposit, Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Chromite
226385,"Makhmudgazi No. 2 Occurrence, Makhmudgazi Cr Deposit, Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Chromite
226476,"Shinkay Fe Occurrence (Sheenkay; Sheenky), Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Magnetite
226883,"Pul-i-Alam District, Logar, Afghanistan",1,Chromite
226379,"Koh-i-Kalawur Cr Occurrence (Koh-e-Kalawur), Pul-i-Alam District, Logar, Afghanistan",1,Chromite
226380,"Kolangar Cr Deposit (Kulangar; Deposit No. 10), Pul-i-Alam District, Logar, Afghanistan",1,Chromite
226381,"Lowgar Cr Deposit (Loghar; Logar), Pul-i-Alam District, Logar, Afghanistan",1,Chromite
30539,"Nangarhar, Afghanistan",2,"Chromite,Magnetite"
226357,"Hisarak District, Nangarhar, Afghanistan",1,Chromite
226228,"Hisarak Cr Deposit (Hezarak), Hisarak District, Nangarhar, Afghanistan",1,Chromite
188582,"Sperkaw Cr Deposit, Hisarak District, Nangarhar, Afghanistan",1,Chromite
188777,"Khogyani District, Nangarhar, Afghanistan",1,Magnetite
226917,"Spin Ghar Range (Speen Ghar Range), Khogyani District, Nangarhar, Afghanistan",1,Magnetite
211209,"Marki Khel, Spin Ghar Range (Speen Ghar Range), Khogyani District, Nangarhar, Afghanistan",1,Magnetite
30600,"Oruzgan, Afghanistan",1,Magnetite
226955,"Khas Uruzgan District, Oruzgan, Afghanistan",1,Magnetite
227539,"Unnamed Cu Occurrence (4), Khas Uruzgan District, Oruzgan, Afghanistan",1,Magnetite
227540,"Unnamed Cu Occurrence (5), Khas Uruzgan District, Oruzgan, Afghanistan",1,Magnetite
30779,"Panjshir, Afghanistan",2,"Magnesioferrite,Magnetite"
227105,"Khinj District, Panjshir, Afghanistan",2,"Magnesioferrite,Magnetite"
272250,"Panjsher Valley Slag Deposits, Khinj District, Panjshir, Afghanistan",2,"Magnesioferrite,Magnetite"
30940,"Parwan, Afghanistan",1,Chromite
227156,"Kohi Safi District, Parwan, Afghanistan",1,Chromite
226325,"Jurghati Cr Occurrence, Kohi Safi District, Parwan, Afghanistan",1,Chromite
12359,"Wardak, Afghanistan",2,"Magnetite,Chromite"
227096,"Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
226618,"Chuli Fe Occurrence (Chuy), Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
