from,to,weight
H,H,4
H,O,4
H,F,1
H,S,1
H,Cl,3
H,K,1
H,Fe,1
H,Cu,2
H,Zn,1
H,Ag,4
H,Te,1
H,Pb,3
O,H,4
O,O,8
O,F,1
O,S,3
O,Cl,5
O,K,1
O,V,1
O,Fe,1
O,Cu,4
O,Zn,1
O,As,2
O,Ag,8
O,Sb,2
O,Te,1
O,Hg,2
O,Pb,5
F,H,1
F,O,1
F,F,1
F,Cl,1
F,Ag,1
F,Pb,1
S,H,1
S,O,3
S,S,164
S,Cl,4
S,Mn,7
S,Fe,22
S,Ni,1
S,Cu,50
S,Zn,11
S,Ge,4
S,As,55
S,Se,4
S,Br,1
S,Pd,4
S,Ag,164
S,Cd,3
S,In,3
S,Sn,6
S,Sb,68
S,Te,7
S,I,2
S,Au,6
S,Hg,15
S,Tl,17
S,Pb,66
S,Bi,32
Cl,H,3
Cl,O,5
Cl,F,1
Cl,S,4
Cl,Cl,9
Cl,K,1
Cl,Cu,3
Cl,Zn,1
Cl,As,1
Cl,Br,1
Cl,Ag,9
Cl,Sb,1
Cl,Te,1
Cl,I,1
Cl,Hg,4
Cl,Pb,4
K,H,1
K,O,1
K,Cl,1
K,K,1
K,Cu,1
K,Ag,1
K,Pb,1
V,O,1
V,V,1
V,As,1
V,Ag,1
V,Hg,1
Mn,S,7
Mn,Mn,7
Mn,Fe,1
Mn,As,3
Mn,Ag,7
Mn,Cd,1
Mn,In,1
Mn,Sn,1
Mn,Sb,5
Mn,Pb,4
Fe,H,1
Fe,O,1
Fe,S,22
Fe,Mn,1
Fe,Fe,22
Fe,Ni,1
Fe,Cu,7
Fe,Zn,3
Fe,As,5
Fe,Se,1
Fe,Ag,22
Fe,Cd,1
Fe,In,2
Fe,Sn,3
Fe,Sb,8
Fe,Te,2
Fe,Hg,1
Fe,Tl,2
Fe,Pb,4
Fe,Bi,2
Ni,S,1
Ni,Fe,1
Ni,Ni,1
Ni,Ag,1
Cu,H,2
Cu,O,4
Cu,S,50
Cu,Cl,3
Cu,K,1
Cu,Fe,7
Cu,Cu,63
Cu,Zn,7
Cu,Ge,1
Cu,As,17
Cu,Se,7
Cu,Ag,63
Cu,Cd,1
Cu,In,1
Cu,Sn,1
Cu,Sb,19
Cu,Te,6
Cu,I,1
Cu,Au,3
Cu,Hg,6
Cu,Tl,5
Cu,Pb,23
