from,to,weight
H,H,911
H,Li,33
H,Be,16
H,B,60
H,C,55
H,N,25
H,O,911
H,F,107
H,Na,243
H,Mg,217
H,Al,911
H,Si,472
H,P,181
H,S,151
H,Cl,40
H,K,142
H,Ca,344
H,Ti,27
H,V,38
H,Cr,6
H,Mn,100
H,Fe,215
H,Co,1
H,Ni,11
H,Cu,48
H,Zn,40
H,Ga,2
H,Ge,4
H,As,49
H,Se,4
H,Rb,1
H,Sr,41
H,Y,14
H,Zr,3
H,Nb,6
H,Mo,4
H,Cd,1
H,Sn,7
H,Sb,6
H,Te,1
H,Cs,2
H,Ba,55
H,La,20
H,Ce,27
H,Nd,7
H,Sm,1
H,Yb,1
H,Ta,3
H,W,4
H,Hg,1
H,Tl,1
H,Pb,32
H,Bi,1
H,Th,7
H,U,23
Li,H,33
Li,Li,49
Li,Be,4
Li,B,8
Li,C,1
Li,O,46
Li,F,18
Li,Na,15
Li,Mg,6
Li,Al,49
Li,Si,36
Li,P,6
Li,Cl,1
Li,K,7
Li,Ca,7
Li,Mn,5
Li,Fe,5
Li,Rb,2
Li,Sr,1
Li,Cs,3
Li,Ba,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,16
Be,Li,4
Be,Be,39
Be,B,7
Be,O,39
Be,F,5
Be,Na,11
Be,Mg,10
Be,Al,39
Be,Si,28
Be,P,3
Be,Cl,1
Be,K,8
Be,Ca,16
Be,Ti,1
Be,Mn,2
Be,Fe,12
Be,Zn,2
Be,Rb,1
Be,Y,1
Be,Zr,1
Be,Sn,1
Be,Sb,1
Be,Cs,5
Be,La,1
Be,Ce,2
Be,Nd,1
Be,Th,2
Be,U,1
B,H,60
B,Li,8
B,Be,7
B,B,87
B,C,2
B,O,87
B,F,11
B,Na,23
B,Mg,32
B,Al,87
B,Si,68
B,S,3
B,Cl,5
B,K,7
B,Ca,29
B,Ti,3
B,V,1
B,Cr,1
B,Mn,8
B,Fe,26
B,As,2
B,Rb,1
B,Y,3
B,Zr,1
B,Nb,1
B,Sn,2
B,Sb,1
B,Cs,2
B,La,2
B,Ce,4
B,Nd,1
B,Ta,1
B,Th,2
B,U,1
C,H,55
C,Li,1
C,B,2
C,C,61
C,N,3
C,O,61
C,F,5
C,Na,19
C,Mg,11
C,Al,61
C,Si,21
C,P,7
C,S,12
C,Cl,7
C,K,5
C,Ca,22
C,V,1
C,Mn,2
C,Fe,3
C,Ni,1
C,Cu,1
C,Zn,1
C,Sr,4
C,Y,4
C,Ba,7
C,La,2
C,Ce,1
C,Nd,2
C,Pb,4
C,U,1
N,H,25
N,C,3
N,N,25
N,O,25
N,F,1
N,Na,2
N,Mg,2
N,Al,25
N,Si,6
N,P,5
N,S,12
N,Cl,3
N,K,4
N,Fe,5
N,Ni,3
N,Cu,3
N,Pb,1
O,H,911
O,Li,46
O,Be,39
O,B,87
O,C,61
O,N,25
O,O,1164
O,F,141
O,Na,327
O,Mg,288
O,Al,1164
O,Si,632
O,P,200
O,S,171
O,Cl,63
O,K,204
O,Ca,448
O,Sc,3
O,Ti,51
O,V,42
O,Cr,8
O,Mn,121
O,Fe,287
O,Co,1
O,Ni,12
O,Cu,56
O,Zn,45
O,Ga,2
O,Ge,4
O,As,63
O,Se,4
O,Rb,4
O,Sr,46
O,Y,18
O,Zr,9
O,Nb,9
O,Mo,4
O,Cd,1
O,Sn,11
O,Sb,10
O,Te,3
O,Cs,8
O,Ba,62
O,La,23
O,Ce,32
O,Nd,8
O,Sm,1
O,Yb,1
O,Ta,6
O,W,5
O,Hg,1
O,Tl,1
O,Pb,35
O,Bi,1
O,Th,7
O,U,23
F,H,107
F,Li,18
F,Be,5
F,B,11
F,C,5
F,N,1
F,O,141
F,F,157
F,Na,58
F,Mg,40
F,Al,157
F,Si,60
F,P,36
F,S,22
F,Cl,5
F,K,24
F,Ca,66
F,Ti,3
F,V,3
F,Cr,1
F,Mn,11
F,Fe,23
F,Cu,4
F,As,5
F,Rb,2
F,Sr,12
F,Y,7
F,Cd,1
F,Cs,3
F,Ba,12
F,La,1
F,Ce,6
F,Nd,2
F,Pb,4
F,Th,1
F,U,5
Na,H,243
Na,Li,15
Na,Be,11
Na,B,23
Na,C,19
Na,N,2
Na,O,327
Na,F,58
Na,Na,336
Na,Mg,91
Na,Al,336
Na,Si,232
Na,P,50
Na,S,47
Na,Cl,28
Na,K,102
Na,Ca,173
Na,Ti,12
Na,V,7
Na,Cr,3
Na,Mn,31
Na,Fe,75
Na,Cu,5
Na,Zn,5
Na,As,13
Na,Sr,20
Na,Y,1
Na,Zr,2
Na,Nb,3
Na,Sn,1
Na,Cs,3
Na,Ba,24
Na,Ce,1
Na,Ta,2
Na,Pb,2
Na,U,1
Mg,H,217
Mg,Li,6
Mg,Be,10
Mg,B,32
Mg,C,11
Mg,N,2
Mg,O,288
Mg,F,40
Mg,Na,91
Mg,Mg,291
Mg,Al,291
Mg,Si,179
Mg,P,40
Mg,S,21
Mg,Cl,10
Mg,K,47
Mg,Ca,125
Mg,Sc,1
Mg,Ti,26
Mg,V,10
Mg,Cr,6
Mg,Mn,44
Mg,Fe,117
Mg,Co,1
Mg,Ni,3
Mg,Cu,4
Mg,Zn,16
Mg,As,9
Mg,Sr,9
Mg,Y,1
Mg,Zr,3
Mg,Nb,2
Mg,Mo,2
Mg,Sn,5
Mg,Sb,3
Mg,Ba,18
Mg,La,2
Mg,Ce,8
Mg,W,1
Mg,Pb,2
Mg,U,1
Al,H,911
Al,Li,49
Al,Be,39
Al,B,87
Al,C,61
Al,N,25
Al,O,1164
Al,F,157
Al,Na,336
Al,Mg,291
Al,Al,1190
Al,Si,632
Al,P,200
Al,S,171
Al,Cl,63
Al,K,205
Al,Ca,456
Al,Sc,3
Al,Ti,51
Al,V,42
Al,Cr,8
Al,Mn,121
Al,Fe,293
Al,Co,1
Al,Ni,15
Al,Cu,61
Al,Zn,47
Al,Ga,2
Al,Ge,4
Al,As,63
Al,Se,4
Al,Rb,4
Al,Sr,47
Al,Y,18
Al,Zr,9
Al,Nb,9
Al,Mo,4
Al,Cd,1
Al,Sn,11
Al,Sb,10
Al,Te,3
Al,Cs,8
Al,Ba,64
Al,La,23
Al,Ce,32
Al,Nd,8
Al,Sm,1
Al,Yb,1
Al,Ta,6
Al,W,5
Al,Hg,1
Al,Tl,1
Al,Pb,37
Al,Bi,1
Al,Th,7
Al,U,23
Si,H,472
Si,Li,36
Si,Be,28
Si,B,68
Si,C,21
Si,N,6
Si,O,632
Si,F,60
Si,Na,232
Si,Mg,179
Si,Al,632
Si,Si,632
Si,P,10
Si,S,42
Si,Cl,37
Si,K,156
Si,Ca,327
Si,Sc,1
Si,Ti,29
Si,V,16
Si,Cr,5
Si,Mn,67
Si,Fe,163
Si,Ni,3
Si,Cu,10
Si,Zn,13
Si,Ge,1
Si,As,7
Si,Se,1
Si,Rb,3
Si,Sr,20
Si,Y,11
Si,Zr,2
Si,Nb,4
Si,Sn,2
Si,Sb,2
Si,Te,1
Si,Cs,6
Si,Ba,40
Si,La,17
Si,Ce,24
Si,Nd,4
Si,Yb,1
Si,Ta,2
Si,Pb,13
Si,Th,5
Si,U,1
P,H,181
P,Li,6
P,Be,3
P,C,7
P,N,5
P,O,200
P,F,36
P,Na,50
P,Mg,40
P,Al,200
P,Si,10
P,P,200
P,S,14
P,Cl,1
P,K,18
P,Ca,54
P,Ti,3
P,V,6
P,Mn,42
P,Fe,59
P,Cu,7
P,Zn,6
P,Ga,1
P,Ge,1
P,As,1
P,Sr,11
P,Y,2
P,Zr,2
P,Mo,1
P,Cd,1
P,Ba,13
P,La,1
P,Ce,1
P,Nd,1
P,Sm,1
P,Hg,1
P,Pb,8
P,Bi,1
P,Th,4
P,U,14
S,H,151
S,B,3
