from,to,weight
H,H,406
H,Be,3
H,B,2
H,C,4
H,N,8
H,O,406
H,F,3
H,Na,42
H,Mg,52
H,Al,49
H,Si,19
H,P,12
H,S,23
H,Cl,20
H,K,14
H,Ca,114
H,Sc,1
H,Ti,6
H,V,13
H,Cr,3
H,Mn,70
H,Fe,100
H,Co,18
H,Ni,11
H,Cu,97
H,Zn,59
H,Ga,1
H,As,406
H,Br,2
H,Sr,6
H,Y,1
H,Mo,11
H,Cd,3
H,In,1
H,Sb,14
H,Te,3
H,I,1
H,Cs,1
H,Ba,9
H,La,6
H,Ce,8
H,Nd,4
H,W,2
H,Tl,1
H,Pb,49
H,Bi,14
H,Th,1
H,U,36
Li,Li,1
Li,O,1
Li,F,1
Li,Na,1
Li,Mg,1
Li,Ca,1
Li,Fe,1
Li,As,1
Be,H,3
Be,Be,4
Be,O,4
Be,Si,1
Be,Ca,3
Be,Ti,1
Be,Mn,1
Be,As,4
Be,Sn,1
B,H,2
B,B,8
B,O,8
B,F,5
B,Na,2
B,Mg,4
B,Al,2
B,Si,3
B,P,2
B,Ca,5
B,V,2
B,Fe,2
B,As,8
B,Y,2
B,Mo,1
B,La,1
B,Ce,2
B,W,2
B,Th,1
C,H,4
C,C,4
C,O,4
C,Na,1
C,S,1
C,Ca,2
C,Mn,2
C,Cu,2
C,Zn,1
C,As,4
N,H,8
N,N,8
N,O,8
N,Na,2
N,Mg,1
N,P,1
N,S,1
N,Cl,4
N,K,3
N,V,1
N,As,8
N,Br,2
N,Sb,1
N,I,1
N,U,1
O,H,406
O,Li,1
O,Be,4
O,B,8
O,C,4
O,N,8
O,O,527
O,F,19
O,Na,79
O,Mg,72
O,Al,63
O,Si,28
O,P,15
O,S,25
O,Cl,43
O,K,30
O,Ca,142
O,Sc,1
O,Ti,15
O,V,22
O,Cr,3
O,Mn,80
O,Fe,128
O,Co,19
O,Ni,17
O,Cu,129
O,Zn,67
O,Ga,1
O,As,527
O,Br,2
O,Rb,1
O,Sr,6
O,Y,5
O,Nb,1
O,Mo,16
O,Ag,2
O,Cd,4
O,In,1
O,Sn,2
O,Sb,21
O,Te,4
O,I,1
O,Cs,2
O,Ba,11
O,La,8
O,Ce,12
O,Nd,4
O,Ta,1
O,W,5
O,Hg,4
O,Tl,1
O,Pb,66
O,Bi,18
O,Th,2
O,U,36
F,H,3
F,Li,1
F,B,5
F,O,19
F,F,19
F,Na,10
F,Mg,8
F,Al,5
F,Si,3
F,P,2
F,Cl,3
F,Ca,8
F,Ti,2
F,V,3
F,Fe,4
F,Cu,3
F,As,19
F,Y,2
F,Mo,1
F,Ba,1
F,La,1
F,Ce,2
F,W,2
F,Th,1
F,U,2
Na,H,42
Na,Li,1
Na,B,2
Na,C,1
Na,N,2
Na,O,79
Na,F,10
Na,Na,79
Na,Mg,26
Na,Al,13
Na,Si,4
Na,P,5
Na,S,3
Na,Cl,14
Na,K,8
Na,Ca,34
Na,Ti,5
Na,V,3
Na,Mn,13
Na,Fe,29
Na,Cu,21
Na,Zn,3
Na,As,79
Na,Y,1
Na,Nb,1
Na,Mo,4
Na,Sb,3
Na,La,1
Na,Ce,1
Na,Ta,1
Na,W,1
Na,Pb,3
Na,Th,1
Na,U,1
Mg,H,52
Mg,Li,1
Mg,B,4
Mg,N,1
Mg,O,72
Mg,F,8
Mg,Na,26
Mg,Mg,72
Mg,Al,9
Mg,Si,8
Mg,P,2
Mg,Cl,4
Mg,K,2
Mg,Ca,28
Mg,Ti,1
Mg,V,4
Mg,Mn,17
Mg,Fe,18
Mg,Co,2
Mg,Cu,7
Mg,Zn,10
Mg,As,72
Mg,Y,1
Mg,Mo,3
Mg,La,1
Mg,Ce,2
Mg,Nd,1
Mg,W,2
Mg,Pb,2
Mg,Bi,1
Mg,U,4
Al,H,49
Al,B,2
Al,O,63
Al,F,5
Al,Na,13
Al,Mg,9
Al,Al,63
Al,Si,7
Al,P,1
Al,S,7
Al,Cl,2
Al,K,9
Al,Ca,11
Al,Ti,3
Al,V,1
Al,Mn,5
Al,Fe,14
Al,Cu,16
Al,Zn,4
Al,As,63
Al,Sr,3
Al,Y,1
Al,Sb,1
Al,Ba,3
Al,La,2
Al,Ce,2
Al,Nd,1
Al,Pb,4
Al,U,3
Si,H,19
Si,Be,1
Si,B,3
Si,O,28
Si,F,3
Si,Na,4
Si,Mg,8
Si,Al,7
Si,Si,28
Si,S,1
Si,Cl,3
Si,K,1
Si,Ca,6
Si,Ti,2
Si,V,3
Si,Mn,17
Si,Fe,10
Si,Cu,3
Si,Zn,7
Si,As,28
Si,Y,2
Si,Mo,2
Si,Sn,1
Si,Sb,1
Si,La,2
Si,Ce,4
Si,Nd,1
Si,Pb,3
Si,Th,1
P,H,12
P,B,2
P,N,1
P,O,15
P,F,2
P,Na,5
P,Mg,2
P,Al,1
P,P,15
P,S,1
P,Cl,1
P,K,1
P,Ca,3
P,V,3
