from,to,weight
S,S,12
S,Cu,2
S,Se,1
S,Ag,6
S,Sb,4
S,Te,4
S,Au,12
S,Tl,2
S,Pb,3
S,Bi,3
Fe,Fe,1
Fe,Cu,1
Fe,Te,1
Fe,Au,1
Fe,Pb,1
Cu,S,2
Cu,Fe,1
Cu,Cu,9
Cu,Se,1
Cu,Ag,3
Cu,Te,4
Cu,Au,9
Cu,Pb,3
Se,S,1
Se,Cu,1
Se,Se,5
Se,Ag,2
Se,Te,2
Se,Au,5
Ag,S,6
Ag,Cu,3
Ag,Se,2
Ag,Ag,14
Ag,Sb,3
Ag,Te,6
Ag,Au,14
Ag,Hg,1
Ag,Tl,2
Ag,Pb,2
Ag,Bi,1
Sn,Sn,2
Sn,Au,2
Sb,S,4
Sb,Ag,3
Sb,Sb,7
Sb,Te,4
Sb,Au,7
Sb,Tl,2
Sb,Pb,3
Sb,Bi,1
Te,S,4
Te,Fe,1
Te,Cu,4
Te,Se,2
Te,Ag,6
Te,Sb,4
Te,Te,18
Te,Au,18
Te,Tl,1
Te,Pb,7
Te,Bi,2
Au,S,12
Au,Fe,1
Au,Cu,9
Au,Se,5
Au,Ag,14
Au,Sn,2
Au,Sb,7
Au,Te,18
Au,Au,41
Au,Hg,2
Au,Tl,3
Au,Pb,10
Au,Bi,5
Hg,Ag,1
Hg,Au,2
Hg,Hg,2
Tl,S,2
Tl,Ag,2
Tl,Sb,2
Tl,Te,1
Tl,Au,3
Tl,Tl,3
Pb,S,3
Pb,Fe,1
Pb,Cu,3
Pb,Ag,2
Pb,Sb,3
Pb,Te,7
Pb,Au,10
Pb,Pb,10
Pb,Bi,2
Bi,S,3
Bi,Ag,1
Bi,Sb,1
Bi,Te,2
Bi,Au,5
Bi,Pb,2
Bi,Bi,5
S,S,12
Cu,S,2
Se,S,1
Ag,S,6
Sb,S,4
Te,S,4
Au,S,12
Tl,S,2
Pb,S,3
Bi,S,3
Fe,Fe,1
Cu,Fe,1
Te,Fe,1
Au,Fe,1
Pb,Fe,1
S,Cu,2
Fe,Cu,1
Cu,Cu,9
Se,Cu,1
Ag,Cu,3
Te,Cu,4
Au,Cu,9
Pb,Cu,3
S,Se,1
Cu,Se,1
Se,Se,5
Ag,Se,2
Te,Se,2
Au,Se,5
S,Ag,6
Cu,Ag,3
Se,Ag,2
Ag,Ag,14
Sb,Ag,3
Te,Ag,6
Au,Ag,14
Hg,Ag,1
Tl,Ag,2
Pb,Ag,2
Bi,Ag,1
Sn,Sn,2
Au,Sn,2
S,Sb,4
Ag,Sb,3
Sb,Sb,7
Te,Sb,4
Au,Sb,7
Tl,Sb,2
Pb,Sb,3
Bi,Sb,1
S,Te,4
Fe,Te,1
Cu,Te,4
Se,Te,2
Ag,Te,6
Sb,Te,4
Te,Te,18
Au,Te,18
Tl,Te,1
Pb,Te,7
Bi,Te,2
S,Au,12
Fe,Au,1
Cu,Au,9
Se,Au,5
Ag,Au,14
Sn,Au,2
Sb,Au,7
Te,Au,18
Au,Au,41
Hg,Au,2
Tl,Au,3
Pb,Au,10
Bi,Au,5
Ag,Hg,1
Au,Hg,2
Hg,Hg,2
S,Tl,2
Ag,Tl,2
Sb,Tl,2
Te,Tl,1
Au,Tl,3
Tl,Tl,3
S,Pb,3
Fe,Pb,1
Cu,Pb,3
Ag,Pb,2
Sb,Pb,3
Te,Pb,7
Au,Pb,10
Pb,Pb,10
Bi,Pb,2
S,Bi,3
Ag,Bi,1
Sb,Bi,1
Te,Bi,2
Au,Bi,5
Pb,Bi,2
Bi,Bi,5
