from,to,weight
H,H,206
H,Li,10
H,Be,5
H,B,206
H,C,14
H,N,3
H,O,205
H,F,20
H,Na,52
H,Mg,62
H,Al,60
H,Si,83
H,P,3
H,S,9
H,Cl,30
H,K,11
H,Ca,94
H,Ti,5
H,V,4
H,Cr,4
H,Mn,17
H,Fe,20
H,Cu,4
H,As,2
H,Rb,1
H,Sr,9
H,Y,4
H,Zr,2
H,Nb,2
H,Sn,1
H,Cs,1
H,Ba,6
H,La,2
H,Ce,7
H,Nd,1
H,Ta,1
H,Pb,5
H,Th,2
H,U,1
Li,H,10
Li,Li,10
Li,Be,1
Li,B,10
Li,O,10
Li,F,3
Li,Na,4
Li,Mg,1
Li,Al,8
Li,Si,9
Li,Cl,1
Li,Ca,3
Li,Fe,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,5
Be,Li,1
Be,Be,13
Be,B,13
Be,O,13
Be,F,3
Be,Na,1
Be,Mg,2
Be,Al,7
Be,Si,8
Be,Cl,2
Be,K,3
Be,Ca,7
Be,Mn,2
Be,Fe,3
Be,Rb,1
Be,Y,2
Be,Sn,1
Be,Cs,3
Be,Ba,1
Be,La,1
Be,Ce,3
Be,Nd,1
Be,Pb,1
Be,Th,2
Be,U,1
B,H,206
B,Li,10
B,Be,13
B,B,301
B,C,14
B,N,4
B,O,295
B,F,38
B,Na,66
B,Mg,99
B,Al,87
B,Si,127
B,P,7
B,S,9
B,Cl,39
B,K,22
B,Ca,121
B,Ti,12
B,V,6
B,Cr,5
B,Mn,33
B,Fe,52
B,Ni,1
B,Cu,6
B,Zn,1
B,As,8
B,Rb,2
B,Sr,10
B,Y,14
B,Zr,3
B,Nb,5
B,Mo,2
B,Sn,7
B,Sb,3
B,Cs,6
B,Ba,15
B,La,5
B,Ce,15
B,Nd,1
B,Ta,3
B,W,2
B,Pb,8
B,Th,3
B,U,1
C,H,14
C,B,14
C,C,14
C,O,14
C,F,1
C,Na,1
C,Mg,7
C,Al,2
C,Si,4
C,Cl,3
C,Ca,8
C,Mn,1
C,Cu,1
C,Y,1
C,Pb,3
N,H,3
N,B,4
N,N,4
N,O,2
N,F,1
O,H,205
O,Li,10
O,Be,13
O,B,295
O,C,14
O,N,2
O,O,295
O,F,34
O,Na,64
O,Mg,99
O,Al,87
O,Si,126
O,P,7
O,S,9
O,Cl,39
O,K,20
O,Ca,121
O,Ti,11
O,V,6
O,Cr,5
O,Mn,33
O,Fe,52
O,Ni,1
O,Cu,6
O,Zn,1
O,As,8
O,Rb,2
O,Sr,10
O,Y,14
O,Zr,3
O,Nb,5
O,Mo,2
O,Sn,7
O,Sb,3
O,Cs,6
O,Ba,15
O,La,5
O,Ce,15
O,Nd,1
O,Ta,3
O,W,2
O,Pb,8
O,Th,3
O,U,1
F,H,20
F,Li,3
F,Be,3
F,B,38
F,C,1
F,N,1
F,O,34
F,F,38
F,Na,14
F,Mg,11
F,Al,11
F,Si,26
F,P,5
F,S,2
F,Cl,3
F,K,6
F,Ca,17
F,Ti,2
F,V,2
F,Mn,4
F,Fe,8
F,As,5
F,Y,10
F,Nb,2
F,Mo,2
F,Cs,1
F,Ba,6
F,La,2
F,Ce,5
F,Nd,1
F,W,2
F,Pb,4
F,Th,2
Na,H,52
Na,Li,4
Na,Be,1
Na,B,66
Na,C,1
Na,O,64
Na,F,14
Na,Na,66
Na,Mg,15
Na,Al,23
Na,Si,43
Na,P,1
Na,S,3
Na,Cl,4
Na,K,7
Na,Ca,16
Na,Ti,3
Na,V,3
Na,Cr,4
Na,Mn,7
Na,Fe,12
Na,As,2
Na,Sr,3
Na,Y,3
Na,Zr,2
Na,Nb,1
Na,Sn,1
Na,Cs,1
Na,Ba,4
Na,La,2
Na,Ce,3
Na,Th,1
Mg,H,62
Mg,Li,1
Mg,Be,2
Mg,B,99
Mg,C,7
Mg,O,99
Mg,F,11
Mg,Na,15
Mg,Mg,99
Mg,Al,32
Mg,Si,35
Mg,P,3
Mg,S,1
Mg,Cl,13
Mg,K,4
Mg,Ca,24
Mg,Ti,4
Mg,V,5
Mg,Cr,5
Mg,Mn,11
Mg,Fe,26
Mg,As,4
Mg,Y,1
Mg,Mo,2
Mg,Sn,4
Mg,Sb,3
Mg,Cs,1
Mg,Ba,2
Mg,Ce,1
Mg,W,2
Mg,Pb,2
Al,H,60
Al,Li,8
Al,Be,7
Al,B,87
Al,C,2
Al,O,87
Al,F,11
Al,Na,23
Al,Mg,32
Al,Al,87
Al,Si,68
Al,S,3
Al,Cl,5
Al,K,7
Al,Ca,29
Al,Ti,3
Al,V,1
Al,Cr,1
Al,Mn,8
Al,Fe,26
Al,As,2
Al,Rb,1
Al,Y,3
Al,Zr,1
Al,Nb,1
Al,Sn,2
Al,Sb,1
Al,Cs,2
Al,La,2
Al,Ce,4
Al,Nd,1
Al,Ta,1
Al,Th,2
Al,U,1
Si,H,83
Si,Li,9
Si,Be,8
Si,B,127
Si,C,4
Si,O,126
Si,F,26
Si,Na,43
Si,Mg,35
Si,Al,68
Si,Si,127
Si,P,3
Si,S,3
Si,Cl,9
Si,K,11
Si,Ca,51
Si,Ti,9
Si,V,4
Si,Cr,3
Si,Mn,16
Si,Fe,31
Si,As,3
Si,Sr,3
Si,Y,13
Si,Zr,2
Si,Nb,3
Si,Sn,1
Si,Cs,3
Si,Ba,15
Si,La,3
Si,Ce,13
Si,Nd,1
Si,Ta,1
Si,Pb,5
Si,Th,3
Si,U,1
P,H,3
P,B,7
P,O,7
P,F,5
P,Na,1
P,Mg,3
P,Si,3
P,P,7
P,Ca,3
P,Ti,1
P,V,2
P,Mn,3
P,Fe,2
P,As,2
P,Y,3
P,Nb,1
P,Mo,1
P,Ba,1
P,W,2
S,H,9
S,B,9
S,O,9
S,F,2
S,Na,3
S,Mg,1
S,Al,3
S,Si,3
S,S,9
S,Cl,2
S,K,1
S,Ca,8
S,Fe,2
S,Sr,1
Cl,H,30
Cl,Li,1
Cl,Be,2
Cl,B,39
Cl,C,3
Cl,O,39
Cl,F,3
Cl,Na,4
Cl,Mg,13
Cl,Al,5
Cl,Si,9
Cl,S,2
Cl,Cl,39
Cl,K,5
Cl,Ca,19
Cl,Ti,3
Cl,V,1
Cl,Mn,4
Cl,Fe,6
Cl,Cu,1
Cl,Zn,1
Cl,Sr,1
Cl,Y,1
Cl,Ba,4
Cl,Pb,4
K,H,11
K,Be,3
K,B,22
K,O,20
K,F,6
K,Na,7
K,Mg,4
K,Al,7
K,Si,11
K,S,1
K,Cl,5
K,K,22
K,Ca,7
K,Ti,1
K,Cr,1
K,Mn,1
K,Zn,1
K,Rb,1
K,Sr,1
K,Y,2
K,Nb,1
K,Cs,2
K,Ba,4
K,Pb,3
Ca,H,94
Ca,Li,3
Ca,Be,7
Ca,B,121
Ca,C,8
Ca,O,121
Ca,F,17
Ca,Na,16
Ca,Mg,24
Ca,Al,29
Ca,Si,51
Ca,P,3
Ca,S,8
Ca,Cl,19
Ca,K,7
Ca,Ca,121
Ca,Ti,3
Ca,Mn,10
Ca,Fe,18
Ca,Cu,2
Ca,As,5
Ca,Sr,4
Ca,Y,9
Ca,Zr,1
Ca,Nb,2
Ca,Sn,2
Ca,Cs,1
Ca,Ba,7
Ca,La,4
Ca,Ce,12
Ca,Nd,1
Ca,Pb,3
Ca,Th,3
Ca,U,1
Ti,H,5
Ti,B,12
Ti,O,11
Ti,F,2
Ti,Na,3
Ti,Mg,4
Ti,Al,3
Ti,Si,9
Ti,P,1
Ti,Cl,3
Ti,K,1
Ti,Ca,3
Ti,Ti,12
Ti,V,1
Ti,Mn,1
Ti,Fe,5
Ti,Y,1
Ti,Nb,2
Ti,Ba,6
Ti,Ce,1
V,H,4
V,B,6
V,O,6
V,F,2
V,Na,3
V,Mg,5
V,Al,1
V,Si,4
V,P,2
V,Cl,1
V,Ti,1
V,V,6
V,Cr,1
V,As,2
V,Mo,1
V,Ba,1
V,W,2
Cr,H,4
Cr,B,5
Cr,O,5
Cr,Na,4
Cr,Mg,5
Cr,Al,1
Cr,Si,3
Cr,K,1
Cr,V,1
Cr,Cr,5
Mn,H,17
Mn,Be,2
Mn,B,33
Mn,C,1
Mn,O,33
Mn,F,4
Mn,Na,7
Mn,Mg,11
Mn,Al,8
Mn,Si,16
Mn,P,3
Mn,Cl,4
Mn,K,1
Mn,Ca,10
Mn,Ti,1
Mn,Mn,33
Mn,Fe,8
Mn,Y,4
Mn,Nb,1
Mn,Sn,2
Mn,Sb,3
Mn,Ba,1
Mn,Pb,1
Fe,H,20
Fe,Li,1
Fe,Be,3
Fe,B,52
Fe,O,52
Fe,F,8
Fe,Na,12
Fe,Mg,26
Fe,Al,26
Fe,Si,31
Fe,P,2
Fe,S,2
Fe,Cl,6
Fe,Ca,18
Fe,Ti,5
Fe,Mn,8
Fe,Fe,52
Fe,Ni,1
Fe,Cu,1
Fe,As,2
Fe,Y,4
Fe,Sn,4
Fe,Sb,2
Fe,Ba,2
Fe,La,2
Fe,Ce,4
Fe,Nd,1
Fe,Th,2
Ni,B,1
Ni,O,1
Ni,Fe,1
Ni,Ni,1
Cu,H,4
Cu,B,6
Cu,C,1
Cu,O,6
Cu,Cl,1
Cu,Ca,2
Cu,Fe,1
Cu,Cu,6
Zn,B,1
Zn,O,1
Zn,Cl,1
Zn,K,1
Zn,Zn,1
As,H,2
As,B,8
As,O,8
As,F,5
As,Na,2
As,Mg,4
As,Al,2
As,Si,3
As,P,2
As,Ca,5
As,V,2
As,Fe,2
As,As,8
As,Y,2
As,Mo,1
As,La,1
As,Ce,2
As,W,2
As,Th,1
Rb,H,1
Rb,Be,1
Rb,B,2
Rb,O,2
Rb,Al,1
Rb,K,1
Rb,Rb,2
Rb,Cs,1
Sr,H,9
Sr,B,10
Sr,O,10
Sr,Na,3
Sr,Si,3
Sr,S,1
Sr,Cl,1
Sr,K,1
Sr,Ca,4
Sr,Sr,10
Sr,Zr,2
Sr,Ba,1
Y,H,4
Y,Be,2
Y,B,14
Y,C,1
Y,O,14
Y,F,10
Y,Na,3
Y,Mg,1
Y,Al,3
Y,Si,13
Y,P,3
Y,Cl,1
Y,K,2
Y,Ca,9
Y,Ti,1
Y,Mn,4
Y,Fe,4
Y,As,2
Y,Y,14
Y,Nb,1
Y,Ba,4
Y,Ce,3
Y,Pb,2
Zr,H,2
Zr,B,3
Zr,O,3
Zr,Na,2
Zr,Al,1
Zr,Si,2
Zr,Ca,1
Zr,Sr,2
Zr,Zr,3
Zr,Ba,1
Nb,H,2
Nb,B,5
Nb,O,5
Nb,F,2
Nb,Na,1
Nb,Al,1
Nb,Si,3
Nb,P,1
Nb,K,1
Nb,Ca,2
Nb,Ti,2
Nb,Mn,1
Nb,Y,1
Nb,Nb,5
Nb,Ba,2
Nb,Ta,2
Mo,B,2
Mo,O,2
Mo,F,2
Mo,Mg,2
Mo,P,1
Mo,V,1
Mo,As,1
Mo,Mo,2
Mo,W,1
Sn,H,1
Sn,Be,1
Sn,B,7
Sn,O,7
Sn,Na,1
Sn,Mg,4
Sn,Al,2
Sn,Si,1
Sn,Ca,2
Sn,Mn,2
Sn,Fe,4
Sn,Sn,7
Sb,B,3
Sb,O,3
Sb,Mg,3
Sb,Al,1
Sb,Mn,3
Sb,Fe,2
Sb,Sb,3
Cs,H,1
Cs,Be,3
Cs,B,6
Cs,O,6
Cs,F,1
Cs,Na,1
Cs,Mg,1
Cs,Al,2
Cs,Si,3
Cs,K,2
Cs,Ca,1
Cs,Rb,1
Cs,Cs,6
Ba,H,6
Ba,Be,1
Ba,B,15
Ba,O,15
Ba,F,6
Ba,Na,4
Ba,Mg,2
Ba,Si,15
Ba,P,1
Ba,Cl,4
Ba,K,4
Ba,Ca,7
Ba,Ti,6
Ba,V,1
Ba,Mn,1
Ba,Fe,2
Ba,Sr,1
Ba,Y,4
Ba,Zr,1
Ba,Nb,2
Ba,Ba,15
Ba,Ce,1
Ba,Pb,3
La,H,2
La,Li,1
La,Be,1
La,B,5
La,O,5
La,F,2
La,Na,2
La,Al,2
La,Si,3
La,Ca,4
La,Fe,2
La,As,1
La,La,5
La,Ce,5
La,Nd,1
La,Th,2
Ce,H,7
Ce,Li,1
Ce,Be,3
Ce,B,15
Ce,O,15
Ce,F,5
Ce,Na,3
Ce,Mg,1
Ce,Al,4
Ce,Si,13
Ce,Ca,12
Ce,Ti,1
Ce,Fe,4
Ce,As,2
Ce,Y,3
Ce,Ba,1
Ce,La,5
Ce,Ce,15
Ce,Nd,1
Ce,Th,2
Nd,H,1
Nd,Li,1
Nd,Be,1
Nd,B,1
Nd,O,1
Nd,F,1
Nd,Al,1
Nd,Si,1
Nd,Ca,1
Nd,Fe,1
Nd,La,1
Nd,Ce,1
Nd,Nd,1
Nd,Th,1
Ta,H,1
Ta,B,3
Ta,O,3
Ta,Al,1
Ta,Si,1
Ta,Nb,2
Ta,Ta,3
W,B,2
W,O,2
W,F,2
W,Mg,2
W,P,2
W,V,2
W,As,2
W,Mo,1
W,W,2
Pb,H,5
Pb,Be,1
Pb,B,8
Pb,C,3
Pb,O,8
Pb,F,4
Pb,Mg,2
Pb,Si,5
Pb,Cl,4
Pb,K,3
Pb,Ca,3
Pb,Mn,1
Pb,Y,2
Pb,Ba,3
Pb,Pb,8
Th,H,2
Th,Li,1
Th,Be,2
Th,B,3
Th,O,3
Th,F,2
Th,Na,1
Th,Al,2
Th,Si,3
Th,Ca,3
Th,Fe,2
Th,As,1
Th,La,2
Th,Ce,2
Th,Nd,1
Th,Th,3
Th,U,1
U,H,1
U,Be,1
U,B,1
U,O,1
U,Al,1
U,Si,1
U,Ca,1
U,Th,1
U,U,1
H,H,206
Li,H,10
Be,H,5
B,H,206
C,H,14
N,H,3
O,H,205
F,H,20
Na,H,52
Mg,H,62
Al,H,60
Si,H,83
P,H,3
S,H,9
Cl,H,30
K,H,11
Ca,H,94
Ti,H,5
V,H,4
Cr,H,4
Mn,H,17
Fe,H,20
Cu,H,4
As,H,2
Rb,H,1
Sr,H,9
Y,H,4
Zr,H,2
