from,to,weight
H,H,166
H,Li,2
H,Be,4
H,B,6
H,C,14
H,O,166
H,F,33
H,Na,62
H,Mg,24
H,Al,55
H,Si,97
H,P,36
H,S,6
H,Cl,12
H,K,41
H,Ca,46
H,Sc,1
H,Ti,47
H,V,13
H,Mn,35
H,Fe,47
H,Cu,2
H,Zn,2
H,As,9
H,Se,1
H,Sr,17
H,Y,5
H,Zr,3
H,Nb,22
H,Mo,1
H,Ba,166
H,La,2
H,Ce,11
H,Gd,1
H,Dy,1
H,W,1
H,Pb,4
H,Th,2
H,U,15
Li,H,2
Li,Li,2
Li,Be,1
Li,O,2
Li,Mg,1
Li,Al,1
Li,Si,1
Li,P,1
Li,Ba,2
Be,H,4
Be,Li,1
Be,Be,7
Be,B,1
Be,O,7
Be,F,2
Be,Si,2
Be,P,5
Be,Cl,1
Be,K,1
Be,Ca,2
Be,Y,1
Be,Ba,7
Be,Pb,1
B,H,6
B,Be,1
B,B,15
B,O,15
B,F,6
B,Na,4
B,Mg,2
B,Si,15
B,P,1
B,Cl,4
B,K,4
B,Ca,7
B,Ti,6
B,V,1
B,Mn,1
B,Fe,2
B,Sr,1
B,Y,4
B,Zr,1
B,Nb,2
B,Ba,15
B,Ce,1
B,Pb,3
C,H,14
C,C,36
C,O,36
C,F,15
C,Na,12
C,Mg,3
C,Al,7
C,Si,8
C,P,5
C,S,1
C,Cl,3
C,K,1
C,Ca,17
C,Ti,1
C,V,1
C,Fe,3
C,Sr,7
C,Y,4
C,Ba,36
C,La,3
C,Ce,13
C,Gd,1
C,Dy,1
C,Th,2
N,N,1
N,O,1
N,Ba,1
O,H,166
O,Li,2
O,Be,7
O,B,15
O,C,36
O,N,1
O,O,266
O,F,61
O,Na,84
O,Mg,37
O,Al,62
O,Si,151
O,P,50
O,S,11
O,Cl,20
O,K,47
O,Ca,75
O,Sc,1
O,Ti,75
O,V,22
O,Cr,4
O,Mn,40
O,Fe,66
O,Cu,5
O,Zn,3
O,As,11
O,Se,1
O,Sr,29
O,Y,8
O,Zr,5
O,Nb,25
O,Mo,1
O,Sn,1
O,Ba,266
O,La,4
O,Ce,24
O,Gd,1
O,Dy,1
O,W,2
O,Pb,7
O,Th,3
O,U,15
F,H,33
F,Be,2
F,B,6
F,C,15
F,O,61
F,F,65
F,Na,31
F,Mg,10
F,Al,12
F,Si,39
F,P,16
F,S,2
F,Cl,6
F,K,11
F,Ca,23
F,Ti,29
F,V,3
F,Mn,11
F,Fe,16
F,Zn,1
F,As,1
F,Sr,9
F,Y,5
F,Nb,9
F,Ba,65
F,La,3
F,Ce,14
F,Gd,1
F,Dy,1
F,Pb,3
F,Th,1
Na,H,62
Na,B,4
Na,C,12
Na,O,84
Na,F,31
Na,Na,85
Na,Mg,11
Na,Al,24
Na,Si,59
Na,P,14
Na,S,4
Na,Cl,3
Na,K,30
Na,Ca,29
Na,Ti,42
Na,V,1
Na,Mn,15
Na,Fe,23
Na,Zn,2
Na,Sr,19
Na,Y,4
Na,Zr,1
Na,Nb,17
Na,Ba,85
Na,La,2
Na,Ce,16
Na,Gd,1
Na,Dy,1
Na,Th,1
Mg,H,24
Mg,Li,1
Mg,B,2
Mg,C,3
Mg,O,37
Mg,F,10
Mg,Na,11
Mg,Mg,38
Mg,Al,18
Mg,Si,21
Mg,P,8
Mg,S,1
Mg,Cl,3
Mg,K,11
Mg,Ca,14
Mg,Sc,1
Mg,Ti,13
Mg,V,1
Mg,Cr,2
Mg,Mn,8
Mg,Fe,21
Mg,Sr,5
Mg,Zr,2
Mg,Nb,3
Mg,Ba,38
Al,H,55
Al,Li,1
Al,C,7
Al,O,62
Al,F,12
Al,Na,24
Al,Mg,18
Al,Al,64
Al,Si,40
Al,P,13
Al,S,4
Al,Cl,3
Al,K,22
Al,Ca,28
Al,Ti,5
Al,V,2
Al,Mn,6
Al,Fe,15
Al,Cu,1
Al,As,3
Al,Sr,9
Al,Ba,64
Si,H,97
Si,Li,1
Si,Be,2
Si,B,15
Si,C,8
Si,O,151
Si,F,39
Si,Na,59
Si,Mg,21
Si,Al,40
Si,Si,151
Si,P,10
Si,S,7
Si,Cl,16
Si,K,42
Si,Ca,45
Si,Ti,63
Si,V,9
Si,Mn,26
Si,Fe,43
Si,Cu,4
Si,Zn,3
Si,Sr,13
Si,Y,4
Si,Zr,3
Si,Nb,22
Si,Sn,1
Si,Ba,151
Si,La,1
Si,Ce,9
Si,W,1
Si,Pb,4
Si,Th,1
Si,U,1
P,H,36
P,Li,1
P,Be,5
P,B,1
P,C,5
P,O,50
P,F,16
P,Na,14
P,Mg,8
P,Al,13
P,Si,10
P,P,50
P,S,1
P,Cl,2
P,Ca,17
P,Sc,1
P,Ti,6
P,V,3
P,Mn,8
P,Fe,11
P,Sr,7
P,Y,1
P,Nb,3
P,Ba,50
P,La,1
P,Ce,2
P,U,3
S,H,6
S,C,1
S,O,11
S,F,2
S,Na,4
S,Mg,1
S,Al,4
S,Si,7
S,P,1
S,S,13
S,Cl,1
S,K,3
S,Ca,4
